encoder,pc1,pc2,pc3,task,brightness
A_recon,2.3688748,1.0003781,-1.2247782,0.16450727,0.38897064
A_recon,0.10645294,-1.3010662,-0.36168265,0.37514699,0.54481864
A_recon,0.7284939,-1.3539643,-0.6463101,0.31673816,0.5133705
A_recon,1.9088268,-1.7656267,0.440848,0.69133705,0.30820918
A_recon,3.0262854,1.0562377,-0.5606309,0.17857188,0.25442857
A_recon,1.5100739,-0.099565625,-0.031229287,0.39625615,0.3420941
A_recon,0.40334463,1.3430378,0.30419475,0.005824595,0.43022165
A_recon,2.1300967,-0.5358656,0.32689023,0.2624947,0.26238862
A_recon,2.0494552,0.46821886,-0.2606346,0.4211888,0.27819157
A_recon,-2.5899892,1.1108859,-0.29721695,0.10592124,0.7528623
A_recon,-2.9343567,0.630518,0.9365816,0.63315994,0.66714895
A_recon,0.47630548,-0.43486297,-0.18887451,0.38042426,0.45531145
A_recon,-1.4256601,0.9782263,-0.56654084,0.72529393,0.65069985
A_recon,-2.3319468,0.44847652,-0.20913526,0.653866,0.7133591
A_recon,-2.9502435,1.2518296,-0.7645271,0.43122676,0.8018653
A_recon,1.3684351,-1.4495842,0.26318324,0.8673205,0.401316
A_recon,2.1096387,-0.92896503,0.45583546,0.6321351,0.2647663
A_recon,-1.2688136,1.6047473,0.118911326,0.81027436,0.5618135
A_recon,-3.2913194,1.011457,-0.7153312,0.34179473,0.8374138
A_recon,-0.47236586,-1.119941,0.169891,0.5436693,0.5407448
A_recon,2.1785283,0.0050128996,-0.63974285,0.19629689,0.35618836
A_recon,-0.6114526,0.081980884,-0.196807,0.9961412,0.60292816
A_recon,1.7378118,-0.9075039,-0.6305135,0.24321547,0.4178345
A_recon,1.9118006,1.5383394,-0.27873617,0.25686747,0.29669034
A_recon,1.5103292,0.038225353,-1.1321495,0.07319007,0.5280289
A_recon,1.4493699,1.4978323,0.8518503,0.2578031,0.2194939
A_recon,-3.9923787,0.12807414,0.094102025,0.7631285,0.8624882
A_recon,-1.3647957,0.06503978,-0.7773124,0.69789356,0.697594
A_recon,4.6538057,0.29143676,-0.31736284,0.12867321,0.11702831
A_recon,-1.9325857,0.8690626,-0.06668469,0.3762385,0.6491248
A_recon,0.38648796,-1.1952958,-0.4743336,0.4209214,0.52037746
A_recon,-0.25956774,-0.62351984,2.2929323,0.6649842,0.2972662
A_recon,0.74016404,1.8402677,1.1205347,0.45592895,0.2459453
A_recon,-1.6981163,-1.9701264,-0.28030938,0.58651835,0.7261228
A_recon,1.5763233,-1.642077,0.46012896,0.8396846,0.35696885
A_recon,0.2813034,1.2325559,2.2416854,0.7264736,0.21567783
A_recon,2.031075,0.21929222,-0.6515588,0.36500725,0.3260116
A_recon,-1.7325087,0.4299308,0.40145445,0.4483963,0.6122162
A_recon,2.3558302,1.6332624,0.121712506,0.36769956,0.19181421
A_recon,0.5867524,-0.73483104,-1.738301,0.10973466,0.6655213
A_recon,1.0241725,1.1387079,-0.43646753,0.20324154,0.40646452
A_recon,1.2386036,-0.09368831,-1.8467505,0.2838065,0.5482202
A_recon,3.5924,0.42370522,-0.9883286,0.31413388,0.21233806
A_recon,1.5336611,-0.22701597,-1.4030972,0.31304786,0.4664673
A_recon,-0.7737751,-0.28365088,0.37506723,0.57669973,0.5278079
A_recon,-0.022124767,1.3257935,-0.6121908,0.97169,0.5452265
A_recon,-0.7311559,0.36182633,0.9831052,0.77466416,0.44975287
A_recon,-1.5294523,-0.39521486,1.8185203,0.79113394,0.48267272
A_recon,-2.9885077,0.8132802,-0.30503607,0.7592685,0.78647417
A_recon,0.45713806,-0.4867381,0.84825087,0.5969877,0.37364644
A_recon,-0.23376703,-0.8487515,1.542831,0.91769224,0.43432412
A_recon,-0.42221022,-2.2044218,-0.36602116,0.68963015,0.623989
A_recon,0.0597229,-0.8803857,0.1546821,0.50035644,0.4822977
A_recon,-0.3672061,0.45477113,1.1769067,0.07708381,0.43322015
A_recon,-0.8569894,0.25085247,-1.3007699,0.48844922,0.6746757
A_recon,1.3257053,0.994089,0.06655693,0.21283099,0.34228423
A_recon,0.20706224,0.49594742,1.1026005,0.1326963,0.3757792
A_recon,0.6987357,1.5466335,1.0459145,0.50606495,0.27327532
A_recon,1.4489834,-1.2223115,-0.6893749,0.7850853,0.45769525
A_recon,0.8985472,-0.42924887,-1.2943769,0.29500645,0.5351105
A_recon,-0.55687,-1.3909595,1.5747752,0.76877177,0.4237919
A_recon,0.32637024,-0.71984285,-1.0012292,0.5256295,0.5486992
A_recon,1.6331975,2.3311458,1.0377243,0.14904803,0.18812186
A_recon,1.948878,1.1178195,0.4113654,0.9649677,0.26846656
A_recon,0.42546558,0.047602415,-0.7805403,0.4016362,0.49141407
A_recon,1.6749828,-1.1493745,-0.06750855,0.29523426,0.35852498
A_recon,0.5542588,0.3793234,0.3258003,0.8469984,0.40491226
A_recon,-2.0220194,-0.3578068,-1.4002357,0.12446033,0.85546404
A_recon,-0.86942005,-1.7012479,1.1167982,0.7335905,0.5263744
A_recon,0.86062574,0.913916,-2.0038419,0.18782474,0.5878914
A_recon,-2.198203,1.3459508,0.5224371,0.3924918,0.6105763
A_recon,-0.073174,1.9967217,-0.4728024,0.23189987,0.49018234
A_recon,-0.6296587,0.15147933,-0.3971908,0.841228,0.6039676
A_recon,-0.13440228,0.6350677,-1.894387,0.39007455,0.6461526
A_recon,-2.3619099,1.2694113,-0.009587944,0.9746928,0.7125945
A_recon,0.61420584,0.567657,1.7008958,0.6252615,0.23824449
A_recon,-1.5919318,-0.6620267,1.1387107,0.6936228,0.538369
A_recon,-3.080121,-0.80755085,-0.35712433,0.52152514,0.8412796
A_recon,-3.8028312,0.23100315,-0.5871498,0.3089682,0.8954702
A_recon,0.6819682,1.2153738,-0.54582167,0.39555642,0.43440127
A_recon,-1.6045823,-0.6277152,0.6250447,0.9409342,0.6357833
A_recon,2.6412451,-0.6228638,-0.048033863,0.2012032,0.26948953
A_recon,4.158391,0.19115824,0.35097426,0.9882189,0.100926556
A_recon,0.19222164,0.20041412,0.3341534,0.75830585,0.42982262
A_recon,1.7143884,0.65510064,0.7907789,0.35978693,0.20057224
A_recon,1.3028147,0.88840926,1.9640465,0.6415136,0.13155118
A_recon,-0.40629816,0.17648199,1.3889054,0.38098153,0.38986292
A_recon,0.6684189,1.4363105,-0.66329885,0.38149294,0.4288035
A_recon,-2.5842085,-0.04968667,-0.87241876,0.50380296,0.8267012
A_recon,0.94555545,0.50883484,-1.8681693,0.016722823,0.63132125
A_recon,-1.1357594,0.54883015,0.7924036,0.49357155,0.5071413
A_recon,2.4044116,0.53031194,0.03497088,0.9715984,0.2913753
A_recon,-0.9994602,-0.23487127,-1.6607785,0.28546524,0.74593943
A_recon,0.15114975,-1.4631479,-0.045252293,0.74821794,0.5216042
A_recon,0.031161308,0.36598712,0.5854409,0.4427889,0.41123867
A_recon,-0.33749866,0.38480037,-1.0197914,0.20928104,0.62520516
A_recon,2.215108,0.46310222,1.5410426,0.9050026,0.14702299
A_recon,3.9479427,0.8632524,0.48264706,0.016827285,0.11280589
A_recon,1.0612361,0.40604115,-1.4457052,0.30350894,0.51668006
A_recon,-0.71303034,0.7381097,-0.3998054,0.9990259,0.6117207
A_recon,-0.4336958,2.5482156,-0.43274775,0.2621468,0.49886012
A_recon,-2.0856981,-1.6382599,-0.5140862,0.8490445,0.80263335
A_recon,-0.55062103,-1.5964799,1.4452616,0.60568315,0.44992575
A_recon,-0.24421978,0.620572,0.5273005,0.8060357,0.44852233
A_recon,-1.0170875,0.68988353,2.4435866,0.63031775,0.32182312
A_recon,-1.6528168,1.871839,-0.5094475,0.36269686,0.6335188
A_recon,-1.8051386,-1.053205,0.80645514,0.7607888,0.60181916
A_recon,1.2382092,2.1591477,0.09835935,0.026484549,0.36103025
A_recon,-1.9207206,0.14797992,-0.025547683,0.44681296,0.67084515
A_recon,-0.6852732,0.035992026,-1.867041,0.37185457,0.7182302
A_recon,1.2910094,-0.5060205,-1.0879567,0.477074,0.46777743
A_recon,-0.051433563,-1.2768769,-0.72899604,0.12762068,0.64313406
A_recon,3.05228,0.45586914,-1.8395191,0.22250687,0.36477503
A_recon,1.3903112,0.039658546,0.27129805,0.5620516,0.30888933
A_recon,-1.0394926,0.81371075,1.4455861,0.3877691,0.42280465
A_recon,-0.3313856,-1.5225158,-0.79864335,0.7916562,0.6390485
A_recon,2.08328,-0.7780854,0.1270898,0.6051366,0.2947871
A_recon,-2.6420364,0.76153916,0.0652684,0.8612667,0.72539175
A_recon,2.0749216,-0.6895712,1.0395025,0.73236084,0.21162352
A_recon,2.0362706,-1.4288988,-0.10147989,0.60182345,0.33239043
A_recon,2.965039,1.3048128,0.23037553,0.2876156,0.14930704
A_recon,-1.9480686,-0.009122789,2.2015429,0.78276044,0.4720797
A_recon,-1.1784616,1.8530469,-0.77692556,0.25126758,0.6290387
A_recon,-1.1476989,0.7223107,-0.639073,0.075211115,0.67517245
A_recon,-2.0613961,-1.1450775,-0.3868981,0.9628646,0.78327346
A_recon,1.4456062,-0.03233832,1.0776359,0.5400112,0.23743911
A_recon,-0.007868767,0.97263813,1.7474456,0.7738943,0.30692664
A_recon,-2.2532048,0.3452825,0.7770119,0.5292228,0.62200695
A_recon,-0.9397054,-0.173343,1.1223011,0.6115797,0.46676666
A_recon,2.1049736,-0.013343364,0.22132325,0.03389225,0.34073997
A_recon,-0.13636923,1.7517576,0.85015047,0.18679368,0.40060258
A_recon,-1.82167,1.7806234,-0.28512567,0.6746894,0.63938123
A_recon,-0.8648143,0.3423989,1.6779358,0.5705646,0.400651
A_recon,0.4767809,0.25621474,-1.3189305,0.15855503,0.5869501
A_recon,0.91614175,-0.8072904,-1.8340603,0.9520293,0.63498694
A_recon,-0.08928394,2.1148279,-1.198133,0.15435363,0.5652684
A_recon,0.061932087,0.6099038,0.63863647,0.51030326,0.39112774
A_recon,-0.07490492,0.28913766,-0.81113994,0.14400287,0.60962343
A_recon,-1.3595033,-1.0190651,2.048979,0.7173717,0.45197985
A_recon,2.4670656,0.9347402,-0.7909307,0.276313,0.29210746
A_recon,-0.28242874,-0.42742592,-0.5964184,0.13413398,0.6248504
A_recon,0.6100931,0.6518574,-0.17079285,0.04598718,0.49291846
A_recon,1.9016623,1.228553,-0.523356,0.17483553,0.3428592
A_recon,3.191892,2.00127,0.35925704,0.19179872,0.10096954
A_recon,1.0679104,-1.1967311,-1.4009442,0.5369721,0.5356512
A_recon,1.451328,-0.6706696,-1.0030429,0.4510389,0.45151803
A_recon,2.0476882,-0.60452837,0.28366858,0.95729434,0.3314918
A_recon,-0.051279068,-0.18298423,-1.4789782,0.95415133,0.67955804
A_recon,0.42755365,-0.9001927,-1.2010099,0.7965461,0.5905407
A_recon,-2.756672,-0.4296049,0.5932869,0.67158765,0.68881506
A_recon,1.5389299,-2.3276603,0.9681685,0.8450231,0.34132352
A_recon,1.5700006,-0.84386975,0.035421193,0.9387518,0.41690814
A_recon,1.0924175,0.13636607,0.89820397,0.02261773,0.36290622
A_recon,1.14835,1.5426595,1.1461844,0.118105225,0.25594917
A_recon,1.7436285,-0.301408,-0.8083446,0.36026388,0.39430168
A_recon,0.86378217,1.0626564,-0.22647074,0.093586855,0.45363015
A_recon,1.1941893,0.12827691,0.4223544,0.5995245,0.3172595
A_recon,-2.3355064,0.21965304,-0.059375614,0.26036423,0.71266055
A_recon,-1.1188936,2.0251887,0.16069525,0.26433972,0.53347754
A_recon,-1.5889902,0.9259336,-1.6077226,0.288328,0.77691567
A_recon,-2.3229575,0.70686775,0.14605016,0.09771566,0.7062757
A_recon,-0.74446774,-1.8116248,1.0808119,0.74094445,0.5097969
A_recon,-2.2693186,-0.4305129,1.6031346,0.65067244,0.5635589
A_recon,0.87297344,-0.52404314,0.28310817,0.6065081,0.38323662
A_recon,0.77333593,2.2997665,0.71933734,0.03404558,0.33229294
A_recon,-0.8248925,-0.07811457,0.28184593,0.42946413,0.5382525
A_recon,-1.1834807,-2.3380694,-0.11021727,0.6852036,0.6647419
A_recon,-0.21044016,1.3096869,-1.6607285,0.15634665,0.6498373
A_recon,2.0956757,-0.8091547,0.14229035,0.38565785,0.28784785
A_recon,2.181949,1.3227789,-0.056848496,0.019834146,0.31954485
A_recon,0.6760607,0.6763034,-0.9925407,0.081857994,0.55823284
A_recon,0.17014599,-0.64177996,-2.2700691,0.21645358,0.71735644
A_recon,-0.4173026,-1.089417,-1.1096649,0.41465017,0.6430997
A_recon,-1.1340661,0.23661625,1.6278241,0.46324003,0.42159986
A_recon,1.4750929,-0.30384648,0.35269225,0.88452154,0.35296303
A_recon,0.87914395,-0.777523,-1.3776697,0.31665844,0.5482603
A_recon,-2.1265454,1.0717124,0.39292246,0.021463877,0.6573421
A_recon,-0.6474652,1.4540329,1.0389347,0.8262234,0.42026156
A_recon,0.3494115,0.28592962,-0.3044749,0.061846934,0.5410707
A_recon,-0.9366832,1.2414052,1.7445598,0.09299199,0.39106482
A_recon,-0.89113235,-0.22520483,-0.6351542,0.96318173,0.6782611
A_recon,-0.054793358,-1.492552,1.8747928,0.7533654,0.35356417
A_recon,-2.5752225,-0.19511497,-1.2686417,0.3378542,0.87363505
A_recon,0.66835546,1.780515,-1.1161525,0.13217884,0.5349316
A_recon,2.209122,1.0036088,0.22129315,0.38673058,0.22501422
A_recon,-1.8974118,2.2321396,-0.9630047,0.3391949,0.7006385
A_recon,-1.6997275,-1.3179429,-0.54473263,0.8744412,0.7581495
A_recon,-0.69509983,1.637943,-0.6690182,0.41875303,0.5503445
A_recon,2.7509665,-0.858216,-0.11590108,0.082045004,0.31471118
A_recon,1.9398391,-0.91043514,1.0393822,0.9268052,0.28741097
A_recon,-0.9713211,0.7969604,1.7163484,0.6223134,0.3960675
A_recon,-0.6933603,2.1822402,-0.08587882,0.11670986,0.5363058
A_recon,-0.4335575,1.0501959,0.289989,0.11317416,0.5128877
A_recon,3.7199593,-0.7330896,0.16051525,0.46593323,0.123324856
A_recon,-1.1173496,0.78188956,-0.41093847,0.09208897,0.6624031
A_recon,-2.8480105,0.56003153,0.9299662,0.6317522,0.65079606
A_recon,1.5525076,-1.3673251,1.2450871,0.6163838,0.2383828
A_recon,1.2325375,0.33945632,-0.8561745,0.032081347,0.52231634
A_recon,-0.35071898,0.15652439,1.4403113,0.80742276,0.3855723
A_recon,-2.048545,-0.23891002,1.5994127,0.7867948,0.542801
A_recon,-0.13961697,-0.21931374,-1.3251793,0.9153083,0.671812
A_recon,-0.20100689,-2.2871993,0.03326702,0.6703066,0.56062335
A_recon,0.55910254,-1.0521293,2.0620406,0.6928622,0.2578892
A_recon,-0.2808318,-0.3645966,-2.0187688,0.16374165,0.74020517
A_recon,2.5230832,0.8695117,-1.2514207,0.023888813,0.41790918
A_recon,0.80690575,1.121203,0.43601233,0.06556315,0.39321512
A_recon,0.5236573,1.337285,0.17292786,0.9644613,0.42605388
A_recon,-1.4518657,-1.1460817,1.3951076,0.6457214,0.521783
A_recon,-1.3014622,0.13490951,1.7585912,0.9469067,0.46089914
A_recon,-2.422626,-0.21862656,-1.2880623,0.34938437,0.84184515
A_recon,-0.25257683,-1.1959317,0.52693725,0.7552216,0.49741286
A_recon,2.432081,1.1090105,-1.0618501,0.06539897,0.39564312
A_recon,0.067150116,0.41352093,-1.1010094,0.16620517,0.6066232
A_recon,-1.4199839,2.3947592,-0.98700094,0.27713335,0.64376926
A_recon,0.35933256,-0.45371556,-0.24208948,0.55031824,0.4717726
A_recon,-0.9069762,0.614203,2.1764758,0.55740887,0.34676823
A_recon,-0.5941076,-0.34600127,1.3888977,0.49898645,0.41003004
A_recon,0.26983404,1.4737408,0.9962443,0.42446357,0.31875056
A_recon,-1.9194102,-0.5920041,0.62787306,0.5757052,0.63467926
A_recon,-0.35676384,-0.87591344,0.851696,0.9666624,0.51664317
A_recon,1.8750954,-0.50611395,-0.5286447,0.45807955,0.3540404
A_recon,0.4169159,-0.9711357,-0.11302611,0.8374714,0.51243865
A_recon,-1.448225,0.6446969,-0.8923771,0.055871964,0.7348913
A_recon,1.7871847,-0.8070664,-0.57960314,0.38558725,0.37792838
A_recon,-2.0025263,-1.5794318,-1.1044219,0.56049645,0.81745696
A_recon,-2.637671,-0.026584089,0.7835475,0.62032056,0.6546758
A_recon,1.980499,-0.44081277,-0.28937066,0.25001833,0.33469406
A_recon,1.2901154,0.9429617,0.6454499,0.399291,0.27863497
A_recon,-0.17240429,1.3105335,-0.15683585,0.94700617,0.5121914
A_recon,-1.5451784,1.1994909,-0.4705887,0.64885074,0.6266721
A_recon,2.3701818,-1.0836644,-0.6197138,0.58496624,0.33736527
A_recon,2.0875096,0.9492456,0.7167437,0.065298714,0.2558162
A_recon,1.9753735,2.7713706,0.9108527,0.05217626,0.1860671
A_recon,-2.360838,0.83893645,-0.21885192,0.21139845,0.7263856
A_recon,3.5716496,0.88491166,-0.04766822,0.13782278,0.16141762
A_recon,-2.3535695,0.08800873,-0.046960413,0.9837499,0.7527768
A_recon,0.092142105,1.3068528,-0.097783774,0.0027471476,0.5076407
A_recon,0.80851316,0.18639302,0.45115733,0.36584353,0.35917202
A_recon,-1.2211318,-1.4661653,-1.7005042,0.05842245,0.85249686
A_recon,2.0426767,-0.061828375,1.6242442,0.64001054,0.12744604
A_recon,-0.24403715,-0.5865132,-0.35102624,0.0465332,0.60873556
A_recon,0.10586262,0.1463167,0.60321,0.06840964,0.4678306
A_recon,-0.968513,-1.1776989,-1.4910364,0.0799425,0.79143965
A_recon,0.30270815,1.8756492,-0.13054848,0.27178514,0.41864938
A_recon,-0.7722182,-1.2800632,0.34782708,0.5763581,0.5633414
A_recon,-1.1043634,0.63204014,0.67582095,0.8054486,0.51933295
A_recon,3.0937538,-0.1488232,-0.85234773,0.2671916,0.27295974
A_recon,3.024323,1.5051365,-0.12813532,0.28317106,0.15931958
A_recon,0.29698992,-2.0841317,0.6247097,0.82448214,0.48599783
A_recon,-1.384964,0.3203596,-0.6361297,0.7459484,0.68025297
A_recon,-1.7240591,2.1237645,-0.87376416,0.12681475,0.69235736
A_recon,-0.20103645,-1.1550672,0.7561964,0.8063489,0.47346896
A_recon,-1.8916521,0.26738948,-0.2169731,0.8312511,0.7005792
A_recon,2.0072844,-0.8267316,0.36978996,0.17782578,0.30701053
A_recon,-0.9194455,-0.99569553,0.26901197,0.626948,0.5505072
A_recon,-1.4306722,0.7576535,-1.4375641,0.19674362,0.7480077
A_recon,1.7934484,0.6820148,-1.0617119,0.24349271,0.40570226
A_recon,-1.6806059,0.14507759,0.30010974,0.49400577,0.61402136
A_recon,-0.24906969,-2.2957804,-0.15063429,0.52222,0.5882224
A_recon,-1.2008328,0.72141445,0.4787659,0.47903353,0.53627795
A_recon,-1.8094578,0.23402762,1.9078572,0.54114103,0.47301388
A_recon,2.7626286,0.12327474,-1.6940235,0.21316467,0.3986265
A_recon,-0.44507694,-2.0754726,0.7620442,0.77858037,0.51930207
A_recon,0.6258235,-0.35805964,0.5732719,0.27784842,0.37340516
