encoder,dim,metric,baseline,ablated,importance
B_task,0,task_r2,0.9862770438194275,0.976301908493042,0.009975135326385498
B_task,1,task_r2,0.9862770438194275,0.6076420545578003,0.3786349892616272
B_task,2,task_r2,0.9862770438194275,-0.49068892002105713,1.4769659638404846
B_task,3,task_r2,0.9862770438194275,0.4241207242012024,0.5621563196182251
B_task,4,task_r2,0.9862770438194275,-3.8902926445007324,4.87656968832016
B_task,5,task_r2,0.9862770438194275,0.42272311449050903,0.5635539293289185
B_task,6,task_r2,0.9862770438194275,-27.876190185546875,28.862467229366302
B_task,7,task_r2,0.9862770438194275,-0.17389202117919922,1.1601690649986267
A_recon,0,recon_mse,0.003467037109658122,0.06254833191633224,0.05908129480667412
A_recon,1,recon_mse,0.003467037109658122,0.03520747274160385,0.03174043563194573
A_recon,2,recon_mse,0.003467037109658122,0.011245681904256344,0.007778644794598222
A_recon,3,recon_mse,0.003467037109658122,0.014666245318949223,0.0111992082092911
A_recon,4,recon_mse,0.003467037109658122,0.06975159049034119,0.06628455338068306
A_recon,5,recon_mse,0.003467037109658122,0.01941373571753502,0.015946698607876897
A_recon,6,recon_mse,0.003467037109658122,0.09376378357410431,0.09029674646444619
A_recon,7,recon_mse,0.003467037109658122,0.07994409650564194,0.07647705939598382
