encoder,noise_std,task_r2
A_recon,0.05,0.9190011024475098
B_task,0.05,0.9870578646659851
A_recon,0.1,0.9098851680755615
B_task,0.1,0.9698386788368225
A_recon,0.2,0.8761789798736572
B_task,0.2,0.907313346862793
A_recon,0.3,0.8252378702163696
B_task,0.3,0.8241434097290039
A_recon,0.4,0.7611254453659058
B_task,0.4,0.7343040704727173
