encoder,task_axis,distractor_axis,residual_axis,task,brightness
A_recon,0.10981153987876502,1.500226184992705,-1.433360866616975,0.5118216276168823,0.8106484413146973
A_recon,1.6172506963046618,0.4685700927438293,0.287903623116786,0.9504637122154236,0.48836907744407654
A_recon,-1.3887041603086825,-0.7694857456609951,-0.25407841954155586,0.14415961503982544,0.4231274127960205
A_recon,1.0635886996507418,1.02969184563274,-1.1776379053058375,0.9486494660377502,0.6500909328460693
A_recon,-0.7141240886401691,-1.0018687217659288,1.151932555221458,0.31183144450187683,0.3378642797470093
A_recon,-0.07308513072136945,-0.25505308565627244,0.20916098488108156,0.4233264625072479,0.4525682032108307
A_recon,1.073904135321102,1.2661863374357876,-0.9035820704683015,0.8277025818824768,0.6967827081680298
A_recon,-0.23700724015924388,-0.9722337424160257,0.35976321449548615,0.40919914841651917,0.3129856288433075
A_recon,-0.030190933884794133,-0.6607000536397654,0.11040352509035595,0.5495936870574951,0.360800564289093
A_recon,-1.3233188165403627,-0.5233289353225533,0.5564610523473806,0.02755911275744438,0.4838915765285492
A_recon,0.7578418796273573,-0.20662633389103807,-1.1291177762518338,0.7535130977630615,0.40939265489578247
A_recon,0.15935524412645036,-0.9941347638446915,0.508290069458188,0.5381433367729187,0.27188780903816223
A_recon,-0.2856018077019545,1.2962844892926617,-1.2875275002767796,0.32973170280456543,0.7966046333312988
A_recon,1.2887634445984375,0.45835855401880304,0.10564712363364187,0.7884287238121033,0.5022666454315186
A_recon,-0.5810897531090222,0.35257364016887704,-1.5813003841099333,0.3031948208808899,0.6213483810424805
A_recon,-0.008418897218292675,1.3078976142248009,-0.7445766191176002,0.45349788665771484,0.7743644118309021
A_recon,-1.3546728239476233,-0.7134955242537179,-0.16129522978245286,0.1340416967868805,0.43567001819610596
A_recon,-0.018842286965000385,1.5260668575203375,-1.330162902871995,0.4031129777431488,0.8204679489135742
A_recon,-0.8830125708928847,0.9102563153799106,-0.9136567978854023,0.20345523953437805,0.7357004880905151
A_recon,-1.048978790890892,-1.4077097644637397,0.5960033422392396,0.2623133361339569,0.27472439408302307
A_recon,0.939892860189615,0.24108814795960035,-0.6196674219653239,0.7503646612167358,0.48002371191978455
A_recon,-0.9915269610653438,0.09938891670707442,0.1418076779761902,0.2804087698459625,0.5828237533569336
A_recon,0.05638261306677178,-2.0765085281779796,2.2761697547266215,0.4851909875869751,0.061048708856105804
A_recon,1.4375671667761305,0.18399325333481606,0.9443574066766887,0.9807372093200684,0.4449562430381775
A_recon,1.7375414785856655,-0.44724083336466264,1.2822725193424764,0.9616571664810181,0.29128557443618774
A_recon,0.7315468737216242,0.8704724276369405,-0.07514763381055634,0.7247899174690247,0.6285773515701294
A_recon,0.04346458666205727,-0.7413548280138785,-0.534539533452988,0.541226863861084,0.35060542821884155
A_recon,-0.607064149852883,0.6503124866704119,-1.3802788215220139,0.27689120173454285,0.674125075340271
A_recon,-1.1090433867934264,0.682969678283258,-0.1710880514617069,0.1606520116329193,0.7166146039962769
A_recon,0.9393191528590993,0.8288549024036783,-0.8337959208745477,0.9699254035949707,0.6159759759902954
A_recon,0.1195234870160296,-0.13810224661151638,0.046894258443406965,0.5160685777664185,0.4640398919582367
A_recon,-1.4239791445743617,-0.13052380380540304,0.9203674905862531,0.11586561053991318,0.5671048760414124
A_recon,0.260647100336709,-0.07406918688881757,-0.9953014180307068,0.6234897375106812,0.4728398025035858
A_recon,0.727309520014332,1.3430201651845592,-1.9491861853917816,0.7766830921173096,0.7359158992767334
A_recon,0.25443964736465846,-0.23445111216390987,0.9152717537691152,0.6130033135414124,0.4343504309654236
A_recon,1.492370074881229,0.7435540702586511,-0.3831846129995596,0.9172977209091187,0.5513756275177002
A_recon,-1.0645679780077641,0.23737687390726564,-0.7691629585678429,0.03959287703037262,0.6205679178237915
A_recon,-0.13091024050028385,1.9492695155524509,-2.3652012362972217,0.5285892486572266,0.9213970303535461
A_recon,0.05049100414223596,0.5064667974308099,0.1862122253933317,0.45933589339256287,0.6056982278823853
A_recon,-0.8408302899178168,-0.08430914140667777,-1.2644080527186659,0.062349580228328705,0.5462784171104431
A_recon,0.3843974576989905,-0.9527507514443274,0.7215128143405992,0.6413281559944153,0.2835615277290344
A_recon,1.837856696760498,-0.3840052908941225,1.0074704026757286,0.8526328206062317,0.2926396429538727
A_recon,0.02302483040413415,1.5916462113367442,-0.8013263106422136,0.5929410457611084,0.8287848234176636
A_recon,-0.9087975519473983,-0.4125834164843202,-0.41314270961558586,0.2600974440574646,0.472838819026947
A_recon,1.4156654963225563,0.6051603485604466,-0.9161429465294564,0.8398815393447876,0.5268955826759338
A_recon,-0.10481586014400734,-0.5595895633186444,-0.628396534083991,0.5094958543777466,0.39419472217559814
A_recon,0.12309576007558014,1.2039099777192908,-1.1724763072061914,0.5108888745307922,0.7357016205787659
A_recon,1.021972384170312,0.6050004629663701,-0.2272050007294134,0.7530301809310913,0.5556188225746155
A_recon,-1.3751539562755837,-0.48740733765238686,-0.09074537501303835,0.14792203903198242,0.4838877022266388
A_recon,1.360986476893158,0.06961092577800325,-0.3525419532627282,0.8196267485618591,0.42132171988487244
A_recon,0.5950512383461344,-1.3170467652225355,0.8288040179308401,0.6832869052886963,0.18848145008087158
A_recon,1.4001690731821463,0.12604055546246468,-0.013439115997962242,0.7870969176292419,0.4315235912799835
A_recon,-1.0564740606447252,0.5318647940026405,0.3385787686806336,0.1916162520647049,0.6729682087898254
A_recon,1.456441186141924,0.3612325738710507,0.9110550928917818,0.8023641705513,0.4800049066543579
A_recon,-1.0038065958680495,0.7276988895486184,-0.9172216011295712,0.191323921084404,0.7152619957923889
A_recon,-1.7370301770814633,-1.8780062736202743,2.031020495108817,0.08155261725187302,0.22803930938243866
A_recon,0.8651723944070006,1.9238907947228554,-1.770183533661742,0.855226993560791,0.8363189101219177
A_recon,1.8318041980930453,-1.3683625300945865,1.5921752273611933,0.8612834811210632,0.08773241192102432
A_recon,1.2026636544297862,0.9560343703780682,-1.1603049121670006,0.8765370845794678,0.6271981596946716
A_recon,-0.027957126616145342,1.7996155529673303,-1.2197492101678777,0.4719097316265106,0.8872122764587402
A_recon,-0.6891290592695966,1.1837081541676642,-1.1389470771604409,0.274048388004303,0.8031964302062988
A_recon,-1.1627983750241364,0.15805396437308897,0.16609363734471944,0.0070918286219239235,0.6213805675506592
A_recon,0.38891912211150953,-0.7369899363560076,0.20333317039270773,0.645720899105072,0.3278900980949402
A_recon,0.7873922793878805,0.39750850854764697,-1.108326347778592,0.7199093699455261,0.5211317539215088
A_recon,0.8118455455001136,1.8379701626748128,-1.7117607602491305,0.8355692028999329,0.8287965655326843
A_recon,-0.9687396470591835,-1.7641241090846758,0.47978167267321203,0.2818778157234192,0.20269370079040527
A_recon,-0.8428553606544963,1.1530592672114028,-0.7113140857934547,0.2152181714773178,0.8044399619102478
A_recon,0.3698272282440005,-1.516001661947511,0.31479998005836485,0.6393314003944397,0.16294103860855103
A_recon,1.3987995008334924,0.3003312109473046,0.21005753450437664,0.8050548434257507,0.46718698740005493
A_recon,0.922592362592371,1.6956600011003342,-0.3597304459065776,0.9636708498001099,0.8021585941314697
A_recon,-1.3735619892781876,0.09366016654003312,0.5185659501514774,0.1505248248577118,0.6085343956947327
A_recon,-0.15134862714847544,-1.456173900793145,0.17552041622755918,0.4822123944759369,0.21474340558052063
A_recon,1.629447759286923,-0.1909964542804038,1.1827008155659033,0.8947158455848694,0.35549071431159973
A_recon,-0.10147922491481985,-0.5312575863145833,0.5574361883329346,0.4227169156074524,0.40565404295921326
A_recon,0.20605711441771174,-0.4899097181242764,0.5323539746639049,0.5895020365715027,0.37588009238243103
A_recon,-0.7189870983026613,0.8254221961322006,-1.7305229920344722,0.024490676820278168,0.715915322303772
A_recon,0.31341877588815337,1.8245173103953969,-1.6448393780757564,0.6734598875045776,0.861656129360199
A_recon,1.6809668205089687,0.48983700779915446,1.0905744179493886,0.91908860206604,0.49032360315322876
A_recon,1.2369746241005717,0.08247778114024777,-0.44798872026036385,0.8268253207206726,0.43476060032844543
A_recon,1.301412963502051,1.501163254862002,-0.8369903662836163,0.8855202794075012,0.7274868488311768
A_recon,0.41105965041229525,1.3404667146024654,-1.4135525621536162,0.6603553891181946,0.7499695420265198
A_recon,-0.9342860762163293,0.7207570407855367,0.14967711209977527,0.24555227160453796,0.7090831995010376
A_recon,1.2509043247744394,-1.0863811064184457,1.1006783065077077,0.768517017364502,0.18788184225559235
A_recon,-1.2051644696438455,-0.10213004877216666,0.7802597893862085,0.2116747498512268,0.5545973181724548
A_recon,1.2260432625567037,1.323524381311218,-1.0179561129146748,0.8312748074531555,0.6964728832244873
A_recon,-1.1057317346595363,0.3787513029815942,-1.057899476101103,0.06271792203187943,0.644560694694519
A_recon,1.2793442722274562,-0.17620088778043755,-0.13897132155112726,0.8254877924919128,0.3759467899799347
A_recon,-1.6263168618695383,-1.0521216252843295,1.3418547081746774,0.16450726985931396,0.38897064328193665
A_recon,-0.38366912513300605,0.07737513530983826,0.1348613145310005,0.3751469850540161,0.544818639755249
A_recon,-0.6401705958506022,-0.12189382510695536,0.5162625007061695,0.31673815846443176,0.5133705139160156
A_recon,0.6253047664022833,-0.7471470281197138,1.206272350680672,0.6913370490074158,0.3082091808319092
A_recon,-1.679370806562859,-1.7133779564280982,1.5884276900159027,0.178571879863739,0.25442856550216675
A_recon,-0.31146896521166767,-0.8825396847784042,0.788980844512997,0.39625614881515503,0.3420940935611725
A_recon,-1.242669772949715,-0.7150249945932512,0.018144985768818046,0.005824595224112272,0.43022164702415466
A_recon,-1.0552289393506196,-1.5009236261968124,1.04705581480828,0.2624947130680084,0.2623886168003082
A_recon,-0.04158567361676717,-1.0697954962395755,1.1057966825901249,0.4211888015270233,0.27819156646728516
A_recon,-0.831596940919433,0.962740554874835,-1.5709361083322781,0.10592123866081238,0.752862274646759
A_recon,0.14571273894551673,0.8300092176203524,-1.844856275967845,0.6331599354743958,0.6671489477157593
A_recon,-0.24856163958501312,-0.27057686739428854,0.25725495567555945,0.38042426109313965,0.45531144738197327
