seed,model,subset,horizon,n,mae_px,mae_px_lo,mae_px_hi,rmse_px,r2
0,A_recon_task,all,1,500,0.3567392826080322,0.3280635178089142,0.3888089954853058,0.5062633156776428,0.984280526638031
0,A_recon_task,all,2,500,0.32719072699546814,0.30241501331329346,0.35639989376068115,0.4603177309036255,0.9886496663093567
0,A_recon_task,all,3,500,0.3802002966403961,0.3501938581466675,0.4108286499977112,0.5208251476287842,0.98704594373703
0,A_recon_task,all,4,500,0.4665277600288391,0.4327567219734192,0.49918824434280396,0.610503077507019,0.9835314154624939
0,A_recon_task,all,5,500,0.5596411228179932,0.5183272361755371,0.6021491885185242,0.7213081121444702,0.9781875610351562
0,A_recon_task,all,6,500,0.6718710064888,0.629246711730957,0.7184017300605774,0.8450502157211304,0.9712317585945129
0,A_recon_task,all,7,500,0.7804695963859558,0.7295950055122375,0.8294679522514343,0.9709224700927734,0.9628996849060059
0,A_recon_task,all,8,500,0.8680522441864014,0.8122406005859375,0.9230512976646423,1.0822166204452515,0.9536650776863098
0,A_recon_task,all,9,500,0.9656530022621155,0.9021732807159424,1.025543451309204,1.2100682258605957,0.9408305287361145
0,A_recon_task,all,10,500,1.0749421119689941,1.0081167221069336,1.1452760696411133,1.3354148864746094,0.9247639179229736
0,A_recon_task,no_bounce,1,208,0.3156309127807617,0.2843020260334015,0.347299724817276,0.39400485157966614,0.9708149433135986
0,A_recon_task,no_bounce,2,208,0.2867843508720398,0.25401541590690613,0.3173038959503174,0.370073527097702,0.9732309579849243
0,A_recon_task,no_bounce,3,208,0.3183749318122864,0.2794100046157837,0.35648882389068604,0.42405563592910767,0.9671722054481506
0,A_recon_task,no_bounce,4,208,0.39879152178764343,0.356056272983551,0.4442022144794464,0.5162628293037415,0.9586787819862366
0,A_recon_task,no_bounce,5,208,0.5124951601028442,0.46124717593193054,0.565743088722229,0.6408867835998535,0.9488123655319214
0,A_recon_task,no_bounce,6,208,0.6137350797653198,0.5493429899215698,0.6763313412666321,0.7707226276397705,0.9415317177772522
0,A_recon_task,no_bounce,7,208,0.6707359552383423,0.5960044264793396,0.7506155967712402,0.8695182204246521,0.9414734244346619
0,A_recon_task,no_bounce,8,208,0.7267404794692993,0.6481065154075623,0.8116679191589355,0.9492149949073792,0.9445227980613708
0,A_recon_task,no_bounce,9,208,0.8180673122406006,0.7316418290138245,0.9107217192649841,1.0423967838287354,0.9461877346038818
0,A_recon_task,no_bounce,10,208,0.9995551705360413,0.9048117399215698,1.0906480550765991,1.2347009181976318,0.9382117986679077
0,A_recon_task,bounce,1,292,0.3860219717025757,0.3463888466358185,0.43486183881759644,0.572968065738678,0.9863932132720947
0,A_recon_task,bounce,2,292,0.35597339272499084,0.32068225741386414,0.40195396542549133,0.5150464773178101,0.9906325340270996
0,A_recon_task,bounce,3,292,0.4242402911186218,0.380770206451416,0.4648702144622803,0.5799923539161682,0.9894720911979675
0,A_recon_task,bounce,4,292,0.5147783160209656,0.46880829334259033,0.5663079023361206,0.6695923209190369,0.9868738055229187
0,A_recon_task,bounce,5,292,0.5932245254516602,0.536920428276062,0.649511456489563,0.7735118865966797,0.982966959476471
0,A_recon_task,bounce,6,292,0.7132829427719116,0.6531916856765747,0.7850176095962524,0.8942360281944275,0.9773257374763489
0,A_recon_task,bounce,7,292,0.8586361408233643,0.7946189641952515,0.9246644973754883,1.0371265411376953,0.9686464667320251
0,A_recon_task,bounce,8,292,0.968712568283081,0.8950669169425964,1.0371745824813843,1.167755126953125,0.9570001363754272
0,A_recon_task,bounce,9,292,1.0707825422286987,0.9807716012001038,1.1605061292648315,1.316545844078064,0.9380776882171631
0,A_recon_task,bounce,10,292,1.1286423206329346,1.0316879749298096,1.230190634727478,1.4027533531188965,0.9144875407218933
0,B_task_only,all,1,500,0.5503435134887695,0.5064454674720764,0.5969335436820984,0.7468709945678711,0.9657881259918213
0,B_task_only,all,2,500,0.587380588054657,0.545042872428894,0.6331955790519714,0.7753379344940186,0.9677985310554504
0,B_task_only,all,3,500,0.6704925894737244,0.6223884224891663,0.7156273126602173,0.8508452773094177,0.9654280543327332
0,B_task_only,all,4,500,0.7349677681922913,0.686760663986206,0.784888505935669,0.9209892153739929,0.9625208973884583
0,B_task_only,all,5,500,0.8072624802589417,0.7573686838150024,0.8594315052032471,1.0040082931518555,0.9577391743659973
0,B_task_only,all,6,500,0.9070051312446594,0.8508323431015015,0.9690512418746948,1.113928198814392,0.9500123262405396
0,B_task_only,all,7,500,1.0057928562164307,0.9400101900100708,1.0685383081436157,1.2413768768310547,0.9393520355224609
0,B_task_only,all,8,500,1.1079331636428833,1.0440313816070557,1.1768553256988525,1.3677083253860474,0.9259939193725586
0,B_task_only,all,9,500,1.2241840362548828,1.1431437730789185,1.306811809539795,1.5120402574539185,0.9076143503189087
0,B_task_only,all,10,500,1.3592480421066284,1.2765833139419556,1.4401806592941284,1.6730908155441284,0.881904661655426
0,B_task_only,no_bounce,1,208,0.6574297547340393,0.5825831890106201,0.7309372425079346,0.8490360379219055,0.8644779324531555
0,B_task_only,no_bounce,2,208,0.6750615835189819,0.599412202835083,0.7462230920791626,0.8668403625488281,0.8531293869018555
0,B_task_only,no_bounce,3,208,0.7212188243865967,0.6482439637184143,0.798469603061676,0.9150944948196411,0.8471279144287109
0,B_task_only,no_bounce,4,208,0.7484328150749207,0.6629171967506409,0.8242729902267456,0.9581829309463501,0.8576595783233643
0,B_task_only,no_bounce,5,208,0.7642826437950134,0.6752121448516846,0.8468750715255737,1.0004464387893677,0.875264585018158
0,B_task_only,no_bounce,6,208,0.8013013005256653,0.7083196043968201,0.9016641974449158,1.0664563179016113,0.8880535960197449
0,B_task_only,no_bounce,7,208,0.8513348698616028,0.7469999194145203,0.9596492648124695,1.1465351581573486,0.8982415199279785
0,B_task_only,no_bounce,8,208,0.9211386442184448,0.8102695345878601,1.0358922481536865,1.2411680221557617,0.9051479697227478
0,B_task_only,no_bounce,9,208,1.0284175872802734,0.9104530215263367,1.1477477550506592,1.3472651243209839,0.9101079702377319
0,B_task_only,no_bounce,10,208,1.1928633451461792,1.0701496601104736,1.3175891637802124,1.5169397592544556,0.9067350029945374
0,B_task_only,bounce,1,292,0.47406288981437683,0.4229845702648163,0.5279911756515503,0.6645855903625488,0.9816938638687134
0,B_task_only,bounce,2,292,0.5249229669570923,0.4720870852470398,0.5804211497306824,0.7029310464859009,0.9825516939163208
0,B_task_only,bounce,3,292,0.6343588829040527,0.5804038643836975,0.6943660378456116,0.8019454479217529,0.9798725843429565
0,B_task_only,bounce,4,292,0.725376307964325,0.6644729375839233,0.7851943969726562,0.8935514092445374,0.9766247272491455
0,B_task_only,bounce,5,292,0.8378781676292419,0.7711109519004822,0.9002810716629028,1.006537914276123,0.971158504486084
0,B_task_only,bounce,6,292,0.9823010563850403,0.9135241508483887,1.0500158071517944,1.1465457677841187,0.9627254605293274
0,B_task_only,bounce,7,292,1.115817904472351,1.0411908626556396,1.1921064853668213,1.3047374486923218,0.9503785967826843
0,B_task_only,bounce,8,292,1.2409923076629639,1.1606171131134033,1.3264318704605103,1.4511325359344482,0.933598518371582
0,B_task_only,bounce,9,292,1.3636343479156494,1.2603026628494263,1.4600697755813599,1.6192200183868408,0.9063329100608826
0,B_task_only,bounce,10,292,1.4777685403823853,1.3610268831253052,1.5947765111923218,1.775968074798584,0.8629316687583923
0,baseline_constant,all,1,500,0.5929955244064331,0.5756234526634216,0.6102555394172668,0.6262861490249634,0.9759435653686523
0,baseline_constant,all,2,500,1.1605467796325684,1.1262922286987305,1.1960951089859009,1.2288477420806885,0.9191109538078308
0,baseline_constant,all,3,500,1.7041178941726685,1.6527682542800903,1.7611044645309448,1.8081568479537964,0.8438669443130493
0,baseline_constant,all,4,500,2.1815097332000732,2.108349084854126,2.2532100677490234,2.3391408920288086,0.7582353353500366
0,baseline_constant,all,5,500,2.595438003540039,2.4928505420684814,2.696337938308716,2.828030824661255,0.6647015810012817
