model,epoch,task_mse,recon_mse,seed
A_recon_task,1,0.22350613866001368,0.09770180890336633,0
A_recon_task,2,0.1017261822707951,0.08369252365082502,0
A_recon_task,3,0.06822981592267752,0.07279536058194935,0
A_recon_task,4,0.05638177040964365,0.046453590504825115,0
A_recon_task,5,0.04681612574495375,0.02705992676783353,0
A_recon_task,6,0.03776285354979336,0.019302391621749848,0
A_recon_task,7,0.03067670203745365,0.01473077479749918,0
A_recon_task,8,0.02653161925263703,0.01314608781831339,0
A_recon_task,9,0.022184254368767142,0.012269483238924295,0
A_recon_task,10,0.018837324634660035,0.01149434392573312,0
A_recon_task,11,0.015989045321475714,0.010557079978752881,0
A_recon_task,12,0.01420822727959603,0.00913357170065865,0
A_recon_task,13,0.01341079146368429,0.007729044125881046,0
A_recon_task,14,0.012847525358665735,0.006816047098254785,0
A_recon_task,15,0.012694351433310658,0.006423671555239707,0
A_recon_task,16,0.012262110423762351,0.006377127137966454,0
A_recon_task,17,0.011517783044837415,0.006099122460000217,0
A_recon_task,18,0.011141820694319904,0.005862866382813081,0
A_recon_task,19,0.010783854057081044,0.005647881043842062,0
A_recon_task,20,0.01059004815761,0.00545312202302739,0
A_recon_task,21,0.01010471221525222,0.00524371350184083,0
A_recon_task,22,0.010400162194855511,0.0052748050657100976,0
A_recon_task,23,0.009766264556674287,0.005032255605328828,0
A_recon_task,24,0.009369634557515383,0.0048990698996931314,0
A_recon_task,25,0.00905284591135569,0.004788158577866852,0
A_recon_task,26,0.009573778545018286,0.004840220120968297,0
A_recon_task,27,0.009599086450180039,0.0048077872779686,0
A_recon_task,28,0.008392615796765313,0.004668610170483589,0
A_recon_task,29,0.008299788692966104,0.004650955670513213,0
A_recon_task,30,0.008043864014325663,0.004550187528366223,0
A_recon_task,31,0.007842954859370366,0.004587312636431307,0
A_recon_task,32,0.007515300821978599,0.004616745165549219,0
A_recon_task,33,0.007483734952984378,0.004609976313076913,0
A_recon_task,34,0.007358832663157955,0.0044510211737360805,0
A_recon_task,35,0.00743341410998255,0.004514585045399144,0
A_recon_task,36,0.007099416427081451,0.0045570975344162434,0
A_recon_task,37,0.006975570606300607,0.004520016635069624,0
A_recon_task,38,0.007630441541550681,0.004910852730972692,0
A_recon_task,39,0.007472563796909526,0.004659926489694044,0
A_recon_task,40,0.006835474428953603,0.004548450437141582,0
A_recon_task,41,0.006380969891324639,0.00443838830688037,0
A_recon_task,42,0.0063586093310732394,0.004417218442540616,0
A_recon_task,43,0.005986441654385999,0.004304855392547324,0
A_recon_task,44,0.00577106440323405,0.00425705048837699,0
A_recon_task,45,0.005848894274095073,0.004273630533134565,0
A_recon_task,46,0.005631632695440203,0.004247122706146911,0
A_recon_task,47,0.005513577896635979,0.004288719443138689,0
A_recon_task,48,0.005146269628312439,0.004166111990343779,0
A_recon_task,49,0.005035040026996285,0.004054216435179114,0
A_recon_task,50,0.005017614865209907,0.004144047270528972,0
A_recon_task,51,0.004921160521917045,0.0042915008089039475,0
A_recon_task,52,0.004930611641611904,0.004198851092951372,0
A_recon_task,53,0.004680176149122417,0.004175681504420936,0
A_recon_task,54,0.004810389276826754,0.004109288493054919,0
A_recon_task,55,0.004732401488581672,0.0040476266731275246,0
A_recon_task,56,0.00438655041216407,0.003969054945628159,0
A_recon_task,57,0.00444216508185491,0.003987483112723567,0
A_recon_task,58,0.0044268298806855455,0.004116376716410741,0
A_recon_task,59,0.004134717310080305,0.003891618500347249,0
A_recon_task,60,0.004018155043013394,0.0038480814546346664,0
A_recon_task,61,0.0038065712724346668,0.00376070685160812,0
A_recon_task,62,0.003947798642911948,0.0039353496104013175,0
A_recon_task,63,0.0037035621207905933,0.0038441052165580913,0
A_recon_task,64,0.003656475353636779,0.003769088754779659,0
A_recon_task,65,0.0034771999780787155,0.003698073560371995,0
A_recon_task,66,0.003463728484348394,0.003763811182579957,0
A_recon_task,67,0.00347559129295405,0.003690209792694077,0
A_recon_task,68,0.004061427869601175,0.003939339119824581,0
A_recon_task,69,0.003390115642105229,0.0038443113153334707,0
A_recon_task,70,0.00332534454355482,0.0037201450031716377,0
A_recon_task,71,0.0032667213527020067,0.003692342186695896,0
A_recon_task,72,0.003066046192543581,0.0036561576125677675,0
A_recon_task,73,0.00293210860399995,0.00362533240695484,0
A_recon_task,74,0.003000744996825233,0.0037287245941115543,0
A_recon_task,75,0.0030702398653374985,0.0036238254833733663,0
A_recon_task,76,0.0029337263404158875,0.0035831521527143195,0
A_recon_task,77,0.0026522317057242617,0.003569099455489777,0
A_recon_task,78,0.0025857460568659008,0.0035521256213542074,0
A_recon_task,79,0.002586696748039685,0.0035839253396261483,0
A_recon_task,80,0.0024573255359428003,0.0034915771830128506,0
B_task_only,1,0.22384385857731104,0.0,0
B_task_only,2,0.10606218781322241,0.0,0
B_task_only,3,0.09776957659050822,0.0,0
B_task_only,4,0.07966385036706924,0.0,0
B_task_only,5,0.048777567222714424,0.0,0
B_task_only,6,0.03816378931514919,0.0,0
B_task_only,7,0.03197512635961175,0.0,0
B_task_only,8,0.028781261295080185,0.0,0
B_task_only,9,0.022228657850064337,0.0,0
B_task_only,10,0.017797627195250243,0.0,0
B_task_only,11,0.014752312796190381,0.0,0
B_task_only,12,0.013693807064555585,0.0,0
B_task_only,13,0.01266049180412665,0.0,0
B_task_only,14,0.012657940213102847,0.0,0
B_task_only,15,0.012585869175381958,0.0,0
B_task_only,16,0.012142980878707021,0.0,0
B_task_only,17,0.012242570461239666,0.0,0
B_task_only,18,0.010931331606116146,0.0,0
B_task_only,19,0.01041237887693569,0.0,0
B_task_only,20,0.010985591216012836,0.0,0
B_task_only,21,0.010423114756122231,0.0,0
B_task_only,22,0.010924757225438952,0.0,0
B_task_only,23,0.009915489063132554,0.0,0
B_task_only,24,0.009574041643645614,0.0,0
B_task_only,25,0.00944717982201837,0.0,0
B_task_only,26,0.011387511913198978,0.0,0
B_task_only,27,0.010938922932837158,0.0,0
B_task_only,28,0.009527554968371987,0.0,0
B_task_only,29,0.00886948691913858,0.0,0
B_task_only,30,0.008611579425632954,0.0,0
B_task_only,31,0.008565518801333383,0.0,0
B_task_only,32,0.008393046126002446,0.0,0
B_task_only,33,0.00854808633448556,0.0,0
B_task_only,34,0.008262448944151402,0.0,0
B_task_only,35,0.008323148475028574,0.0,0
B_task_only,36,0.008155455958331004,0.0,0
B_task_only,37,0.008478668954921886,0.0,0
B_task_only,38,0.008343663939740509,0.0,0
B_task_only,39,0.007896921189967543,0.0,0
B_task_only,40,0.007463166257366538,0.0,0
B_task_only,41,0.007313638867344707,0.0,0
B_task_only,42,0.007713546423474327,0.0,0
B_task_only,43,0.007407140656141564,0.0,0
B_task_only,44,0.006888202391564846,0.0,0
B_task_only,45,0.006792735424824059,0.0,0
B_task_only,46,0.006647642818279564,0.0,0
B_task_only,47,0.0067467750632204115,0.0,0
B_task_only,48,0.006553160608746111,0.0,0
B_task_only,49,0.006846434494946152,0.0,0
B_task_only,50,0.007177410705480725,0.0,0
B_task_only,51,0.0070070401998236775,0.0,0
B_task_only,52,0.006880743836518377,0.0,0
B_task_only,53,0.006178557960083708,0.0,0
B_task_only,54,0.005886554659809917,0.0,0
B_task_only,55,0.005952556122792885,0.0,0
B_task_only,56,0.006059998355340213,0.0,0
B_task_only,57,0.006247497716685757,0.0,0
B_task_only,58,0.00640814661164768,0.0,0
B_task_only,59,0.005667019780958071,0.0,0
B_task_only,60,0.0053648947505280375,0.0,0
B_task_only,61,0.005189893417991698,0.0,0
B_task_only,62,0.005045642814366147,0.0,0
B_task_only,63,0.005445520539069548,0.0,0
B_task_only,64,0.005261551996227354,0.0,0
B_task_only,65,0.005037523806095123,0.0,0
B_task_only,66,0.005351645639166236,0.0,0
B_task_only,67,0.00481889009824954,0.0,0
B_task_only,68,0.005208181159105152,0.0,0
B_task_only,69,0.0048153967945836484,0.0,0
B_task_only,70,0.004669314832426608,0.0,0
B_task_only,71,0.004621491098077968,0.0,0
B_task_only,72,0.0044581090623978525,0.0,0
B_task_only,73,0.004823001960176043,0.0,0
B_task_only,74,0.004264204369974323,0.0,0
B_task_only,75,0.004567434749333188,0.0,0
B_task_only,76,0.004758945782668889,0.0,0
B_task_only,77,0.00456708698766306,0.0,0
B_task_only,78,0.00419314693135675,0.0,0
B_task_only,79,0.003939444926800206,0.0,0
B_task_only,80,0.0040181482618208975,0.0,0
A_recon_task,1,0.15756516577675939,0.09417357668280602,1
A_recon_task,2,0.08110737428069115,0.08380979625508189,1
A_recon_task,3,0.057112208334729075,0.07147020450793207,1
A_recon_task,4,0.04676301823928952,0.042247089091688395,1
A_recon_task,5,0.04041057522408664,0.019796903885435313,1
A_recon_task,6,0.0346837961114943,0.013950196502264589,1
A_recon_task,7,0.030080574215389788,0.011918457748834044,1
A_recon_task,8,0.02518565021455288,0.0103484169812873,1
A_recon_task,9,0.019604055443778634,0.008619166212156415,1
A_recon_task,10,0.015831911412533373,0.007419728848617524,1
A_recon_task,11,0.014828489569481462,0.006932741234777495,1
A_recon_task,12,0.013763529306743294,0.006404373387340456,1
A_recon_task,13,0.012834278284572065,0.006033467099769041,1
A_recon_task,14,0.01284213294275105,0.0059769341023638844,1
A_recon_task,15,0.01239112508483231,0.005934692133450881,1
A_recon_task,16,0.011961982236243784,0.005685949698090553,1
A_recon_task,17,0.011798253748565912,0.005482176464283839,1
A_recon_task,18,0.01138043898390606,0.005319960240740329,1
A_recon_task,19,0.011153601051773876,0.005156608298420906,1
A_recon_task,20,0.011202259513083845,0.005003019090509042,1
A_recon_task,21,0.010798243980389088,0.004917576035950333,1
A_recon_task,22,0.010764378472231328,0.00489059736719355,1
A_recon_task,23,0.010447648703120649,0.00478369853226468,1
A_recon_task,24,0.010518322407733649,0.004806170065421611,1
A_recon_task,25,0.00977380305994302,0.004535382555332035,1
A_recon_task,26,0.009702571376692504,0.004596672253683209,1
A_recon_task,27,0.010356211452744901,0.004915729514323175,1
A_recon_task,28,0.009172760299406946,0.0044971315655857325,1
A_recon_task,29,0.008741386875044554,0.00446657813154161,1
A_recon_task,30,0.008434429648332298,0.004312538891099393,1
A_recon_task,31,0.008158375771017745,0.004210671701002866,1
A_recon_task,32,0.007770086085656658,0.004173599125351757,1
A_recon_task,33,0.007666663033887744,0.004235070664435625,1
A_recon_task,34,0.007527877285610884,0.004371481103589758,1
A_recon_task,35,0.007139868423109874,0.004211635270621628,1
A_recon_task,36,0.006890653457958251,0.0042240820184815675,1
A_recon_task,37,0.007074470719089732,0.004113777744350955,1
A_recon_task,38,0.006421069090720266,0.004013330166344531,1
A_recon_task,39,0.0062383673212025315,0.0040078395686578006,1
A_recon_task,40,0.006018603249685839,0.003950439422624186,1
A_recon_task,41,0.005809651775052771,0.00400364538654685,1
A_recon_task,42,0.005796851037302986,0.0038648166082566604,1
A_recon_task,43,0.005571356479777023,0.0038765087811043486,1
A_recon_task,44,0.005530169029952958,0.0038484586402773857,1
A_recon_task,45,0.005293975002132356,0.0038347702502505854,1
A_recon_task,46,0.00508870164048858,0.003833477006992325,1
A_recon_task,47,0.004936053097480908,0.0038269698852673173,1
A_recon_task,48,0.004894732555840164,0.0038772933330619708,1
A_recon_task,49,0.004739240757771768,0.003800135134952143,1
A_recon_task,50,0.004569910146528855,0.0037959398032398894,1
A_recon_task,51,0.004570456134388223,0.0037268167943693697,1
A_recon_task,52,0.004475923007703386,0.0037526291562244296,1
A_recon_task,53,0.004203147516818717,0.0036945903848391026,1
A_recon_task,54,0.004045400535687804,0.003667085009510629,1
A_recon_task,55,0.0039328706479864195,0.0036560933076543733,1
