model,subset,horizon,mae_px_mean,mae_px_std,r2_mean,r2_std,n_seeds,n_traj
A_recon_task,all,1,0.36107446551322936,0.10055234319957307,0.9861358046531677,0.007247859806731871,5,500
A_recon_task,all,2,0.3732961595058441,0.08948208038569884,0.9869537830352784,0.005545216823868194,5,500
A_recon_task,all,3,0.42261533737182616,0.0724057855784482,0.9850993394851685,0.004609478583865931,5,500
A_recon_task,all,4,0.48776673078536986,0.05781960826015851,0.9820149779319763,0.004054333448627731,5,500
A_recon_task,all,5,0.558908998966217,0.05216925339464679,0.9779477000236512,0.0038758562597659175,5,500
A_recon_task,all,6,0.6307398557662964,0.05469959570181673,0.9735906720161438,0.0037591104264847433,5,500
A_recon_task,all,7,0.6943283200263977,0.06435339243602885,0.9686332583427429,0.004455884710570506,5,500
A_recon_task,all,8,0.761103880405426,0.06935808673004569,0.9626340508460999,0.005928537832455042,5,500
A_recon_task,all,9,0.8440439820289611,0.07781650088790115,0.9541075348854064,0.008418839254304821,5,500
A_recon_task,all,10,0.9317137956619262,0.09211472251271435,0.9425285816192627,0.011338266338415854,5,500
A_recon_task,bounce,1,0.35836637020111084,0.07612523169946316,0.9903925776481628,0.004370004489446599,5,292
A_recon_task,bounce,2,0.38443737030029296,0.05357082117322489,0.9909112811088562,0.002333285778962251,5,292
A_recon_task,bounce,3,0.44323689937591554,0.030796184643577418,0.9895263910293579,0.0015328643378746203,5,292
A_recon_task,bounce,4,0.5143834948539734,0.022263245461073975,0.9871500968933106,0.0013316482371924308,5,292
A_recon_task,bounce,5,0.5905454993247986,0.028494961327825565,0.9837864518165589,0.0016209538956200547,5,292
A_recon_task,bounce,6,0.6717875123023986,0.03664519195508279,0.9797961235046386,0.002070894397665958,5,292
A_recon_task,bounce,7,0.7484878063201904,0.06724619213581262,0.9744598388671875,0.003580804452237091,5,292
A_recon_task,bounce,8,0.8318317055702209,0.07996699967589843,0.9667446136474609,0.0058499897366625355,5,292
A_recon_task,bounce,9,0.926065731048584,0.08683661003569496,0.9539759635925293,0.009671427191148236,5,292
A_recon_task,bounce,10,0.9901443600654602,0.09235592086861409,0.9351248621940613,0.013829822038562423,5,292
A_recon_task,no_bounce,1,0.3643892496824265,0.13787789354601349,0.9620279192924499,0.02664993909500768,5,208
A_recon_task,no_bounce,2,0.3596601575613022,0.1364765441732501,0.9585805892944336,0.030059596597742953,5,208
A_recon_task,no_bounce,3,0.39710876941680906,0.13299800239150933,0.951142156124115,0.031604726427924355,5,208
A_recon_task,no_bounce,4,0.45453505516052245,0.10857336881869699,0.9458439946174622,0.026235362213390394,5,208
A_recon_task,no_bounce,5,0.5195064306259155,0.08785449520377799,0.9433862805366516,0.019922914580544158,5,208
A_recon_task,no_bounce,6,0.579031252861023,0.07708646953384705,0.9443005561828614,0.014997824295759476,5,208
A_recon_task,no_bounce,7,0.6251467823982239,0.06758155316911642,0.9474927306175231,0.012040459030001331,5,208
A_recon_task,no_bounce,8,0.6705297946929931,0.06331253325295445,0.9514516592025757,0.010353382391192286,5,208
A_recon_task,no_bounce,9,0.739042329788208,0.07040819989272272,0.9539649486541748,0.009591583843431539,5,208
A_recon_task,no_bounce,10,0.8585585832595826,0.10044300313340356,0.9514631628990173,0.0107168018694232,5,208
B_task_only,all,1,0.4727774798870087,0.09687126954079173,0.9774468660354614,0.009106580680306859,5,500
B_task_only,all,2,0.4964898645877838,0.09960548122120463,0.9782133221626281,0.00820044441243823,5,500
B_task_only,all,3,0.5354964196681976,0.09731946719594878,0.9774878978729248,0.007801093434788235,5,500
B_task_only,all,4,0.5788497507572175,0.09676056970855887,0.97546945810318,0.00790568871279171,5,500
B_task_only,all,5,0.6425665020942688,0.10231967443616409,0.971551489830017,0.008846615908310299,5,500
B_task_only,all,6,0.7175738692283631,0.1296729302220299,0.9663228988647461,0.011305285747242303,5,500
B_task_only,all,7,0.7893937230110168,0.156719120117937,0.9598140239715576,0.014628100131599837,5,500
B_task_only,all,8,0.8690421342849731,0.1809767917348506,0.9515962362289428,0.01874063358351996,5,500
B_task_only,all,9,0.9635191559791565,0.19800701959714,0.9393913269042968,0.02366052509238531,5,500
B_task_only,all,10,1.0740678668022157,0.22011217102256067,0.921756637096405,0.030546286943634902,5,500
B_task_only,bounce,1,0.4395716071128845,0.08265712605009522,0.9865857005119324,0.004624385549845554,5,292
B_task_only,bounce,2,0.46814021468162537,0.08055762854651678,0.9870392203330993,0.0038900738793569475,5,292
B_task_only,bounce,3,0.5285017728805542,0.09452453500869917,0.9857446074485778,0.004157556817408807,5,292
B_task_only,bounce,4,0.5882569789886475,0.0994751622999161,0.9836660623550415,0.004663739138858518,5,292
B_task_only,bounce,5,0.6751702427864075,0.11036103415279748,0.979658842086792,0.005922119568683134,5,292
B_task_only,bounce,6,0.7799588322639466,0.15242662770823723,0.9737928986549378,0.008654647725960116,5,292
B_task_only,bounce,7,0.8825697660446167,0.1860754600661198,0.965714943408966,0.01237801103672401,5,292
B_task_only,bounce,8,0.9917622089385987,0.21399190247605032,0.9543638586997986,0.01747669499407932,5,292
B_task_only,bounce,9,1.0955400943756104,0.23223669305743638,0.9358792185783387,0.025147809792982485,5,292
B_task_only,bounce,10,1.1814034700393676,0.260156490249848,0.9062992811203003,0.038590273037804095,5,292
B_task_only,no_bounce,1,0.5167438685894012,0.13227105426594013,0.9246181011199951,0.03943813995361903,5,208
B_task_only,no_bounce,2,0.5350103378295898,0.14039655400450304,0.914858341217041,0.04376033936598089,5,208
B_task_only,no_bounce,3,0.5468905448913575,0.11163069151525318,0.9145303249359131,0.03988868170791298,5,208
B_task_only,no_bounce,4,0.5688158929347992,0.10464344569955736,0.9183627367019653,0.03444209504056167,5,208
B_task_only,no_bounce,5,0.6020043015480041,0.10825246578435854,0.9243635773658753,0.02933703830843128,5,208
B_task_only,no_bounce,6,0.6381289601325989,0.11316542872229737,0.9316368818283081,0.026676038493630667,5,208
B_task_only,no_bounce,7,0.6706746816635132,0.12491970457504672,0.938627815246582,0.02489990968827973,5,208
B_task_only,no_bounce,8,0.7129674911499023,0.1423368412587276,0.9439079642295838,0.024039324096446026,5,208
B_task_only,no_bounce,9,0.7959705710411071,0.15849132190955187,0.9453685641288757,0.02253757513278543,5,208
B_task_only,no_bounce,10,0.9392882585525513,0.17732544453272314,0.9405637741088867,0.022176569034091518,5,208
baseline_constant,all,1,0.5821312546730042,0.011787415069142115,0.97756108045578,0.00105480869486336,5,500
baseline_constant,all,2,1.1302308797836305,0.025637212412969214,0.9241460919380188,0.003300283796824857,5,500
baseline_constant,all,3,1.6435750484466554,0.03782714588581596,0.8518827199935913,0.0051900681049114996,5,500
baseline_constant,all,4,2.1040556907653807,0.048053929665826806,0.7670810103416443,0.007063477263201254,5,500
baseline_constant,all,5,2.532502603530884,0.04584580683742593,0.6710966467857361,0.009944399408890754,5,500
