encoder,dim,baseline_r2,baseline_mse,importance,importance_frac
A_recon,0,0.9146338105201721,0.007130102254450321,0.026980898343026638,0.009833777314032193
A_recon,1,0.9146338105201721,0.007130102254450321,0.010199773125350475,0.0037175299463025635
A_recon,2,0.9146338105201721,0.007130102254450321,0.22116985823959112,0.08061018231686608
A_recon,3,0.9146338105201721,0.007130102254450321,0.697057886980474,0.2540579616144412
A_recon,4,0.9146338105201721,0.007130102254450321,0.4523483356460929,0.16486822434755788
A_recon,5,0.9146338105201721,0.007130102254450321,0.05802167858928442,0.02114726720286688
A_recon,6,0.9146338105201721,0.007130102254450321,0.12239070143550634,0.044607962563857226
A_recon,7,0.9146338105201721,0.007130102254450321,1.155527158640325,0.421157094694076
B_task,0,0.985623836517334,0.0012007523328065872,0.000805690186098218,0.00024285070756715707
B_task,1,0.985623836517334,0.0012007523328065872,0.037894049659371376,0.011422004302831957
B_task,2,0.985623836517334,0.0012007523328065872,0.010068036615848541,0.0030347022443100746
B_task,3,0.985623836517334,0.0012007523328065872,0.04947659187018871,0.014913208018425628
B_task,4,0.985623836517334,0.0012007523328065872,0.39541168324649334,0.11918477935267466
B_task,5,0.985623836517334,0.0012007523328065872,0.06331461481750011,0.01908425753853913
B_task,6,0.985623836517334,0.0012007523328065872,2.717548293992877,0.8191219620535856
B_task,7,0.985623836517334,0.0012007523328065872,0.04311677627265453,0.01299623578206586
