encoder,explained_var_pc1,explained_var_pc2,explained_var_pc3,task_r2_from_2pcs,distractor_r2_from_2pcs,pc1_task_corr,pc1_bright_corr,pc2_task_corr,pc2_bright_corr
A_recon,0.48135241866111755,0.1937829554080963,0.14571967720985413,0.20722860097885132,0.7453367114067078,-0.20732621847821556,-0.8516467081303796,-0.4052711401539417,-0.14154506948896625
B_task,0.7962992787361145,0.12410788238048553,0.04779061675071716,0.4632260799407959,0.7532545328140259,-0.10203496883881437,-0.8570567819665373,-0.6729153848494861,0.13677667179687583
