seed,arm,condition,return,return_drop,drop_minus_B_drop
0,A_recon,in_distribution,-0.4388297498226166,0.0,0.0
0,B_task,in_distribution,-0.26189324259757996,0.0,0.0
0,C_scene,in_distribution,-0.43277934193611145,0.0,0.0
0,D_latent,in_distribution,-0.24215582013130188,0.0,0.0
0,A_recon,4_distractors,-0.4384799301624298,0.0003497739089652896,0.008262503892183304
0,B_task,4_distractors,-0.26980599761009216,-0.007912729866802692,0.0
0,C_scene,4_distractors,-0.44045695662498474,-0.007677644025534391,0.00023508728190790862
0,D_latent,4_distractors,-0.24229469895362854,-0.000138901625177823,0.0077738286927342415
0,A_recon,fast_distractors,-0.4373460114002228,0.0014837236376479268,-0.0022060528863221407
0,B_task,fast_distractors,-0.2582034766674042,0.0036897773388773203,0.0
0,C_scene,fast_distractors,-0.44538483023643494,-0.012605500407516956,-0.01629527658224106
0,D_latent,fast_distractors,-0.24201203882694244,0.0001437728788005188,-0.0035460039507597685
0,A_recon,unseen_distractor_hues,-0.4351678192615509,0.0036619408056139946,0.010762260295450687
0,B_task,unseen_distractor_hues,-0.2689935564994812,-0.007100318558514118,0.0
0,C_scene,unseen_distractor_hues,-0.42925170063972473,0.003527603344991803,0.010627924464643002
0,D_latent,unseen_distractor_hues,-0.24060772359371185,0.001548086293041706,0.008648406714200974
0,A_recon,heavy_pixel_noise,-0.4371687173843384,0.0016609899466857314,-0.005982192698866129
0,B_task,heavy_pixel_noise,-0.25425004959106445,0.007643184624612331,0.0
0,C_scene,heavy_pixel_noise,-0.4404256045818329,-0.007646289654076099,-0.015289471484720707
0,D_latent,heavy_pixel_noise,-0.2252044975757599,0.01695132628083229,0.009308143518865108
1,A_recon,in_distribution,-0.3555896580219269,0.0,0.0
1,B_task,in_distribution,-0.2269003689289093,0.0,0.0
1,C_scene,in_distribution,-0.3929547667503357,0.0,0.0
1,D_latent,in_distribution,-0.18836486339569092,0.0,0.0
1,A_recon,4_distractors,-0.35500049591064453,0.0005891460459679365,0.00718822842463851
1,B_task,4_distractors,-0.2334994524717331,-0.006599084939807653,0.0
1,C_scene,4_distractors,-0.40524765849113464,-0.012292907573282719,-0.00569382356479764
1,D_latent,4_distractors,-0.19237850606441498,-0.004013644065707922,0.0025854387786239386
1,A_recon,fast_distractors,-0.35446587204933167,0.0011237795697525144,0.00613451050594449
1,B_task,fast_distractors,-0.23191113770008087,-0.005010730586946011,0.0
1,C_scene,fast_distractors,-0.3835926949977875,0.00936206802725792,0.01437279861420393
1,D_latent,fast_distractors,-0.1884503811597824,-8.55279722600244e-05,0.004925202578306198
1,A_recon,unseen_distractor_hues,-0.3518305718898773,0.003759065642952919,0.00948600098490715
1,B_task,unseen_distractor_hues,-0.23262730240821838,-0.005726935341954231,0.0
1,C_scene,unseen_distractor_hues,-0.3792635202407837,0.013691268861293793,0.019418202340602875
1,D_latent,unseen_distractor_hues,-0.1863461583852768,0.0020186968613415956,0.007745631970465183
1,A_recon,heavy_pixel_noise,-0.34338077902793884,0.012208869680762291,0.031765393912792206
1,B_task,heavy_pixel_noise,-0.24645692110061646,-0.019556527957320213,0.0
1,C_scene,heavy_pixel_noise,-0.40294310450553894,-0.009988345205783844,0.009568183682858944
1,D_latent,heavy_pixel_noise,-0.20743872225284576,-0.019073856994509697,0.00048267259262502193
2,A_recon,in_distribution,-0.21839278936386108,0.0,0.0
2,B_task,in_distribution,-0.4478738307952881,0.0,0.0
2,C_scene,in_distribution,-0.43383869528770447,0.0,0.0
2,D_latent,in_distribution,-0.2665010392665863,0.0,0.0
2,A_recon,4_distractors,-0.22467190027236938,-0.006279123481363058,-0.00800996646285057
2,B_task,4_distractors,-0.4461429715156555,0.0017308443784713745,0.0
2,C_scene,4_distractors,-0.4380374252796173,-0.004198725335299969,-0.0059295701794326305
2,D_latent,4_distractors,-0.27396857738494873,-0.007467574439942837,-0.009198417887091637
2,A_recon,fast_distractors,-0.21794500946998596,0.0004477727343328297,0.0003989467804785818
2,B_task,fast_distractors,-0.44782501459121704,4.882626308244653e-05,0.0
2,C_scene,fast_distractors,-0.4362843930721283,-0.0024457050021737814,-0.0024945312179625034
2,D_latent,fast_distractors,-0.2656400203704834,0.0008610205841250718,0.0008121939608827233
2,A_recon,unseen_distractor_hues,-0.22308911383152008,-0.004696317482739687,-0.004350504372268915
2,B_task,unseen_distractor_hues,-0.4482196867465973,-0.00034581313957460225,0.0
2,C_scene,unseen_distractor_hues,-0.4312560260295868,0.002582702087238431,0.00292851566337049
2,D_latent,unseen_distractor_hues,-0.26506632566452026,0.0014346747193485498,0.0017804880626499653
2,A_recon,heavy_pixel_noise,-0.21654562652111053,0.0018471617950126529,0.0005372111918404698
2,B_task,heavy_pixel_noise,-0.44656386971473694,0.001309949904680252,0.0
2,C_scene,heavy_pixel_noise,-0.433772474527359,6.62675520288758e-05,-0.0012436823453754187
2,D_latent,heavy_pixel_noise,-0.2715204358100891,-0.005019402131438255,-0.006329352036118507
