seed,arm,epoch,horizon,r2
0,A_recon,1,0,-0.08578908443450928
0,A_recon,1,1,-0.09836792945861816
0,A_recon,1,2,-0.11173892021179199
0,A_recon,1,3,-0.12585985660552979
0,A_recon,1,4,-0.14058005809783936
0,A_recon,1,5,-0.1556793451309204
0,A_recon,1,6,-0.17102015018463135
0,A_recon,1,7,-0.18640434741973877
0,A_recon,1,8,-0.20155847072601318
0,A_recon,1,9,-0.21645545959472656
0,A_recon,1,10,-0.23120582103729248
0,A_recon,1,11,-0.24564194679260254
0,A_recon,1,12,-0.25954318046569824
0,A_recon,1,13,-0.2728891372680664
0,A_recon,1,14,-0.28544843196868896
0,A_recon,1,15,-0.2970839738845825
0,A_recon,5,0,-0.19656598567962646
0,A_recon,5,1,-0.18552517890930176
0,A_recon,5,2,-0.18070542812347412
0,A_recon,5,3,-0.18076825141906738
0,A_recon,5,4,-0.18444859981536865
0,A_recon,5,5,-0.19063317775726318
0,A_recon,5,6,-0.1988670825958252
0,A_recon,5,7,-0.20852065086364746
0,A_recon,5,8,-0.218896746635437
0,A_recon,5,9,-0.22996151447296143
0,A_recon,5,10,-0.24171733856201172
0,A_recon,5,11,-0.2537806034088135
0,A_recon,5,12,-0.265852689743042
0,A_recon,5,13,-0.2778676748275757
0,A_recon,5,14,-0.2894258499145508
0,A_recon,5,15,-0.30037450790405273
0,A_recon,10,0,0.08006089925765991
0,A_recon,10,1,0.08778291940689087
0,A_recon,10,2,0.08690983057022095
0,A_recon,10,3,0.08260613679885864
0,A_recon,10,4,0.07678556442260742
0,A_recon,10,5,0.06758099794387817
0,A_recon,10,6,0.058072030544281006
0,A_recon,10,7,0.048843443393707275
0,A_recon,10,8,0.03869861364364624
0,A_recon,10,9,0.02870500087738037
0,A_recon,10,10,0.019376516342163086
0,A_recon,10,11,0.00980687141418457
0,A_recon,10,12,0.0004144906997680664
0,A_recon,10,13,-0.007764697074890137
0,A_recon,10,14,-0.016216397285461426
0,A_recon,10,15,-0.0234299898147583
0,A_recon,15,0,0.11377894878387451
0,A_recon,15,1,0.10750490427017212
0,A_recon,15,2,0.09806162118911743
0,A_recon,15,3,0.08864837884902954
0,A_recon,15,4,0.07900488376617432
