seed,vs,horizon,delta_mse,b_worse_frac
2,D_latent,1,0.6807007193565369,0.976
2,D_latent,2,0.6916161179542542,0.968
2,D_latent,3,0.7021821141242981,0.968
2,D_latent,4,0.713170051574707,0.964
2,D_latent,5,0.7240940928459167,0.962
2,D_latent,6,0.7342393398284912,0.96
2,D_latent,7,0.7442508935928345,0.954
2,D_latent,8,0.7542540431022644,0.956
2,D_latent,9,0.7634589672088623,0.948
2,D_latent,10,0.7725919485092163,0.95
2,D_latent,11,0.7822887897491455,0.942
2,D_latent,12,0.7914195656776428,0.936
2,D_latent,13,0.8000767827033997,0.932
2,D_latent,14,0.8086303472518921,0.92
2,D_latent,15,0.8164563179016113,0.912
