seed,vs,horizon,delta_mse,b_worse_frac
0,A_recon,0,-0.714994490146637,0.026
0,A_recon,1,-0.728583574295044,0.032
0,A_recon,2,-0.7397253513336182,0.034
0,A_recon,3,-0.7514449954032898,0.042
0,A_recon,4,-0.764694333076477,0.044
0,A_recon,5,-0.7754668593406677,0.048
0,A_recon,6,-0.7867045998573303,0.052
0,A_recon,7,-0.7988886833190918,0.062
0,A_recon,8,-0.8084534406661987,0.062
0,A_recon,9,-0.818488597869873,0.066
0,A_recon,10,-0.8285906314849854,0.07
0,A_recon,11,-0.8368696570396423,0.076
0,A_recon,12,-0.8459645509719849,0.078
0,A_recon,13,-0.854989767074585,0.08
0,A_recon,14,-0.8622594475746155,0.086
0,A_recon,15,-0.8703864812850952,0.084
0,C_scene,0,-0.8923449516296387,0.03
0,C_scene,1,-0.9206361174583435,0.032
0,C_scene,2,-0.9470735788345337,0.032
0,C_scene,3,-0.972076952457428,0.034
0,C_scene,4,-0.9971960186958313,0.04
0,C_scene,5,-1.0202971696853638,0.044
0,C_scene,6,-1.04303777217865,0.05
0,C_scene,7,-1.0652998685836792,0.052
0,C_scene,8,-1.0852447748184204,0.064
0,C_scene,9,-1.104107141494751,0.062
0,C_scene,10,-1.1226401329040527,0.07
0,C_scene,11,-1.1393868923187256,0.072
0,C_scene,12,-1.1553581953048706,0.086
0,C_scene,13,-1.1707252264022827,0.088
0,C_scene,14,-1.1842286586761475,0.088
0,C_scene,15,-1.1973085403442383,0.094
0,D_latent,0,0.02008490078151226,0.58
0,D_latent,1,0.02136044390499592,0.582
0,D_latent,2,0.02236359752714634,0.57
0,D_latent,3,0.023265033960342407,0.574
0,D_latent,4,0.02462717890739441,0.568
0,D_latent,5,0.025874173268675804,0.566
0,D_latent,6,0.02701662853360176,0.57
0,D_latent,7,0.028311219066381454,0.562
0,D_latent,8,0.02889028564095497,0.554
0,D_latent,9,0.02924513630568981,0.568
0,D_latent,10,0.030221357941627502,0.568
0,D_latent,11,0.03091941773891449,0.576
0,D_latent,12,0.03190409764647484,0.576
0,D_latent,13,0.03304585814476013,0.566
0,D_latent,14,0.034066539257764816,0.57
0,D_latent,15,0.03534507751464844,0.57
1,A_recon,0,-0.03390684723854065,0.314
1,A_recon,1,-0.03597097471356392,0.318
1,A_recon,2,-0.03599279746413231,0.334
1,A_recon,3,-0.035799577832221985,0.342
1,A_recon,4,-0.03549336642026901,0.356
1,A_recon,5,-0.03484591096639633,0.376
1,A_recon,6,-0.034256067126989365,0.386
1,A_recon,7,-0.03406829759478569,0.386
1,A_recon,8,-0.03387252986431122,0.394
1,A_recon,9,-0.03384898230433464,0.4
1,A_recon,10,-0.03356616944074631,0.406
1,A_recon,11,-0.03302096948027611,0.4
1,A_recon,12,-0.03299473226070404,0.404
1,A_recon,13,-0.03254816308617592,0.406
1,A_recon,14,-0.03245507925748825,0.436
1,A_recon,15,-0.033042121678590775,0.43
1,C_scene,0,-0.36426207423210144,0.066
1,C_scene,1,-0.36844366788864136,0.078
1,C_scene,2,-0.3721073865890503,0.086
1,C_scene,3,-0.37561243772506714,0.092
1,C_scene,4,-0.37847718596458435,0.094
1,C_scene,5,-0.38124963641166687,0.102
1,C_scene,6,-0.38476336002349854,0.118
1,C_scene,7,-0.38835757970809937,0.12
1,C_scene,8,-0.3916887938976288,0.136
1,C_scene,9,-0.3954307734966278,0.146
1,C_scene,10,-0.3986775577068329,0.154
1,C_scene,11,-0.40119171142578125,0.162
1,C_scene,12,-0.4031549096107483,0.17
1,C_scene,13,-0.4039328992366791,0.18
1,C_scene,14,-0.40426740050315857,0.19
1,C_scene,15,-0.40408197045326233,0.194
1,D_latent,0,-0.0027457752730697393,0.464
1,D_latent,1,-0.0021519502624869347,0.462
1,D_latent,2,-0.0011698598973453045,0.474
1,D_latent,3,-0.0002926635788753629,0.47
1,D_latent,4,0.0002325680252397433,0.466
1,D_latent,5,0.0004766163765452802,0.466
1,D_latent,6,0.0005784191889688373,0.472
1,D_latent,7,0.0004284849273972213,0.482
1,D_latent,8,0.00013696789392270148,0.478
1,D_latent,9,-0.0002863759873434901,0.47
1,D_latent,10,-0.0008929924806579947,0.464
1,D_latent,11,-0.0013926246901974082,0.46
1,D_latent,12,-0.0019312647636979818,0.47
1,D_latent,13,-0.00225104670971632,0.474
1,D_latent,14,-0.002718128729611635,0.48
1,D_latent,15,-0.0033348710276186466,0.47
2,A_recon,0,0.6952988505363464,0.986
2,A_recon,1,0.7083350419998169,0.986
2,A_recon,2,0.7186704277992249,0.984
2,A_recon,3,0.7288880348205566,0.98
2,A_recon,4,0.7397931814193726,0.98
2,A_recon,5,0.7505165934562683,0.972
2,A_recon,6,0.7608126401901245,0.972
2,A_recon,7,0.7712768316268921,0.96
2,A_recon,8,0.7816305756568909,0.952
2,A_recon,9,0.7915757298469543,0.946
2,A_recon,10,0.8011550307273865,0.944
2,A_recon,11,0.8107370734214783,0.94
2,A_recon,12,0.8198196887969971,0.94
2,A_recon,13,0.8284408450126648,0.938
2,A_recon,14,0.8368055820465088,0.928
2,A_recon,15,0.8442657589912415,0.924
2,C_scene,0,-0.1490260809659958,0.51
2,C_scene,1,-0.1537657231092453,0.514
2,C_scene,2,-0.1639958918094635,0.516
2,C_scene,3,-0.17488110065460205,0.516
2,C_scene,4,-0.18483591079711914,0.514
2,C_scene,5,-0.193772092461586,0.506
2,C_scene,6,-0.2029487043619156,0.502
2,C_scene,7,-0.2110106199979782,0.498
2,C_scene,8,-0.21719232201576233,0.502
2,C_scene,9,-0.22363346815109253,0.506
2,C_scene,10,-0.22870846092700958,0.496
2,C_scene,11,-0.23247011005878448,0.486
2,C_scene,12,-0.2366732805967331,0.49
2,C_scene,13,-0.24035616219043732,0.488
2,C_scene,14,-0.24320349097251892,0.486
2,C_scene,15,-0.24684259295463562,0.498
2,D_latent,0,0.6671144962310791,0.972
