model,return_mean,return_std,success_mean,success_std,time_in_radius_mean,time_in_radius_std,chose_active_mean,chose_active_std,final_dist_px_mean,final_dist_px_std,normalised_mean,normalised_std
A_recon,-0.35677335,0.111699894,0.021666666666666667,0.02886751345948129,0.012333333333333333,0.01648830487135849,0.6883333333333334,0.24440403706431152,11.090413,4.553344,0.1617745,0.18112244
B_task,-0.33940592,0.10178127,0.028333333333333335,0.022546248764114474,0.014814814814814815,0.0065095687719470205,0.7000000000000001,0.21742814905158897,10.342845,4.104637,0.18993591,0.1650393
C_scene,-0.43810368,0.034996707,0.005,0.005,0.003259259259259259,0.002778518419779415,0.5,0.04769696007084733,14.175697,1.3427384,0.029896572,0.056747496
D_latent,-0.2404912,0.052806843,0.04833333333333333,0.030550504633038933,0.035444444444444445,0.022243045799075115,0.9116666666666666,0.034034296427770186,6.704493,1.2441875,0.3503271,0.08562679
noop,-0.45654118,,0.005,,0.0047777777777777775,,0.455,,14.880446,,0.0,
oracle,0.16016813,,1.0,,0.5785555555555555,,1.0,,0.01895671,,1.0,
oracle_colourblind,-0.14460666,,0.495,,0.30244444444444446,,0.515,,7.648973,,0.50580484,
oracle_myopic,-0.0014855766,,0.83,,0.28588888888888886,,1.0,,0.97466254,,0.737877,
oracle_wrong,-0.46062297,,0.0,,0.0028888888888888888,,0.0,,15.491528,,-0.0066186544,
random,-0.47028065,,0.0,,0.0017777777777777779,,0.47,,15.622786,,-0.022278676,
