seed,arm,space,probe,selectivity_goal,selectivity_vector,selector_bit
0,A_recon,h,linear,0.0,0.0,0.9558987403100776
0,A_recon,h,mlp,0.0,0.0,0.9569828003875969
0,A_recon,z,linear,0.0,0.0,0.9861736918604651
0,A_recon,z,mlp,0.0,0.0,0.9855317344961241
0,B_task,h,linear,0.7738211750984192,0.45665597915649414,0.9705123546511627
0,B_task,h,mlp,0.8199180960655212,0.5172940492630005,0.979015261627907
0,B_task,z,linear,0.599105954170227,0.31989574432373047,0.9949551841085271
0,B_task,z,mlp,0.8546252250671387,0.4736328721046448,0.9952761627906976
0,C_scene,h,linear,0.0,0.0,0.5590479651162791
0,C_scene,h,mlp,0.0,0.0,0.584562742248062
0,C_scene,z,linear,0.005914151668548584,0.0,0.5619125484496124
0,C_scene,z,mlp,0.0,0.0,0.6173691860465116
0,D_latent,h,linear,0.6398519277572632,0.42718619108200073,1.0
0,D_latent,h,mlp,0.8625410795211792,0.5714969038963318,0.9968992248062015
0,D_latent,z,linear,0.5293301939964294,0.2691382169723511,1.0
0,D_latent,z,mlp,0.8439516425132751,0.5079110860824585,1.0
0,ceiling,frame,linear,-0.0014962553977966309,0.0014220476150512695,0.999496475327291
0,ceiling,frame,mlp,-0.0014962553977966309,0.0014220476150512695,0.999496475327291
0,init,h,linear,0.0,0.0,0.9998062015503876
0,init,h,mlp,0.0,0.0,0.9995457848837209
0,init,z,linear,0.0,-0.02825748920440674,0.9978682170542635
0,init,z,mlp,0.0,0.0,0.998062015503876
1,A_recon,h,linear,0.6933021545410156,0.45778876543045044,0.9853500484496124
1,A_recon,h,mlp,0.7560338377952576,0.46114683151245117,0.9886627906976744
1,A_recon,z,linear,0.6068671345710754,0.323694109916687,0.9998062015503876
1,A_recon,z,mlp,0.7899720072746277,0.40832340717315674,0.9996124031007751
1,B_task,h,linear,0.8522030115127563,0.5614104270935059,0.8910368217054263
1,B_task,h,mlp,0.8784677982330322,0.5824450850486755,0.8993035368217055
1,B_task,z,linear,0.7284399271011353,0.3840402364730835,0.9771681201550388
1,B_task,z,mlp,0.8845195770263672,0.5255816578865051,0.9856649709302325
1,C_scene,h,linear,0.42415106296539307,0.5460195541381836,0.6332546027131782
1,C_scene,h,mlp,0.35609596967697144,0.5409119129180908,0.6456274224806202
1,C_scene,z,linear,0.2858099937438965,0.47414255142211914,0.6523316375968993
1,C_scene,z,mlp,0.2832980155944824,0.4927324652671814,0.6534762596899225
1,D_latent,h,linear,0.6160257458686829,0.35348737239837646,1.0
1,D_latent,h,mlp,0.7828594446182251,0.46406090259552,1.0
1,D_latent,z,linear,0.5198395252227783,0.20266270637512207,1.0
1,D_latent,z,mlp,0.7461311221122742,0.44180041551589966,1.0
1,ceiling,frame,linear,-0.0014962553977966309,0.0014220476150512695,0.999496475327291
1,ceiling,frame,mlp,-0.0014962553977966309,0.0014220476150512695,0.999496475327291
1,init,h,linear,0.0,-0.033382415771484375,0.9955305232558139
1,init,h,mlp,0.0,0.0,0.9967054263565891
1,init,z,linear,0.0,-0.007630646228790283,0.9908006298449612
1,init,z,mlp,0.0,0.0,0.995718265503876
2,A_recon,h,linear,0.7916044592857361,0.5209618210792542,0.9629481589147286
2,A_recon,h,mlp,0.8270885348320007,0.5982444882392883,0.9645772771317829
2,A_recon,z,linear,0.6463651657104492,0.32309389114379883,0.9994186046511628
2,A_recon,z,mlp,0.8809205889701843,0.5676751732826233,0.9976744186046511
2,B_task,h,linear,0.0,0.0,0.9948703972868218
2,B_task,h,mlp,0.0,0.0,0.9952579941860465
2,B_task,z,linear,0.0,0.0029522180557250977,1.0
2,B_task,z,mlp,0.0,0.0,1.0
2,C_scene,h,linear,0.0,0.0,0.5941860465116279
2,C_scene,h,mlp,0.0,0.0,0.6201550387596899
2,C_scene,z,linear,0.027183353900909424,0.07484811544418335,0.6166848352713178
2,C_scene,z,mlp,0.0,0.0,0.661234253875969
2,D_latent,h,linear,0.6441686153411865,0.465817391872406,0.9976744186046511
2,D_latent,h,mlp,0.8330267667770386,0.4858958125114441,0.993798449612403
2,D_latent,z,linear,0.5057226419448853,0.30854684114456177,0.998062015503876
2,D_latent,z,mlp,0.7721538543701172,0.5294679999351501,0.997093023255814
2,ceiling,frame,linear,-0.0014962553977966309,0.0014220476150512695,0.999496475327291
2,ceiling,frame,mlp,-0.0014962553977966309,0.0014220476150512695,0.999496475327291
2,init,h,linear,0.0,0.02172333002090454,0.9686046511627907
2,init,h,mlp,0.0,0.0,0.9684108527131783
2,init,z,linear,0.0,0.012017786502838135,0.9476380813953489
2,init,z,mlp,0.0,0.0,0.9432412790697675
