seed,arm,one_step_bias,one_step_mae,plan_sum_bias
0,A_recon,0.7149981260299683,0.7273207902908325,7.672585487365723
0,B_task,0.38108789920806885,0.3934376537799835,4.667319297790527
0,C_scene,0.6291045546531677,0.6471172571182251,6.840824604034424
0,D_latent,0.2806513011455536,0.2897563874721527,3.6500256061553955
1,A_recon,0.4759862720966339,0.4832380712032318,5.700769424438477
1,B_task,0.2954610288143158,0.30322927236557007,3.9094083309173584
1,C_scene,0.5084278583526611,0.5308904051780701,5.467382907867432
1,D_latent,0.24190890789031982,0.25404882431030273,3.0925450325012207
2,A_recon,0.22984004020690918,0.24141433835029602,3.243967294692993
2,B_task,0.45407238602638245,0.469724178314209,4.970785617828369
2,C_scene,0.662850022315979,0.6809288263320923,7.126412391662598
2,D_latent,0.31287670135498047,0.3243064284324646,3.8023557662963867
