seed,model,horizon,mse,r2,pred_spread_ratio
0,A_recon,0,0.7760211825370789,0.114901602268219,0.5467847585678101
0,A_recon,1,0.7918500900268555,0.11534172296524048,0.5457189083099365
0,A_recon,2,0.8057952523231506,0.11736637353897095,0.5475772619247437
0,A_recon,3,0.8212000727653503,0.1177988052368164,0.551584780216217
0,A_recon,4,0.8386244773864746,0.1160123348236084,0.5558691024780273
0,A_recon,5,0.8535679578781128,0.1166871190071106,0.5588634014129639
0,A_recon,6,0.8698704838752747,0.11616003513336182,0.5614328384399414
0,A_recon,7,0.887217104434967,0.11437857151031494,0.5644185543060303
0,A_recon,8,0.9013408422470093,0.11522883176803589,0.5669412016868591
0,A_recon,9,0.9164493680000305,0.11492818593978882,0.5697479844093323
0,A_recon,10,0.9320398569107056,0.1139480471611023,0.5728247165679932
0,A_recon,11,0.945497453212738,0.1147005558013916,0.5753774642944336
0,A_recon,12,0.9600211977958679,0.11431121826171875,0.578244149684906
0,A_recon,13,0.9746134877204895,0.11359018087387085,0.581425130367279
0,A_recon,14,0.9868831634521484,0.11451929807662964,0.5841215252876282
0,A_recon,15,0.999588131904602,0.11459845304489136,0.5874941945075989
0,B_task,0,0.0610261969268322,0.9303959608078003,0.9568639397621155
0,B_task,1,0.06326700747013092,0.929317831993103,0.9541776776313782
0,B_task,2,0.06606970727443695,0.9276300668716431,0.955747663974762
0,B_task,3,0.06975709646940231,0.9250611662864685,0.9573423266410828
0,B_task,4,0.0739290863275528,0.9220719337463379,0.9585326313972473
0,B_task,5,0.07810212671756744,0.9191762208938599,0.9596306085586548
0,B_task,6,0.0831657275557518,0.915498673915863,0.9603328704833984
0,B_task,7,0.08832897990942001,0.9118298888206482,0.9607935547828674
0,B_task,8,0.09288756549358368,0.9088200330734253,0.9613614082336426
0,B_task,9,0.0979597270488739,0.9053942561149597,0.96195387840271
0,B_task,10,0.10344928503036499,0.9016550183296204,0.9622727632522583
0,B_task,11,0.10862927883863449,0.8982869386672974,0.9622534513473511
0,B_task,12,0.11405586451292038,0.8947752118110657,0.9620181918144226
0,B_task,13,0.11962465941905975,0.8912014961242676,0.9614381194114685
0,B_task,14,0.12462479621171951,0.8881804347038269,0.9604743123054504
0,B_task,15,0.12920144200325012,0.8855577111244202,0.9594793319702148
0,C_scene,0,0.9533711075782776,-0.08737647533416748,0.715060293674469
0,C_scene,1,0.9839001893997192,-0.09921741485595703,0.7224521636962891
0,C_scene,2,1.0131423473358154,-0.10975277423858643,0.7332073450088501
0,C_scene,3,1.0418334007263184,-0.11922383308410645,0.742251992225647
