seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories,rmse_raw_behaviour_data,rmse_raw_planner_trajectories
0,A_recon,0,0.114901602268219,-10.538769721984863,0.31802132725715637,0.6558690667152405
0,A_recon,1,0.11534172296524048,-11.79134750366211,0.3212483823299408,0.6898016929626465
0,A_recon,2,0.11736637353897095,-12.753006935119629,0.3240647614002228,0.7151681780815125
0,A_recon,3,0.1177988052368164,-13.639809608459473,0.3271477520465851,0.7379186749458313
0,A_recon,4,0.1160123348236084,-14.416854858398438,0.3306002914905548,0.7580194473266602
0,A_recon,5,0.1166871190071106,-15.166252136230469,0.33353278040885925,0.7775962352752686
0,A_recon,6,0.11616003513336182,-15.828977584838867,0.336702823638916,0.7951040863990784
0,A_recon,7,0.11437857151031494,-16.430702209472656,0.34004345536231995,0.8115036487579346
0,A_recon,8,0.11522883176803589,-16.927490234375,0.3427393436431885,0.8260635733604431
0,A_recon,9,0.11492818593978882,-17.377342224121094,0.3455999791622162,0.8394657969474792
0,A_recon,10,0.1139480471611023,-17.758028030395508,0.3485272228717804,0.8518064618110657
0,A_recon,11,0.1147005558013916,-18.067609786987305,0.35103437304496765,0.8627544045448303
0,A_recon,12,0.11431121826171875,-18.32000160217285,0.35372021794319153,0.8725305199623108
0,A_recon,13,0.11359018087387085,-18.518417358398438,0.356398344039917,0.8812896609306335
0,A_recon,14,0.11451929807662964,-18.662338256835938,0.35863474011421204,0.8889995813369751
0,A_recon,15,0.11459845304489136,-18.762836456298828,0.36093583703041077,0.8955405950546265
0,B_task,0,0.9303959608078003,-2.5444231033325195,0.08918207883834839,0.3422521948814392
0,B_task,1,0.929317831993103,-3.31649112701416,0.09080465137958527,0.3761076033115387
0,B_task,2,0.9276300668716431,-4.162890434265137,0.09279416501522064,0.4098951816558838
0,B_task,3,0.9250611662864685,-5.044793605804443,0.09534845501184464,0.44211041927337646
0,B_task,4,0.9220719337463379,-5.943939208984375,0.0981583297252655,0.4717962145805359
0,B_task,5,0.9191762208938599,-6.854907035827637,0.1008906438946724,0.5005481839179993
0,B_task,6,0.915498673915863,-7.705713272094727,0.10410980880260468,0.52605140209198
0,B_task,7,0.9118298888206482,-8.567368507385254,0.10729292780160904,0.5501921772956848
0,B_task,8,0.9088200330734253,-9.40031623840332,0.11002673953771591,0.5737959146499634
0,B_task,9,0.9053942561149597,-10.154438018798828,0.1129908412694931,0.594950258731842
0,B_task,10,0.9016550183296204,-10.883960723876953,0.11611363291740417,0.6146758198738098
0,B_task,11,0.8982869386672974,-11.514735221862793,0.11898519843816757,0.6330872774124146
0,B_task,12,0.8947752118110657,-12.057570457458496,0.12192093580961227,0.6495338082313538
0,B_task,13,0.8912014961242676,-12.550106048583984,0.12486187368631363,0.6643345952033997
