seed,vs,delta_return,ci95_lo,ci95_hi,b_worse_frac
0,A_recon,-0.16304290294647217,-0.18328780867159367,-0.14262181706726554,0.13
0,C_scene,-0.16809846460819244,-0.19089622087776661,-0.14623075686395168,0.135
0,D_latent,0.032654307782649994,0.017416741279885174,0.0477994062937796,0.61
1,A_recon,-0.10830868035554886,-0.12550723887979984,-0.09134022165089847,0.18
1,C_scene,-0.1302216798067093,-0.14848504438996316,-0.11219521183520556,0.15
1,D_latent,0.08744869381189346,0.07089903745800256,0.10283777806907891,0.785
2,A_recon,0.21924938261508942,0.19778381511569024,0.24189641214907165,0.945
2,C_scene,0.0022269240580499172,-0.008915534149855376,0.013792635546997188,0.52
2,D_latent,0.17664124071598053,0.15461622588336468,0.19933601468801498,0.885
