model,seed,mse_k1,mse_kH,mse_ratio,r2_k1,r2_kH,r2_drop
A_recon,0,0.9601343870162964,1.2910746335983276,1.3446811728204608,-0.07266616821289062,-0.14359045028686523,0.07092428207397461
A_recon,1,0.06218375638127327,0.12283645570278168,1.9753785047918728,0.9321111440658569,0.8936750888824463,0.038436055183410645
A_recon,2,0.034025851637125015,0.08331422507762909,2.448556643523549,0.9624805450439453,0.9271628260612488,0.03531771898269653
A_recon,3,0.7026140689849854,0.9127441048622131,1.2990689272430698,0.21765148639678955,0.19421565532684326,0.02343583106994629
A_recon,4,0.03423243761062622,0.07781877368688583,2.2732466373568974,0.9625672101974487,0.9325342178344727,0.030032992362976074
B_task,0,1.0258232355117798,1.403057336807251,1.3677379184214622,-0.14605402946472168,-0.24278104305267334,0.09672701358795166
B_task,1,0.24234311282634735,0.32857000827789307,1.3558050172993041,0.7354229688644409,0.7155959606170654,0.01982700824737549
B_task,2,0.05751124396920204,0.12252822518348694,2.130509040094877,0.9365837574005127,0.8928800821304321,0.043703675270080566
B_task,3,0.9871411919593811,1.3595525026321411,1.3772624561776812,-0.09916448593139648,-0.2002335786819458,0.10106909275054932
B_task,4,0.047187842428684235,0.10818272829055786,2.292597472623509,0.9484006762504578,0.9062098860740662,0.0421907901763916
B_task_nopark,0,0.08643707633018494,0.2859255075454712,3.3079035025808983,0.940858006477356,0.8448916673660278,0.09596633911132812
B_task_nopark,1,0.15349559485912323,0.3479406237602234,2.266779213302896,0.8944904804229736,0.810379147529602,0.08411133289337158
B_task_nopark,2,0.18167579174041748,0.3396850824356079,1.8697322256393836,0.8745435476303101,0.8140226602554321,0.06052088737487793
B_task_nopark,3,0.14114883542060852,0.3234357535839081,2.2914518041902645,0.9000713229179382,0.818453848361969,0.08161747455596924
B_task_nopark,4,0.09528231620788574,0.27916479110717773,2.9298699088936875,0.9348458051681519,0.8486522436141968,0.08619356155395508
C_scene,0,0.7822144627571106,1.0134249925613403,1.2955845753468562,0.12610667943954468,0.10234218835830688,0.023764491081237793
C_scene,1,0.23703326284885406,0.32226061820983887,1.3595586304498142,0.7412199974060059,0.7210572957992554,0.02016270160675049
C_scene,2,0.4026063084602356,0.5368110537528992,1.333339896749081,0.556056022644043,0.5306946039199829,0.02536141872406006
C_scene,3,0.9195412993431091,1.2345106601715088,1.342528781527707,-0.023893237113952637,-0.08984482288360596,0.06595158576965332
