seed,arm,one_step_bias,one_step_mae,plan_sum_bias
0,A_recon,0.7821704745292664,0.7928295135498047,8.476725578308105
0,B_task,0.8487334847450256,0.8583256602287292,9.211843490600586
0,C_scene,0.5254499912261963,0.5543314814567566,5.584205627441406
0,D_latent,0.339234322309494,0.34917789697647095,4.179206371307373
0,B_task_nopark,0.15314607322216034,0.17251074314117432,1.744692325592041
0,D_latent_nopark,0.20211784541606903,0.21691569685935974,2.22811222076416
1,A_recon,0.37471455335617065,0.38210752606391907,5.096299171447754
1,B_task,0.5804616808891296,0.5902113318443298,6.557051658630371
1,C_scene,0.4433370530605316,0.4611701965332031,4.981276512145996
1,D_latent,0.26439225673675537,0.27835777401924133,3.289189338684082
1,B_task_nopark,0.1783692091703415,0.19142195582389832,2.1164379119873047
1,D_latent_nopark,0.0919102132320404,0.129275843501091,1.0429762601852417
2,A_recon,0.26617205142974854,0.2766945958137512,3.5854499340057373
2,B_task,0.39954209327697754,0.40994349122047424,4.740479946136475
2,C_scene,0.46939408779144287,0.49071836471557617,5.04763650894165
2,D_latent,0.2761293351650238,0.28360462188720703,3.5998332500457764
2,B_task_nopark,0.20048277080059052,0.21711134910583496,2.3992502689361572
2,D_latent_nopark,0.10388919711112976,0.13169367611408234,1.2142764329910278
3,A_recon,0.8980834484100342,0.9068044424057007,9.678765296936035
3,B_task,0.806645393371582,0.8188861012458801,8.85901927947998
3,C_scene,0.5639140605926514,0.5894532799720764,6.009880542755127
3,D_latent,0.8961251974105835,0.9063960909843445,9.813427925109863
3,B_task_nopark,0.2223028689622879,0.23071235418319702,2.645034074783325
3,D_latent_nopark,0.21937870979309082,0.23223453760147095,2.418714761734009
4,A_recon,0.2671109437942505,0.2743534743785858,3.476865768432617
4,B_task,0.24941827356815338,0.26402369141578674,3.1852097511291504
4,C_scene,0.34562069177627563,0.3721538484096527,3.823462963104248
4,D_latent,0.2677675485610962,0.28093525767326355,3.3589320182800293
4,B_task_nopark,0.14315290749073029,0.1641678810119629,1.6570730209350586
4,D_latent_nopark,0.12183023989200592,0.14026124775409698,1.5259652137756348
