model,seed,return,success,time_in_radius,chose_active,final_dist_px,normalised
A_recon,0,-0.45089835,0.0,0.001,0.465,14.475507,0.009149904
A_recon,1,-0.33328074,0.015,0.008888888888888889,0.745,10.000274,0.19986798
A_recon,2,-0.23453309,0.08,0.042222222222222223,0.905,6.394934,0.35998824
A_recon,3,-0.45939887,0.005,0.0041111111111111105,0.465,15.613838,-0.004633764
A_recon,4,-0.23906945,0.075,0.03766666666666667,0.91,6.2768474,0.3526325
B_task,0,-0.46310875,0.0,0.003666666666666667,0.455,15.801998,-0.010649374
B_task,1,-0.41286767,0.01,0.006222222222222223,0.54,13.427676,0.07081702
B_task,2,-0.30894992,0.03,0.01911111111111111,0.72,9.298215,0.23932064
B_task,3,-0.4592389,0.01,0.0018888888888888887,0.46,15.382578,-0.0043743565
B_task,4,-0.19573915,0.08,0.04355555555555555,0.945,5.1198974,0.422893
B_task_nopark,0,-0.08699815,0.105,0.12933333333333333,1.0,3.2712393,0.59921753
B_task_nopark,1,-0.112076476,0.145,0.09766666666666665,1.0,3.1941743,0.5585528
B_task_nopark,2,-0.13491997,0.19,0.09155555555555556,0.995,3.258366,0.52151185
B_task_nopark,3,-0.16114162,0.165,0.06755555555555555,0.975,3.4936361,0.47899318
B_task_nopark,4,-0.0732168,0.265,0.14766666666666667,1.0,2.5497308,0.62156415
C_scene,0,-0.45772094,0.005,0.0038888888888888888,0.515,15.135738,-0.0019129836
C_scene,1,-0.3356029,0.015,0.012444444444444445,0.7,9.918076,0.19610256
C_scene,2,-0.42535722,0.005,0.0026666666666666666,0.555,13.696594,0.050565086
C_scene,3,-0.46240124,0.0,0.0016666666666666668,0.46,14.990291,-0.009502144
C_scene,4,-0.25711825,0.045,0.023444444444444445,0.865,7.2984276,0.32336617
D_latent,0,-0.28583917,0.035,0.025222222222222222,0.82,8.594048,0.27679494
D_latent,1,-0.1857763,0.085,0.06455555555555556,0.96,5.20865,0.43904784
D_latent,2,-0.25752595,0.04,0.021444444444444443,0.905,6.6972213,0.3227051
D_latent,3,-0.46004668,0.0,0.0012222222222222224,0.47,15.160589,-0.005684199
D_latent,4,-0.20553304,0.07,0.04988888888888889,0.96,5.5516734,0.4070121
D_latent_nopark,0,-0.11651294,0.13,0.10222222222222221,1.0,3.6645555,0.551359
D_latent_nopark,1,-0.033707235,0.325,0.21144444444444446,1.0,2.2183301,0.6856293
D_latent_nopark,2,-0.030696945,0.34,0.20744444444444443,1.0,2.1000407,0.69051045
D_latent_nopark,3,-0.13039061,0.085,0.08077777777777778,1.0,3.6456256,0.5288563
D_latent_nopark,4,-0.051716074,0.24,0.15488888888888888,1.0,2.280482,0.65642774
noop,-1,-0.45654118,0.005,0.0047777777777777775,0.455,14.880446,0.0
oracle,-1,0.16016813,1.0,0.5785555555555555,1.0,0.01895671,1.0
oracle_colourblind,-1,-0.14460666,0.495,0.30244444444444446,0.515,7.648973,0.50580484
oracle_myopic,-1,-0.0014855766,0.83,0.28588888888888886,1.0,0.97466254,0.737877
oracle_wrong,-1,-0.46062297,0.0,0.0028888888888888888,0.0,15.491528,-0.0066186544
random,-1,-0.47028065,0.0,0.0017777777777777779,0.47,15.622786,-0.022278676
