seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories,rmse_raw_behaviour_data,rmse_raw_planner_trajectories
0,A_recon,0,-0.06607699394226074,-13.90163516998291,0.34902358055114746,0.7396306991577148
0,A_recon,1,-0.07266616821289062,-15.368406295776367,0.3537410795688629,0.7736191749572754
0,A_recon,2,-0.07741713523864746,-16.307281494140625,0.3580416440963745,0.7947085499763489
0,A_recon,3,-0.08447802066802979,-17.23725700378418,0.36271917819976807,0.8149914145469666
0,A_recon,4,-0.08934187889099121,-18.202861785888672,0.36699676513671875,0.8357024788856506
0,A_recon,5,-0.09465312957763672,-19.03095817565918,0.37129536271095276,0.8538353443145752
0,A_recon,6,-0.10154008865356445,-19.726022720336914,0.3758894205093384,0.8697606325149536
0,A_recon,7,-0.10579907894134521,-20.366865158081055,0.3799692690372467,0.8848481774330139
0,A_recon,8,-0.11025857925415039,-20.928842544555664,0.3839375376701355,0.8986371159553528
0,A_recon,9,-0.11604750156402588,-21.412029266357422,0.3880840241909027,0.9111725687980652
0,A_recon,10,-0.12027311325073242,-21.84332275390625,0.3918944299221039,0.9226186871528625
0,A_recon,11,-0.12471139430999756,-22.179677963256836,0.39566269516944885,0.9325049519538879
0,A_recon,12,-0.13051557540893555,-22.473146438598633,0.39962953329086304,0.9417668581008911
0,A_recon,13,-0.1342926025390625,-22.719785690307617,0.40316325426101685,0.9498153328895569
0,A_recon,14,-0.1385173797607422,-22.852794647216797,0.4066610634326935,0.9560644626617432
0,A_recon,15,-0.14359045028686523,-22.927095413208008,0.41019952297210693,0.9612364172935486
0,B_task,0,-0.13554871082305908,-15.637950897216797,0.36021631956100464,0.808553159236908
0,B_task,1,-0.14605402946472168,-16.615251541137695,0.365641713142395,0.8340498208999634
0,B_task,2,-0.15462243556976318,-17.50973892211914,0.37064793705940247,0.858768105506897
0,B_task,3,-0.16488277912139893,-18.299596786499023,0.3759250044822693,0.8811880946159363
0,B_task,4,-0.173437237739563,-18.973031997680664,0.3808991611003876,0.9015845656394958
0,B_task,5,-0.18049800395965576,-19.451637268066406,0.3855794370174408,0.9190776348114014
0,B_task,6,-0.1883624792098999,-19.829532623291016,0.39042213559150696,0.9347607493400574
0,B_task,7,-0.19582617282867432,-20.107017517089844,0.39513397216796875,0.9486267566680908
0,B_task,8,-0.20061850547790527,-20.28324317932129,0.3992556035518646,0.9607251882553101
0,B_task,9,-0.20730328559875488,-20.40595054626465,0.4036385715007782,0.9711692333221436
0,B_task,10,-0.21519780158996582,-20.44281768798828,0.40816015005111694,0.9794372916221619
0,B_task,11,-0.2202901840209961,-20.420658111572266,0.41213178634643555,0.9862359166145325
0,B_task,12,-0.2263166904449463,-20.36336326599121,0.41621777415275574,0.9916703104972839
0,B_task,13,-0.23346948623657227,-20.275062561035156,0.42041927576065063,0.9961206912994385
0,B_task,14,-0.23808026313781738,-20.14337730407715,0.4240696430206299,0.9995097517967224
0,B_task,15,-0.24278104305267334,-19.991064071655273,0.42761918902397156,1.001814842224121
0,C_scene,0,0.12738704681396484,-4.653634548187256,0.31577032804489136,0.491862952709198
0,C_scene,1,0.12610667943954468,-5.079791069030762,0.31928786635398865,0.5113784670829773
0,C_scene,2,0.12541955709457397,-5.539309978485107,0.32258298993110657,0.5324779748916626
0,C_scene,3,0.12442964315414429,-6.018906116485596,0.32591599225997925,0.5536392331123352
0,C_scene,4,0.12229633331298828,-6.495136737823486,0.32942312955856323,0.5744695067405701
0,C_scene,5,0.12138700485229492,-6.94773530960083,0.3326442539691925,0.5948342680931091
0,C_scene,6,0.12026751041412354,-7.40052604675293,0.3359195291996002,0.6148192882537842
0,C_scene,7,0.11846661567687988,-7.838207244873047,0.33925771713256836,0.6343806982040405
0,C_scene,8,0.11759477853775024,-8.25279426574707,0.3422808051109314,0.6532793641090393
0,C_scene,9,0.11608642339706421,-8.669318199157715,0.3453737795352936,0.671890377998352
0,C_scene,10,0.1134723424911499,-9.080409049987793,0.34862077236175537,0.6901066303253174
0,C_scene,11,0.11176276206970215,-9.460659980773926,0.3516163229942322,0.7072697877883911
0,C_scene,12,0.10924988985061646,-9.865653991699219,0.35472944378852844,0.7246121168136597
0,C_scene,13,0.10617071390151978,-10.249467849731445,0.35788682103157043,0.740835964679718
0,C_scene,14,0.1044321060180664,-10.612418174743652,0.36067166924476624,0.7563483715057373
0,C_scene,15,0.10234218835830688,-10.977067947387695,0.3634254038333893,0.7710896730422974
0,D_latent,0,0.9434981346130371,-1.5039994716644287,0.08035111427307129,0.31397777795791626
0,D_latent,1,0.9441343545913696,-1.9622306823730469,0.08072826266288757,0.34175387024879456
0,D_latent,2,0.9437796473503113,-2.484484910964966,0.08178778737783432,0.37097612023353577
0,D_latent,3,0.9418498277664185,-3.0080528259277344,0.08399157226085663,0.3981936573982239
0,D_latent,4,0.9400308132171631,-3.542644500732422,0.08610814809799194,0.42375388741493225
0,D_latent,5,0.9377574920654297,-4.09151554107666,0.08853699266910553,0.4488684833049774
0,D_latent,6,0.9343248009681702,-4.644796848297119,0.09178265184164047,0.4734457731246948
0,D_latent,7,0.9316005110740662,-5.205160140991211,0.09450110048055649,0.4970313310623169
0,D_latent,8,0.929063618183136,-5.742773532867432,0.09704721719026566,0.5196534991264343
0,D_latent,9,0.9259303212165833,-6.272948741912842,0.09997805207967758,0.5419359803199768
0,D_latent,10,0.9232420921325684,-6.782724380493164,0.10258140414953232,0.5625936985015869
0,D_latent,11,0.9205619692802429,-7.245330810546875,0.10515230894088745,0.581951379776001
0,D_latent,12,0.9176877737045288,-7.683469772338867,0.10783295333385468,0.6006207466125488
0,D_latent,13,0.9151179194450378,-8.093229293823242,0.11028751730918884,0.6176967620849609
0,D_latent,14,0.9127480387687683,-8.465316772460938,0.11257719248533249,0.6338356137275696
0,D_latent,15,0.9108876585960388,-8.807976722717285,0.11450614035129547,0.6492505073547363
0,B_task_nopark,0,0.9457634687423706,0.801513671875,0.07872388511896133,0.11972051113843918
0,B_task_nopark,1,0.940858006477356,0.7468417882919312,0.08306175470352173,0.1362200826406479
0,B_task_nopark,2,0.9369761943817139,0.6662362813949585,0.08659516274929047,0.15700125694274902
0,B_task_nopark,3,0.9317151308059692,0.574134111404419,0.091016985476017,0.1773625761270523
0,B_task_nopark,4,0.925536572933197,0.4702828526496887,0.09595133364200592,0.19692710041999817
0,B_task_nopark,5,0.9187697768211365,0.3536118268966675,0.10114406049251556,0.21588841080665588
0,B_task_nopark,6,0.9113537073135376,0.22443169355392456,0.10663248598575592,0.23402829468250275
0,B_task_nopark,7,0.9035634994506836,0.08207905292510986,0.1122097298502922,0.2509746849536896
0,B_task_nopark,8,0.8957815766334534,-0.07280623912811279,0.11763057857751846,0.2667436897754669
0,B_task_nopark,9,0.8879426717758179,-0.23899519443511963,0.1229715496301651,0.2812599241733551
0,B_task_nopark,10,0.8801731467247009,-0.41719484329223633,0.12816934287548065,0.29424843192100525
0,B_task_nopark,11,0.8725286722183228,-0.6056126356124878,0.13320207595825195,0.30593371391296387
0,B_task_nopark,12,0.8650745749473572,-0.7991518974304199,0.13805928826332092,0.3162061870098114
0,B_task_nopark,13,0.8578603863716125,-1.0012133121490479,0.14271709322929382,0.3251834809780121
0,B_task_nopark,14,0.8511286377906799,-1.2065446376800537,0.14705133438110352,0.3333214521408081
0,B_task_nopark,15,0.8448916673660278,-1.4106824398040771,0.1510697454214096,0.3406444191932678
0,D_latent_nopark,0,0.9166148900985718,0.5569310188293457,0.09761234372854233,0.16629290580749512
0,D_latent_nopark,1,0.9122922420501709,0.46910518407821655,0.10115142911672592,0.18342959880828857
0,D_latent_nopark,2,0.9077805876731873,0.35504937171936035,0.10474967211484909,0.2031572461128235
0,D_latent_nopark,3,0.902373731136322,0.2233564257621765,0.10882870107889175,0.22309666872024536
0,D_latent_nopark,4,0.8964938521385193,0.07488733530044556,0.11312603950500488,0.2425946593284607
