target,ceiling,best_arm_score,ceiling_valid
agent_position,0.9994726777076721,0.8528754711151123,True
active_goal,0.9653171300888062,0.9080725908279419,True
agent_to_active_goal,0.9185607433319092,0.9080849885940552,True
inactive_goal,0.9615387916564941,0.31307828426361084,True
agent_to_inactive_goal,0.9289965629577637,0.5107458829879761,True
ring_position,0.9907195568084717,0.1882178783416748,True
plus_position,0.9816806316375732,0.7939338088035583,True
distractor_positions,0.22405529022216797,0.3920632600784302,False
distractor_heatmap,0.9045847654342651,0.8708261251449585,True
distractor_hues,-0.033014655113220215,0.0,True
background_sat_val,0.9918686747550964,0.667405366897583,True
background_hue_within_band,0.9986749887466431,0.8042392730712891,True
selector_bit,1.0,1.0,True
