arm,seed,epoch,task_mse,aux,mse_k0,mse_k1,mse_kH,z_norm,z_dim_std,z_eff_rank,nonfinite_batches,sec
A_recon,0,1,1.0204476895539656,0.051188997600389564,1.0078727,0.90230024,1.141645,5.6568403244018555,0.03878112882375717,5.121659278869629,0,5.919183731079102
A_recon,0,2,1.0123807658319888,0.04388065960096276,0.9934213,0.88780767,1.1407173,5.65684175491333,0.18027928471565247,2.144962787628174,0,4.497003078460693
A_recon,0,3,1.007479709127675,0.029993471891983696,0.9826168,0.8754103,1.1399341,5.656845569610596,0.13896296918392181,2.603398561477661,0,4.525756597518921
A_recon,0,4,1.0020404483961023,0.027254757673844048,0.9745749,0.86788595,1.135052,5.656843662261963,0.16651159524917603,2.5269641876220703,0,4.556517124176025
A_recon,0,5,1.0045495240584663,0.021831585013348122,0.9770877,0.8685691,1.1382235,5.656832218170166,0.2512255907058716,2.6071572303771973,0,4.566011190414429
A_recon,0,6,1.0039851147195566,0.01940918357475944,0.9801035,0.87138766,1.1355575,5.656841278076172,0.18776105344295502,2.903393507003784,0,4.589199542999268
A_recon,0,7,0.9886233288308849,0.019235820873923924,0.9663641,0.85831463,1.1191587,5.656849384307861,0.1339603215456009,2.6646149158477783,0,4.647379398345947
A_recon,0,8,0.9408595872961957,0.018731824729753578,0.9235451,0.8264778,1.0557679,5.656849384307861,0.13392409682273865,2.8458034992218018,0,4.644555568695068
A_recon,0,9,0.9179947894552479,0.018247991800308228,0.90228695,0.81209815,1.0236791,5.656846523284912,0.14599469304084778,3.4174001216888428,0,4.661492109298706
A_recon,0,10,0.8922987398893937,0.01819556174070939,0.87548894,0.7910662,0.9936128,5.656850337982178,0.13957636058330536,3.200705051422119,0,4.718598365783691
A_recon,0,11,0.885494729746943,0.018426836832709934,0.867948,0.78586555,0.98436725,5.656849384307861,0.15029276907444,3.870011329650879,0,4.702418327331543
A_recon,0,12,0.8684312571649966,0.018191507329111515,0.8488081,0.7723509,0.9664851,5.656850337982178,0.1598454713821411,3.9376795291900635,0,4.7568604946136475
A_recon,0,13,0.851327481477157,0.017815899589787357,0.8286584,0.7571042,0.9479539,5.656851291656494,0.15086692571640015,4.287137508392334,0,4.795129060745239
A_recon,0,14,0.8433003632918649,0.018157756846884022,0.8207817,0.7503857,0.93784165,5.656853675842285,0.14727231860160828,3.8640520572662354,0,4.817671298980713
A_recon,0,15,0.8416501750116763,0.017457429481589275,0.8202288,0.75044096,0.9328657,5.656853675842285,0.13112694025039673,4.398226737976074,0,4.8432776927948
A_recon,0,16,0.8343986842943274,0.017157322686651478,0.81058514,0.74318707,0.926216,5.656853199005127,0.18719476461410522,4.467777729034424,0,4.88135290145874
A_recon,0,17,0.8324430714482847,0.017471472854199616,0.81007165,0.741013,0.92371976,5.656852722167969,0.2386074960231781,4.600602626800537,0,4.9168572425842285
A_recon,0,18,0.8249148493227751,0.016605563785718834,0.8023831,0.736195,0.9134355,5.656853675842285,0.2003699243068695,4.738149166107178,0,4.98230767250061
A_recon,0,19,0.8329160109810207,0.01712313164835391,0.81465745,0.7431646,0.9223205,5.656852722167969,0.3111756145954132,4.986268997192383,0,5.002551317214966
A_recon,0,20,0.826630799666695,0.017758017000944717,0.8049485,0.7380246,0.91530716,5.656853675842285,0.2383415549993515,4.867245197296143,0,5.085911512374878
A_recon,0,21,0.8196754455566406,0.016967129448185795,0.79902285,0.73222446,0.9073893,5.656853675842285,0.2349490076303482,5.209693908691406,0,5.183543682098389
A_recon,0,22,0.8112931458846383,0.016552401625591774,0.7895743,0.7258242,0.8974804,5.656853675842285,0.2751588225364685,5.552947044372559,0,5.266772985458374
A_recon,0,23,0.8121675408404806,0.0173517776572186,0.7906525,0.7256565,0.8992365,5.656853675842285,0.29558998346328735,5.626383304595947,0,5.376192808151245
A_recon,0,24,0.8145325702169667,0.01692074796427851,0.7949968,0.72852707,0.901081,5.656852722167969,0.33885324001312256,5.946106433868408,0,5.393472909927368
A_recon,0,25,0.8120301288107167,0.01815234837324723,0.7933032,0.7272291,0.8975289,5.656853675842285,0.2867205739021301,5.762855529785156,0,5.275237798690796
A_recon,0,26,0.8049199477485989,0.017247303672458813,0.78467894,0.7209685,0.88972676,5.656853675842285,0.3181081712245941,6.044931888580322,0,5.149981737136841
A_recon,0,27,0.8002720708432405,0.017305574987245644,0.7817813,0.7172995,0.88479733,5.656853675842285,0.3705825209617615,6.265345096588135,0,5.083690166473389
A_recon,0,28,0.7963698013969089,0.017166129920793617,0.7788757,0.71325296,0.88079554,5.656854629516602,0.32809826731681824,6.350767135620117,0,5.027351140975952
A_recon,0,29,0.7949466705322266,0.01700266806975655,0.7778421,0.7127785,0.87902856,5.656853675842285,0.3851947784423828,6.95573616027832,0,5.019459247589111
