seed,arm,epoch,horizon,r2
0,A_recon,1,0,-0.08571946620941162
0,A_recon,1,1,-0.09829390048980713
0,A_recon,1,2,-0.1116640567779541
0,A_recon,1,3,-0.1257854700088501
0,A_recon,1,4,-0.1405019760131836
0,A_recon,1,5,-0.15559983253479004
0,A_recon,1,6,-0.17094147205352783
0,A_recon,1,7,-0.1863243579864502
0,A_recon,1,8,-0.20147860050201416
0,A_recon,1,9,-0.21637368202209473
0,A_recon,1,10,-0.23112571239471436
0,A_recon,1,11,-0.24556469917297363
0,A_recon,1,12,-0.25946736335754395
0,A_recon,1,13,-0.2728121280670166
0,A_recon,1,14,-0.285375714302063
0,A_recon,1,15,-0.29701244831085205
0,A_recon,5,0,-0.19605207443237305
0,A_recon,5,1,-0.18515229225158691
0,A_recon,5,2,-0.18043792247772217
0,A_recon,5,3,-0.18057799339294434
0,A_recon,5,4,-0.18431198596954346
0,A_recon,5,5,-0.19054138660430908
0,A_recon,5,6,-0.1988074779510498
0,A_recon,5,7,-0.2084810733795166
0,A_recon,5,8,-0.21888113021850586
0,A_recon,5,9,-0.22995734214782715
0,A_recon,5,10,-0.24172282218933105
0,A_recon,5,11,-0.2537919282913208
0,A_recon,5,12,-0.2658684253692627
0,A_recon,5,13,-0.2778860330581665
0,A_recon,5,14,-0.28944218158721924
0,A_recon,5,15,-0.30038928985595703
0,A_recon,10,0,0.08832383155822754
0,A_recon,10,1,0.09148681163787842
0,A_recon,10,2,0.08892369270324707
0,A_recon,10,3,0.08384287357330322
0,A_recon,10,4,0.0779944658279419
0,A_recon,10,5,0.06876087188720703
0,A_recon,10,6,0.05924743413925171
0,A_recon,10,7,0.050565898418426514
0,A_recon,10,8,0.04029589891433716
0,A_recon,10,9,0.03016960620880127
0,A_recon,10,10,0.02143150568008423
0,A_recon,10,11,0.011867165565490723
0,A_recon,10,12,0.0022350549697875977
0,A_recon,10,13,-0.005490541458129883
0,A_recon,10,14,-0.013959527015686035
0,A_recon,10,15,-0.021572351455688477
0,A_recon,15,0,0.11408418416976929
0,A_recon,15,1,0.10353827476501465
0,A_recon,15,2,0.09319943189620972
0,A_recon,15,3,0.08315354585647583
0,A_recon,15,4,0.073910653591156
0,A_recon,15,5,0.0635526180267334
0,A_recon,15,6,0.05321395397186279
0,A_recon,15,7,0.04393535852432251
0,A_recon,15,8,0.03431057929992676
0,A_recon,15,9,0.025148391723632812
0,A_recon,15,10,0.017199218273162842
0,A_recon,15,11,0.008057475090026855
0,A_recon,15,12,-0.0003616809844970703
