arm,seed,both_passed,park_goal_choice,park_final_dist_px,park_return,park_optimism_bias,park_onpolicy_rmse_k1,park_behaviour_rmse_k1,nopark_goal_choice,nopark_final_dist_px,nopark_return,nopark_optimism_bias,nopark_onpolicy_rmse_k1,nopark_behaviour_rmse_k1
B_task,0,False,0.455,15.801998138427734,-0.46310874819755554,0.8487334847450256,0.8340498208999634,0.365641713142395,1.0,3.2712392807006836,-0.08699814975261688,0.15314607322216034,0.1362200826406479,0.08306175470352173
B_task,1,True,0.54,13.4276762008667,-0.4128676652908325,0.5804616808891296,0.5727600455284119,0.17568272352218628,1.0,3.194174289703369,-0.11207647621631622,0.1783692091703415,0.1594032347202301,0.11094273626804352
B_task,2,True,0.72,9.29821491241455,-0.30894991755485535,0.39954209327697754,0.39764827489852905,0.08601093292236328,0.995,3.258366107940674,-0.13491997122764587,0.20048277080059052,0.20059151947498322,0.12097619473934174
B_task,3,False,0.46,15.382577896118164,-0.4592388868331909,0.806645393371582,0.8029547929763794,0.35808372497558594,0.975,3.493636131286621,-0.16114161908626556,0.2223028689622879,0.19927074015140533,0.10796882957220078
B_task,4,True,0.945,5.119897365570068,-0.19573915004730225,0.24941827356815338,0.2586810886859894,0.07758449763059616,1.0,2.5497307777404785,-0.07321680337190628,0.14315290749073029,0.14102815091609955,0.08718152344226837
D_latent,0,True,0.82,8.594047546386719,-0.28583917021751404,0.339234322309494,0.34175387024879456,0.08072826266288757,1.0,3.664555549621582,-0.11651293933391571,0.20211784541606903,0.18342959880828857,0.10115142911672592
D_latent,1,True,0.96,5.2086501121521,-0.18577629327774048,0.26439225673675537,0.2638210654258728,0.07728619128465652,1.0,2.218330144882202,-0.033707235008478165,0.0919102132320404,0.11845676600933075,0.08308890461921692
D_latent,2,True,0.905,6.697221279144287,-0.2575259506702423,0.2761293351650238,0.2691735625267029,0.07725606858730316,1.0,2.1000406742095947,-0.030696945264935493,0.10388919711112976,0.1168430745601654,0.0853206068277359
D_latent,3,False,0.47,15.160589218139648,-0.4600466787815094,0.8961251974105835,0.8960244059562683,0.3416580855846405,1.0,3.645625591278076,-0.13039061427116394,0.21937870979309082,0.20827437937259674,0.10166940093040466
D_latent,4,True,0.96,5.551673412322998,-0.20553304255008698,0.2677675485610962,0.26937031745910645,0.07753100246191025,1.0,2.280482053756714,-0.05171607434749603,0.12183023989200592,0.1197289377450943,0.08150817453861237
