model,horizon,r2_mean,r2_std,mse_mean,mse_std
A_recon,0,0.6009238600730896,0.49161695951455153,0.35086228176951406,0.43104275949948717
A_recon,1,0.60042884349823,0.49290318005606243,0.35863810032606125,0.44119569749756443
A_recon,2,0.599503242969513,0.4933012797691718,0.366645285487175,0.450341418747225
A_recon,3,0.5966722965240479,0.4945073035127466,0.376498880982399,0.4602725414517051
A_recon,4,0.5938754796981811,0.4950883599777422,0.38639176189899443,0.469613665285007
A_recon,5,0.5914949893951416,0.4955988967135999,0.3959044203162193,0.4788142122093426
A_recon,6,0.5879409790039063,0.49653142047922005,0.4067601814866066,0.4885511048815631
A_recon,7,0.5848662972450256,0.4965984714312861,0.4171549879014492,0.49732444517962726
A_recon,8,0.5822869777679444,0.4969773059899634,0.426861222833395,0.5060857375330744
A_recon,9,0.5790301442146302,0.49792439478565714,0.4372762568295002,0.5153446085322041
A_recon,10,0.5760842442512513,0.4983712439672749,0.4473571740090847,0.5239729677406121
A_recon,11,0.573208999633789,0.4991007234717906,0.45730562061071395,0.532743586326599
A_recon,12,0.5698745250701904,0.5002985471862772,0.4677757158875465,0.5419589643043287
A_recon,13,0.5669159531593323,0.500993082010944,0.4777860134840012,0.5504878018385442
A_recon,14,0.5639352440834046,0.5020815713759674,0.487663571536541,0.5591955937964423
A_recon,15,0.5607994675636292,0.5034292060559388,0.49755763858556745,0.5679443873293374
B_task,0,0.47885042428970337,0.5475072316446237,0.4589883342385292,0.479880476271624
B_task,1,0.47503777742385866,0.5523497183320769,0.4720013253390789,0.49424164326772696
B_task,2,0.4702503204345703,0.5577078413406412,0.4857987746596336,0.508989704397841
B_task,3,0.46452600955963136,0.5626439559081712,0.5006848894059658,0.5235571338618298
B_task,4,0.45948787927627566,0.5662162032642069,0.5150836400687695,0.5369545583099397
B_task,5,0.455017626285553,0.5694561836517993,0.5290106445550918,0.5500570452115269
B_task,6,0.4501633167266846,0.5722783760591403,0.5436042934656143,0.5629818510111764
B_task,7,0.44554340839385986,0.5746943058613292,0.5579933509230613,0.5754468423187815
B_task,8,0.44176355600357053,0.5765575771599564,0.5713040322065354,0.5870486324465268
B_task,9,0.4374264359474182,0.5784792848118386,0.5852121591567994,0.5986484116156403
B_task,10,0.4328183770179749,0.5805762230182033,0.5993969365954399,0.6103332208520696
B_task,11,0.4289670944213867,0.5818693359020845,0.6127202048897743,0.6210246477274162
B_task,12,0.42487101554870604,0.583131335550769,0.6263394743204117,0.6316214266371746
B_task,13,0.42064117193222045,0.5844986582997616,0.6400344088673592,0.6421645122268689
B_task,14,0.4173483490943909,0.585073632307042,0.6524814367294312,0.6515391794900642
B_task,15,0.41433426141738894,0.5854913529487726,0.664378160238266,0.6604233713650656
B_task_nopark,0,0.9147758483886719,0.02873478864036954,0.12067159563302994,0.040259630631341144
B_task_nopark,1,0.908961832523346,0.02810883082065361,0.13160792291164397,0.04011497777364862
B_task_nopark,2,0.9033761024475098,0.027703130322765855,0.14248476326465606,0.04027484079991022
B_task_nopark,3,0.8969693303108215,0.027377331337844573,0.1549314796924591,0.040536018894751086
B_task_nopark,4,0.8900822758674621,0.027163576878661683,0.16847193390130996,0.04094532833757911
B_task_nopark,5,0.8831251859664917,0.026874670557730955,0.18248525261878967,0.041216862849852924
B_task_nopark,6,0.8760936021804809,0.02640861932347009,0.19705837965011597,0.04119451427672518
B_task_nopark,7,0.8692169904708862,0.02578884465808245,0.21173530220985412,0.04088824121703758
B_task_nopark,8,0.8628162384033203,0.025006362184575928,0.22586854100227355,0.04025616839305926
B_task_nopark,9,0.8567568540573121,0.024065985559153753,0.2397339880466461,0.03929448899624682
B_task_nopark,10,0.8509692907333374,0.023050766598012574,0.25339723825454713,0.03813595804414633
B_task_nopark,11,0.845468258857727,0.02201863749552694,0.26678473353385923,0.03687797739599811
B_task_nopark,12,0.8403431534767151,0.02095669903415963,0.2797540187835693,0.0354860270672283
B_task_nopark,13,0.8355833053588867,0.019959409232758647,0.2922415554523468,0.034099170868471085
B_task_nopark,14,0.8312190890312194,0.019022578824636874,0.3040978729724884,0.03271547954428709
B_task_nopark,15,0.8272799134254456,0.01807097429958662,0.31523035168647767,0.031204258224948704
C_scene,0,0.4391482949256897,0.3680413500270712,0.4952008008956909,0.3211976258092747
C_scene,1,0.4396573543548584,0.36968343267019693,0.5050792247056961,0.3294022802253746
C_scene,2,0.43913429975509644,0.3714690165989405,0.5156248450279236,0.3376139078441541
C_scene,3,0.4374238014221191,0.372892290207486,0.5273446381092072,0.34556396589936894
C_scene,4,0.43524119853973386,0.3741013764968613,0.5395330250263214,0.3533209438026073
C_scene,5,0.433389413356781,0.3748606011668997,0.5513764917850494,0.36061751336857145
C_scene,6,0.43090684413909913,0.3754692983469836,0.5640421390533448,0.36787106152875126
C_scene,7,0.4281593084335327,0.375984382860027,0.5769165068864822,0.37494800564077485
C_scene,8,0.42579691410064696,0.3765241682324293,0.5890991628170014,0.3818190298679319
C_scene,9,0.4228165984153748,0.37720602799861186,0.6018918991088867,0.3887742565439772
C_scene,10,0.41948487758636477,0.3777743553670704,0.6149991512298584,0.39552222648670127
C_scene,11,0.4165955185890198,0.378102725687146,0.6275327533483506,0.40189931857942046
C_scene,12,0.4133479356765747,0.37877916130903677,0.6404510974884033,0.40859969033077065
C_scene,13,0.41000397205352784,0.379426858570094,0.6533733427524566,0.4151550742493766
C_scene,14,0.4075294852256775,0.37994167132343337,0.6650835752487183,0.42137630859019753
C_scene,15,0.4052614331245422,0.380675222429565,0.6762925982475281,0.42764831338975645
D_latent,0,0.7586181163787842,0.421555483510782,0.2127439111471176,0.37061205026361826
D_latent,1,0.7579203605651855,0.424051521666552,0.21781665608286857,0.3806033780892816
D_latent,2,0.755654489994049,0.42751997704634914,0.22424415200948716,0.3913664534975613
D_latent,3,0.7520319938659668,0.43104292785120035,0.23204535394906997,0.40232538445834276
D_latent,4,0.7479294419288636,0.43497447537910583,0.2404163621366024,0.4137597300787078
D_latent,5,0.744351577758789,0.4373014378067296,0.24838107377290725,0.42370027931967047
D_latent,6,0.7401953101158142,0.4393509158665183,0.2571058087050915,0.433542583727063
D_latent,7,0.7360640168190002,0.4420800540975285,0.26588422656059263,0.44402539867389634
D_latent,8,0.7324335932731628,0.44426097942574944,0.27411293387413027,0.45374425113791644
D_latent,9,0.7285813689231873,0.44607016601990307,0.2826433092355728,0.4630570345900728
D_latent,10,0.7247766852378845,0.44818008551804767,0.29117702692747116,0.47262525852544923
D_latent,11,0.7210565209388733,0.4503328123890732,0.2996459037065506,0.48214908851163035
D_latent,12,0.7171834349632263,0.45230112156101204,0.3083562672138214,0.4914636249749285
D_latent,13,0.7134472489356994,0.45430006983371135,0.3169379338622093,0.5007153930233329
D_latent,14,0.7099559545516968,0.45621959975819415,0.3251971021294594,0.5096856231227895
D_latent,15,0.706899356842041,0.45774853222024026,0.3329011857509613,0.5180111825056132
D_latent_nopark,0,0.931313693523407,0.01564586849863988,0.09726225137710572,0.021325076048777238
D_latent_nopark,1,0.9290301561355591,0.015812985061716908,0.10261842459440232,0.02212847355294819
D_latent_nopark,2,0.9252942800521851,0.01523346503285857,0.11020118445158004,0.021808374067506915
D_latent_nopark,3,0.9208530426025391,0.014911182392041755,0.1190682202577591,0.02185589192686003
D_latent_nopark,4,0.9160365104675293,0.014633279818727633,0.1287611559033394,0.02199405210282759
D_latent_nopark,5,0.9110144257545472,0.014464990197159406,0.1390304297208786,0.022334138581088125
D_latent_nopark,6,0.9058435082435607,0.014586702438921208,0.1498568147420883,0.02315759886852443
D_latent_nopark,7,0.9007716178894043,0.015023348042177687,0.160781130194664,0.024501333797439323
D_latent_nopark,8,0.8959550023078918,0.015670624482804374,0.17145608365535736,0.02618243677251446
