model,horizon,mean,std,count
A_recon,1,0.7951702326536179,0.09239880774464296,4
A_recon,2,0.8173964470624924,0.049912978051540824,4
A_recon,3,0.8888790011405945,0.0315890175511406,4
A_recon,4,0.9754893481731415,0.03389483746261416,4
A_recon,5,1.0676596760749817,0.028077528786203492,4
A_recon,6,1.1658638417720795,0.025692093912221256,4
A_recon,7,1.2634673118591309,0.019188520713678745,4
A_recon,8,1.361786276102066,0.01775260338248604,4
A_recon,9,1.4573771059513092,0.019421492820193013,4
A_recon,10,1.556025743484497,0.023164658760085787,4
A_recon,11,1.6554385125637054,0.031559032594182204,4
A_recon,12,1.7501118779182434,0.0334989867588555,4
A_recon,13,1.8476994633674622,0.037146674693381246,4
A_recon,14,1.9454688131809235,0.03848407752300776,4
A_recon,15,2.045999050140381,0.04647099279342034,4
A_recon,16,2.1529131531715393,0.05093276640765948,4
A_recon,17,2.2574026584625244,0.05355646882162159,4
A_recon,18,2.3569419980049133,0.054269191830756645,4
A_recon,19,2.4567700028419495,0.04805396777955893,4
A_recon,20,2.561082899570465,0.049278184991179134,4
A_recon,21,2.665113687515259,0.058876628337135396,4
A_recon,22,2.772893249988556,0.055081580049649054,4
A_recon,23,2.881352961063385,0.05876484540686926,4
A_recon,24,2.9913329482078552,0.06157963034670835,4
A_recon,25,3.094539999961853,0.06469745220861922,4
B_task,1,0.80403932929039,0.15453444727921367,4
B_task,2,0.7959597706794739,0.1298485642312702,4
B_task,3,0.8570677191019058,0.09737208862385285,4
B_task,4,0.9430601596832275,0.07273624473064434,4
B_task,5,1.0319586545228958,0.05372283082540323,4
B_task,6,1.1248090863227844,0.035407048711012495,4
B_task,7,1.213464379310608,0.03016427558311273,4
B_task,8,1.306311547756195,0.022872460347829998,4
B_task,9,1.4066806733608246,0.02474906115636009,4
B_task,10,1.5049075782299042,0.02344866837877136,4
B_task,11,1.5987129211425781,0.02277159820807135,4
B_task,12,1.6903160214424133,0.01778460484069696,4
B_task,13,1.7878176867961884,0.023267707493649932,4
B_task,14,1.8868350088596344,0.021983605028258715,4
B_task,15,1.9877499639987946,0.02617540600961411,4
B_task,16,2.09364777803421,0.02983883820858455,4
B_task,17,2.1934708952903748,0.03439971309051199,4
B_task,18,2.293758273124695,0.03848126746793201,4
B_task,19,2.397411525249481,0.036609890309470476,4
B_task,20,2.5070716738700867,0.04096390110993405,4
B_task,21,2.6168782114982605,0.05294693832407938,4
B_task,22,2.7277419567108154,0.054882319791495535,4
B_task,23,2.844151496887207,0.05532249813497358,4
B_task,24,2.955849587917328,0.06823719259281617,4
B_task,25,3.067337989807129,0.08030495907397733,4
C_scene,1,0.9322015792131424,0.16357850232845145,4
C_scene,2,0.9780038595199585,0.12034960445041612,4
C_scene,3,1.062173530459404,0.0871517061943405,4
C_scene,4,1.1603823900222778,0.06428709956643704,4
C_scene,5,1.2618337869644165,0.051521576677600024,4
C_scene,6,1.3682869672775269,0.037670716609551916,4
C_scene,7,1.4757235050201416,0.03299255539984944,4
C_scene,8,1.5744205713272095,0.024498750205629076,4
C_scene,9,1.676211416721344,0.025152026048910422,4
C_scene,10,1.7884093523025513,0.025198079590178897,4
C_scene,11,1.8977738618850708,0.015265179491125767,4
C_scene,12,2.0018589794635773,0.015479747171464857,4
C_scene,13,2.1112735271453857,0.011485941012215882,4
C_scene,14,2.219965159893036,0.011629252320438554,4
C_scene,15,2.3287675380706787,0.011113368676018821,4
C_scene,16,2.44366854429245,0.0164990735382115,4
C_scene,17,2.5575172901153564,0.023584139916412065,4
C_scene,18,2.6662007570266724,0.026651588516902774,4
C_scene,19,2.7748380303382874,0.031861603068568396,4
C_scene,20,2.887204110622406,0.02859632195722162,4
C_scene,21,2.9996429681777954,0.023303782875365657,4
C_scene,22,3.119031608104706,0.024530289166657046,4
C_scene,23,3.243546962738037,0.030832629053711216,4
C_scene,24,3.3610959649086,0.025567931334191104,4
C_scene,25,3.4725871682167053,0.02004748636621741,4
D_latent,1,16.750123977661133,0.18653596623170998,4
D_latent,2,17.203299045562744,0.1665693651258683,4
D_latent,3,17.61020565032959,0.16346996148419907,4
D_latent,4,17.973171710968018,0.16538372459824166,4
D_latent,5,18.275250911712646,0.16615971317404396,4
D_latent,6,18.51261043548584,0.16091870023008753,4
D_latent,7,18.69050407409668,0.14466180312089014,4
D_latent,8,18.815415382385254,0.12196467948686111,4
D_latent,9,18.887904167175293,0.0980045562653551,4
D_latent,10,18.91350793838501,0.09220624278488132,4
D_latent,11,18.899702548980713,0.1085449554044505,4
D_latent,12,18.853291511535645,0.13870896840795638,4
D_latent,13,18.776567935943604,0.17156018443129267,4
D_latent,14,18.678263664245605,0.19438468459413324,4
D_latent,15,18.575915813446045,0.20707450961007523,4
D_latent,16,18.473225593566895,0.20962992364162236,4
D_latent,17,18.37419557571411,0.20071147834719089,4
D_latent,18,18.28875732421875,0.19248470054278968,4
D_latent,19,18.216979026794434,0.18800110229116837,4
D_latent,20,18.172576427459717,0.1769614639257077,4
D_latent,21,18.148883819580078,0.1639472419692606,4
D_latent,22,18.142640590667725,0.14274236157301362,4
D_latent,23,18.149277210235596,0.11094648976269485,4
D_latent,24,18.166240692138672,0.08623121063731672,4
D_latent,25,18.185314655303955,0.06673850948342833,4
baseline_hold,1,1.395774245262146,0.016618884532503212,4
baseline_hold,2,2.736742317676544,0.02703812247193339,4
baseline_hold,3,4.030352771282196,0.03299524335118914,4
baseline_hold,4,5.279061198234558,0.05063799354305698,4
baseline_hold,5,6.469870448112488,0.07337966482326937,4
baseline_hold,6,7.6008299589157104,0.08950692473910883,4
baseline_hold,7,8.677778720855713,0.09631825060278966,4
baseline_hold,8,9.714855909347534,0.11030843027599917,4
baseline_hold,9,10.69745397567749,0.1329348654721567,4
baseline_hold,10,11.64315128326416,0.14240101902241256,4
baseline_hold,11,12.54090166091919,0.14203885879390174,4
baseline_hold,12,13.39449667930603,0.12756688107918224,4
baseline_hold,13,14.204147100448608,0.12716809848559876,4
baseline_hold,14,14.978906154632568,0.12985258656522997,4
baseline_hold,15,15.731991529464722,0.14017934305200633,4
baseline_hold,16,16.47250509262085,0.14692345710703608,4
baseline_hold,17,17.194408416748047,0.14975401684455775,4
baseline_hold,18,17.904613971710205,0.15981820468022256,4
baseline_hold,19,18.604246616363525,0.17784350742519844,4
baseline_hold,20,19.302932739257812,0.20082391602920013,4
baseline_hold,21,19.989619731903076,0.2289053570867273,4
baseline_hold,22,20.664411067962646,0.26085535657657954,4
baseline_hold,23,21.324793815612793,0.3016655055985987,4
baseline_hold,24,21.96519660949707,0.3393871418805467,4
baseline_hold,25,22.573423862457275,0.3678919572403258,4
baseline_linear,1,0.6133312598212203,0.022669869820260292,4
baseline_linear,2,1.2295180978982527,0.05568963361709005,4
baseline_linear,3,1.9386394028910114,0.09756944923231882,4
baseline_linear,4,2.7493669781132897,0.13453142526389322,4
baseline_linear,5,3.670607620896207,0.16552547699120332,4
baseline_linear,6,4.713462207347064,0.20159396332848123,4
baseline_linear,7,5.858736914330235,0.24786523054162948,4
baseline_linear,8,7.109626938184384,0.29631286454877254,4
baseline_linear,9,8.46719215920157,0.34315809384610324,4
baseline_linear,10,9.929320503809402,0.3962594909285082,4
baseline_linear,11,11.496458797020239,0.4610906562982092,4
baseline_linear,12,13.155330060273556,0.5219100529936737,4
baseline_linear,13,14.907527689134668,0.5787385438887573,4
baseline_linear,14,16.746178379763812,0.6337774778058417,4
baseline_linear,15,18.655089546180804,0.6744998970440922,4
baseline_linear,16,20.63080665080077,0.7139908531972186,4
baseline_linear,17,22.666621054943317,0.7563148990461357,4
baseline_linear,18,24.755912785093358,0.7959198004507063,4
baseline_linear,19,26.89748366572853,0.8347135865815911,4
baseline_linear,20,29.0701323262073,0.8713239755878605,4
baseline_linear,21,31.267641061026772,0.9019145886081972,4
baseline_linear,22,33.47869236002184,0.9348599229074841,4
baseline_linear,23,35.69926627149531,0.9603240781659994,4
baseline_linear,24,37.922720589928794,0.991057924181907,4
baseline_linear,25,40.12636591260229,1.024049626445715,4
