arm,seed,epoch,task_mse,aux,sec
A_recon,0,1,0.10568016953766346,0.06273526751569339,34.78114366531372
A_recon,0,2,0.08706971692542236,0.049945885670327005,35.81365919113159
A_recon,0,3,0.08736034598024119,0.031242981730472474,39.28528952598572
A_recon,0,4,0.08537457297955241,0.026810551417015847,40.32550859451294
A_recon,0,5,0.06941534720716022,0.023928152596844093,39.877153158187866
A_recon,0,6,0.05000434545356603,0.010773068781764735,40.23593878746033
A_recon,0,7,0.038280208905537925,0.008678130018303082,40.36785650253296
A_recon,0,8,0.033102707959534156,0.008206935189220877,40.46598196029663
A_recon,0,9,0.02495271297881291,0.008061603643000126,40.48957824707031
A_recon,0,10,0.01570141169109515,0.008130541060208565,40.47922205924988
A_recon,0,11,0.008609405474825985,0.007430237828798238,40.48972129821777
A_recon,0,12,0.005800216242537967,0.0072999587448846015,40.452467918395996
A_recon,0,13,0.004267200234434789,0.00727965436609728,40.500505208969116
A_recon,0,14,0.0034709259163632636,0.007017750858462283,40.471461057662964
A_recon,0,15,0.0029946924492140255,0.006806549178214655,40.48694920539856
A_recon,0,16,0.0024891318961246206,0.00672461555915929,40.49255585670471
A_recon,0,17,0.002276930743218621,0.006594689224757964,40.464585304260254
A_recon,0,18,0.00222450599540025,0.006535127415277418,40.49663186073303
A_recon,0,19,0.0019062861739214333,0.006403879395553044,40.48682641983032
A_recon,0,20,0.001814410514530859,0.006312943457271017,40.46744704246521
A_recon,0,21,0.0016949218656269035,0.006319714144670537,40.47775316238403
A_recon,0,22,0.001579457496215279,0.006163210258819163,40.45344257354736
A_recon,0,23,0.00147263403674255,0.006114183453887347,40.49437117576599
A_recon,0,24,0.0014978721141926058,0.006106362922028417,40.47990536689758
A_recon,0,25,0.0013351821315674378,0.006005252085049592,40.459044456481934
A_recon,0,26,0.0017978502312741642,0.006240651532564135,40.487141132354736
A_recon,0,27,0.001282456861060512,0.00593723478682694,40.469178199768066
A_recon,0,28,0.0012470697741567467,0.005929249333262089,40.50513434410095
A_recon,0,29,0.0011706475273794716,0.005945540437962683,40.49016737937927
A_recon,0,30,0.0011403749979633307,0.005876048140981723,40.48162293434143
A_recon,0,31,0.0010741443090539957,0.00588224660272577,40.49270272254944
A_recon,0,32,0.0010335289851008426,0.005873311870908808,40.46642255783081
A_recon,0,33,0.0010581553970474662,0.005803755456803455,40.49989080429077
A_recon,0,34,0.0010592214897596499,0.005885701992415956,40.487345695495605
A_recon,0,35,0.001073973252676383,0.005869239845889665,40.47630977630615
A_recon,0,36,0.0009689886743823687,0.00581008565079953,40.48588728904724
A_recon,0,37,0.0011857845030525433,0.005943508053730641,40.44848871231079
A_recon,0,38,0.0009843110941195239,0.005781103751533443,40.502665758132935
A_recon,0,39,0.0009177134883689827,0.005763629634332444,40.49201583862305
A_recon,0,40,0.0010930660784998466,0.005819607143556433,40.4612181186676
A_recon,0,41,0.0008561623080389662,0.005717307262654815,40.49354696273804
A_recon,0,42,0.0008400955640744152,0.005759481839569551,40.46192908287048
A_recon,0,43,0.0008953810479613908,0.005715222973819999,40.494030475616455
A_recon,0,44,0.0008898640378555726,0.005811157664062367,40.47717547416687
A_recon,0,45,0.0007978290855784767,0.005715826071710104,40.4688982963562
A_recon,0,46,0.0008378138992979768,0.0056871519856421015,40.50080990791321
A_recon,0,47,0.0007953431950660334,0.005722259204568607,40.47360968589783
A_recon,0,48,0.0008657827039271416,0.005794102331579086,40.499523401260376
A_recon,0,49,0.0011244971434020304,0.005939039362904926,40.494952917099
A_recon,0,50,0.0008368407233363195,0.005719423410482705,40.466068983078
A_recon,0,51,0.0011172344335742916,0.006033885325970394,40.48274874687195
A_recon,0,52,0.0007812589922520731,0.005669312546074036,40.45117473602295
A_recon,0,53,0.0007882444388953791,0.005661057219618843,40.50367331504822
A_recon,0,54,0.0008373456110434962,0.005737380218869518,40.49515128135681
A_recon,0,55,0.0007607872567383484,0.005743356610071801,40.474823236465454
A_recon,0,56,0.0007324981443595053,0.005658731734867962,40.48949575424194
A_recon,0,57,0.000783864121850846,0.00572162996866696,40.46546530723572
A_recon,0,58,0.000694119612619813,0.005647403614905973,40.50293040275574
A_recon,0,59,0.0007115732310228937,0.00564899475180677,40.50006318092346
A_recon,0,60,0.0006978179056507846,0.005645980720319564,40.462382316589355
B_task,0,1,0.10535852504628045,0.0,20.862144947052002
B_task,0,2,0.0870613908129079,0.0,20.834582090377808
B_task,0,3,0.08725143960189252,0.0,20.860939264297485
B_task,0,4,0.08689804330822967,0.0,20.843497276306152
B_task,0,5,0.08725266593197982,0.0,20.850022315979004
B_task,0,6,0.08698335263345923,0.0,20.907440423965454
B_task,0,7,0.08175749761895054,0.0,20.90874195098877
B_task,0,8,0.050635348428927716,0.0,20.881389379501343
