seed,arm,one_step_bias,one_step_mae,plan_sum_bias
0,A_recon,0.47552746534347534,0.489259272813797,5.649643898010254
0,B_task,0.15489810705184937,0.16897228360176086,1.8452961444854736
0,C_scene,0.2170330435037613,0.2361651211977005,2.4107062816619873
0,D_latent,0.21735547482967377,0.23337581753730774,2.5236237049102783
1,A_recon,0.23783671855926514,0.25003835558891296,2.9890522956848145
1,B_task,0.1815733164548874,0.19544407725334167,2.2029869556427
1,C_scene,0.17550349235534668,0.1926543116569519,2.0762171745300293
1,D_latent,0.0933426097035408,0.1280546635389328,1.1702053546905518
2,A_recon,0.6083123087882996,0.6148836612701416,6.954254150390625
2,B_task,0.2355596274137497,0.2497701495885849,2.8307735919952393
2,C_scene,0.15742363035678864,0.17546403408050537,1.807679533958435
2,D_latent,0.13274236023426056,0.15801407396793365,1.5804972648620605
