seed,arm,condition,return,return_drop,drop_minus_B_drop
0,A_recon,in_distribution,-0.40786173939704895,0.0,0.0
0,B_task,in_distribution,-0.08933299779891968,0.0,0.0
0,C_scene,in_distribution,-0.14742331206798553,0.0,0.0
0,D_latent,in_distribution,-0.14278441667556763,0.0,0.0
0,A_recon,4_distractors,-0.413592129945755,-0.00573039660230279,-0.009779506362974644
0,B_task,4_distractors,-0.08528389036655426,0.004049107898026705,0.0
0,C_scene,4_distractors,-0.1628337949514389,-0.015410464257001877,-0.019459571689367294
0,D_latent,4_distractors,-0.14143319427967072,0.0013512353179976344,-0.002697872929275036
0,A_recon,fast_distractors,-0.4087692201137543,-0.0009074543486349285,-0.0030843818094581366
0,B_task,fast_distractors,-0.08715605735778809,0.002176927635446191,0.0
0,C_scene,fast_distractors,-0.14686287939548492,0.0005604461184702814,-0.001616481225937605
0,D_latent,fast_distractors,-0.13993902504444122,0.002845390932634473,0.0006684631225652993
0,A_recon,unseen_distractor_hues,-0.4062822163105011,0.0015795240178704262,0.0015271831071004272
0,B_task,unseen_distractor_hues,-0.08928065001964569,5.234084892435931e-05,0.0
0,C_scene,unseen_distractor_hues,-0.1429155170917511,0.0045078047551214695,0.00445546442642808
0,D_latent,unseen_distractor_hues,-0.14217257499694824,0.000611838826444,0.0005594982067123055
0,A_recon,heavy_pixel_noise,-0.4058249592781067,0.002036794787272811,0.03218960762023926
0,B_task,heavy_pixel_noise,-0.11948581039905548,-0.030152814462780952,0.0
0,C_scene,heavy_pixel_noise,-0.1695030778646469,-0.022079763934016228,0.00807304959744215
0,D_latent,heavy_pixel_noise,-0.1488543003797531,-0.006069881375879049,0.024082932621240616
1,A_recon,in_distribution,-0.20656445622444153,0.0,0.0
1,B_task,in_distribution,-0.1273030787706375,0.0,0.0
1,C_scene,in_distribution,-0.08625708520412445,0.0,0.0
1,D_latent,in_distribution,-0.06566011905670166,0.0,0.0
1,A_recon,4_distractors,-0.20512232184410095,0.0014421254163607955,0.0014329013647511601
1,B_task,4_distractors,-0.12729386985301971,9.22467552300077e-06,0.0
1,C_scene,4_distractors,-0.08583665639162064,0.0004204278520774096,0.0004112035094294697
1,D_latent,4_distractors,-0.06825767457485199,-0.002597549231722951,-0.0026067737489938736
1,A_recon,fast_distractors,-0.20468120276927948,0.0018832531059160829,-0.003136647865176201
1,B_task,fast_distractors,-0.12228317558765411,0.005019900854676962,0.0
1,C_scene,fast_distractors,-0.08808743953704834,-0.0018303568940609694,-0.006850257981568575
1,D_latent,fast_distractors,-0.06529001146554947,0.00037011667154729366,-0.004649784415960312
1,A_recon,unseen_distractor_hues,-0.2066822648048401,-0.00011780455679399893,-0.004912726115435362
1,B_task,unseen_distractor_hues,-0.12250816822052002,0.004794922191649675,0.0
1,C_scene,unseen_distractor_hues,-0.09001698344945908,-0.0037599033676087856,-0.008554825559258461
1,D_latent,unseen_distractor_hues,-0.06032700091600418,0.005333119072020054,0.0005381967639550567
1,A_recon,heavy_pixel_noise,-0.21203583478927612,-0.005471389275044203,0.016564223915338516
1,B_task,heavy_pixel_noise,-0.1493387073278427,-0.022035613656044006,0.0
1,C_scene,heavy_pixel_noise,-0.1366073191165924,-0.050350211560726166,-0.02831459976732731
1,D_latent,heavy_pixel_noise,-0.10967610776424408,-0.04401598498225212,-0.021980369463562965
2,A_recon,in_distribution,-0.4690263271331787,0.0,0.0
2,B_task,in_distribution,-0.16412311792373657,0.0,0.0
2,C_scene,in_distribution,-0.1012171134352684,0.0,0.0
2,D_latent,in_distribution,-0.07745987921953201,0.0,0.0
2,A_recon,4_distractors,-0.46717768907546997,0.0018486189655959606,0.0078435642644763
2,B_task,4_distractors,-0.170118048787117,-0.005994945298880339,0.0
2,C_scene,4_distractors,-0.0940341055393219,0.007183008827269077,0.013177955523133278
2,D_latent,4_distractors,-0.0753403902053833,0.0021194934379309416,0.008114439435303211
2,A_recon,fast_distractors,-0.46800661087036133,0.0010196783114224672,0.0005979996640235186
2,B_task,fast_distractors,-0.16370144486427307,0.00042167826904915273,0.0
2,C_scene,fast_distractors,-0.09691202640533447,0.004305088426917791,0.0038834100123494864
2,D_latent,fast_distractors,-0.07955637574195862,-0.0020964862778782845,-0.002518164459615946
2,A_recon,unseen_distractor_hues,-0.4682660698890686,0.0007602422847412527,-0.002668399130925536
2,B_task,unseen_distractor_hues,-0.16069446504116058,0.0034286414738744497,0.0
2,C_scene,unseen_distractor_hues,-0.09902967512607574,0.002187438076362014,-0.0012412037467584014
2,D_latent,unseen_distractor_hues,-0.0832960307598114,-0.0058361440896987915,-0.00926478486508131
2,A_recon,heavy_pixel_noise,-0.46811506152153015,0.0009112087427638471,0.03196192905306816
2,B_task,heavy_pixel_noise,-0.19517384469509125,-0.03105071932077408,0.0
2,C_scene,heavy_pixel_noise,-0.14186541736125946,-0.04064829647541046,-0.009597578085958958
2,D_latent,heavy_pixel_noise,-0.11243085563182831,-0.0349709689617157,-0.003920251037925482
