seed,arm,r2_k1>0.5,r2_k15>0,beats_hold_at_H,not_constant,return>floor,latent_ok,passed,warn_error_falls_with_horizon,r2_k1,r2_k15,return_ci95_lo_vs_floor
0,A_recon,True,True,True,True,True,True,True,False,0.6371923685073853,0.6304273009300232,0.012866720953024924
0,B_task,True,True,True,True,True,True,True,False,0.9624772667884827,0.9072238206863403,0.3490277513861656
0,C_scene,True,True,True,True,True,True,True,False,0.9261799454689026,0.8740280866622925,0.2845990650355816
0,D_latent,True,True,True,True,True,True,True,False,0.935794472694397,0.8873980045318604,0.2836121432483196
1,A_recon,True,True,True,True,True,True,True,False,0.9148858785629272,0.8753950595855713,0.21236309073865414
1,B_task,True,True,True,True,True,True,True,False,0.9414764642715454,0.8896514773368835,0.30774799957871435
1,C_scene,True,True,True,True,True,True,True,False,0.9406014680862427,0.890446126461029,0.3382555112242699
1,D_latent,True,True,True,True,True,True,True,False,0.9481203556060791,0.8995426297187805,0.3813643388450146
2,A_recon,True,True,True,True,False,True,False,False,0.6616784334182739,0.6491492986679077,-0.04636747483164072
2,B_task,True,True,True,True,True,True,True,False,0.9287129640579224,0.8866607546806335,0.2569571308791637
2,C_scene,True,True,True,True,True,True,True,False,0.9553079605102539,0.9081279635429382,0.3429452866315842
2,D_latent,True,True,True,True,True,True,True,False,0.9460873007774353,0.9099283814430237,0.36317878887057303
