seed,arm,epoch,horizon,r2
0,A_recon,1,0,-0.010191559791564941
0,A_recon,1,1,-0.010022878646850586
0,A_recon,1,2,-0.010029911994934082
0,A_recon,1,3,-0.010165214538574219
0,A_recon,1,4,-0.010434627532958984
0,A_recon,1,5,-0.010752081871032715
0,A_recon,1,6,-0.011066198348999023
0,A_recon,1,7,-0.01139843463897705
0,A_recon,1,8,-0.011701464653015137
0,A_recon,1,9,-0.011960506439208984
0,A_recon,1,10,-0.012173295021057129
0,A_recon,1,11,-0.012306690216064453
0,A_recon,1,12,-0.012334227561950684
0,A_recon,1,13,-0.012273073196411133
0,A_recon,1,14,-0.012147307395935059
0,A_recon,1,15,-0.011941194534301758
0,A_recon,5,0,0.006740868091583252
0,A_recon,5,1,0.005617380142211914
0,A_recon,5,2,0.004401266574859619
0,A_recon,5,3,0.0031487345695495605
0,A_recon,5,4,0.0017725825309753418
0,A_recon,5,5,0.00041496753692626953
0,A_recon,5,6,-0.0008568763732910156
0,A_recon,5,7,-0.0020960569381713867
0,A_recon,5,8,-0.0032161474227905273
0,A_recon,5,9,-0.004216551780700684
0,A_recon,5,10,-0.005107402801513672
0,A_recon,5,11,-0.00586700439453125
0,A_recon,5,12,-0.006471157073974609
0,A_recon,5,13,-0.006936788558959961
0,A_recon,5,14,-0.007294178009033203
0,A_recon,5,15,-0.007523536682128906
0,A_recon,10,0,0.04598867893218994
0,A_recon,10,1,0.051573216915130615
0,A_recon,10,2,0.055156826972961426
0,A_recon,10,3,0.0568927526473999
0,A_recon,10,4,0.05846452713012695
0,A_recon,10,5,0.0601009726524353
0,A_recon,10,6,0.06117278337478638
0,A_recon,10,7,0.06260830163955688
0,A_recon,10,8,0.06371068954467773
0,A_recon,10,9,0.06453680992126465
0,A_recon,10,10,0.0654706358909607
0,A_recon,10,11,0.0664740800857544
0,A_recon,10,12,0.0678829550743103
0,A_recon,10,13,0.06921952962875366
0,A_recon,10,14,0.0708169937133789
0,A_recon,10,15,0.07256406545639038
0,A_recon,15,0,0.09144937992095947
0,A_recon,15,1,0.1040831208229065
0,A_recon,15,2,0.11173444986343384
0,A_recon,15,3,0.11703366041183472
0,A_recon,15,4,0.12276715040206909
0,A_recon,15,5,0.1289023756980896
0,A_recon,15,6,0.1342482566833496
0,A_recon,15,7,0.13925552368164062
0,A_recon,15,8,0.1437506079673767
0,A_recon,15,9,0.14777374267578125
0,A_recon,15,10,0.15154355764389038
0,A_recon,15,11,0.15530157089233398
0,A_recon,15,12,0.1589963436126709
0,A_recon,15,13,0.1620226502418518
0,A_recon,15,14,0.16490256786346436
0,A_recon,15,15,0.16772431135177612
0,A_recon,20,0,0.18346869945526123
0,A_recon,20,1,0.19408363103866577
0,A_recon,20,2,0.20195657014846802
0,A_recon,20,3,0.21016925573349
0,A_recon,20,4,0.21829795837402344
0,A_recon,20,5,0.22579890489578247
0,A_recon,20,6,0.2335248589515686
0,A_recon,20,7,0.24054360389709473
0,A_recon,20,8,0.24640339612960815
0,A_recon,20,9,0.25310879945755005
0,A_recon,20,10,0.25926679372787476
0,A_recon,20,11,0.264426589012146
0,A_recon,20,12,0.27036505937576294
0,A_recon,20,13,0.2759089469909668
0,A_recon,20,14,0.28019315004348755
0,A_recon,20,15,0.28473567962646484
0,A_recon,25,0,0.18441396951675415
0,A_recon,25,1,0.19244170188903809
0,A_recon,25,2,0.19963306188583374
0,A_recon,25,3,0.20657265186309814
0,A_recon,25,4,0.2139621376991272
0,A_recon,25,5,0.22067004442214966
0,A_recon,25,6,0.22626155614852905
0,A_recon,25,7,0.2319241166114807
0,A_recon,25,8,0.23714929819107056
0,A_recon,25,9,0.2421400547027588
0,A_recon,25,10,0.24702978134155273
0,A_recon,25,11,0.2515237331390381
0,A_recon,25,12,0.25587570667266846
0,A_recon,25,13,0.2604075074195862
0,A_recon,25,14,0.26429474353790283
0,A_recon,25,15,0.26772749423980713
0,A_recon,30,0,0.15640336275100708
0,A_recon,30,1,0.16232222318649292
0,A_recon,30,2,0.169530987739563
0,A_recon,30,3,0.17690622806549072
0,A_recon,30,4,0.18494313955307007
0,A_recon,30,5,0.19301289319992065
0,A_recon,30,6,0.20044314861297607
