model,horizon,r2_mean,r2_std,mse_mean,mse_std
A_recon,0,0.7346171538035074,0.15487100464831272,0.2423784832159678,0.1415877389915289
A_recon,1,0.7379188934961954,0.15374614530586356,0.24317475905021033,0.1427924788206749
A_recon,2,0.7400450706481934,0.151533122260755,0.24502312143643698,0.14296210525450473
A_recon,3,0.7407209674517313,0.1495874970876952,0.2484030251701673,0.14344867401304123
A_recon,4,0.7411082983016968,0.14726652348760766,0.25208431979020435,0.14353136610519
A_recon,5,0.741434117158254,0.1448122101302746,0.2558712710936864,0.14343879776454987
A_recon,6,0.7406036059061686,0.14291527354489797,0.26096469163894653,0.14392236628959068
A_recon,7,0.7394804358482361,0.14105100026992096,0.26636019100745517,0.14436079491387013
A_recon,8,0.7387630542119344,0.13914012409031262,0.2712502454717954,0.144620530829422
A_recon,9,0.737276017665863,0.13776693909042534,0.276968315243721,0.14538970249996713
A_recon,10,0.7352832357088724,0.13669214240521346,0.2831192264954249,0.14635183114844486
A_recon,11,0.7333877484003702,0.13581716024711882,0.2890660688281059,0.14741039763952332
A_recon,12,0.7304280201594034,0.13543586157037607,0.29623274753491086,0.14899050535324346
A_recon,13,0.7265801429748535,0.13549691826013435,0.30429021020730335,0.15095532965535832
A_recon,14,0.7227960228919983,0.13580200912426282,0.31216102341810864,0.1530809439192105
A_recon,15,0.7183238863945007,0.13634934317971173,0.32080749173959094,0.15544587472293542
B_task,0,0.9430526693662008,0.018528424994334238,0.05195180202523867,0.01669730979048752
B_task,1,0.9442222317059835,0.017048796550585218,0.05169831961393356,0.015592398049854683
B_task,2,0.942579428354899,0.016115473345192685,0.05406880006194115,0.014954907100645705
B_task,3,0.9395771026611328,0.015177393221487338,0.057836540043354034,0.014292748138482244
B_task,4,0.9359309275945028,0.014294863476920227,0.0623344232638677,0.01365565096318468
B_task,5,0.9322492877642313,0.013428992770072663,0.06699678053458531,0.013011103056468522
B_task,6,0.9283268054326376,0.012450808850259504,0.07206073527534802,0.012233817298045109
B_task,7,0.9242514371871948,0.01144669852442566,0.0774033119281133,0.011395632927608361
B_task,8,0.9205143054326376,0.010425731310353067,0.08249158412218094,0.010501408878075467
B_task,9,0.9167230526606241,0.00964697903456051,0.08775260299444199,0.009828053958966881
B_task,10,0.9129745364189148,0.009186343085549043,0.09303627659877141,0.009461210581995573
B_task,11,0.9094364841779073,0.008974356161937692,0.09815168380737305,0.009341801390788714
B_task,12,0.9057289361953735,0.009056902845122387,0.10355407496293385,0.009538239689862463
B_task,13,0.9019107421239217,0.009521110530886449,0.10912144184112549,0.010156496633280037
B_task,14,0.8982598980267843,0.010223212779378843,0.11452517906824748,0.01104774954771381
B_task,15,0.8945120175679525,0.011109840655569433,0.12009430428345998,0.012165594528298171
C_scene,0,0.9403099616368612,0.013854309460527531,0.054546443124612175,0.012897064556566584
C_scene,1,0.9406964580217997,0.014564239848965356,0.055058867981036506,0.013764700281605383
C_scene,2,0.9387322664260864,0.014742478782869904,0.057783130556344986,0.014162000259966551
C_scene,3,0.9354438781738281,0.015022695042196395,0.061883715291817985,0.014679301285045403
C_scene,4,0.9318239688873291,0.015495269269830705,0.06642049923539162,0.015396996873584194
C_scene,5,0.9280713597933451,0.016003908813694803,0.07121810565392177,0.016169677339284365
C_scene,6,0.9239627718925476,0.016486816882878078,0.07653734708825748,0.01694426220202193
C_scene,7,0.919920285542806,0.017084585616885122,0.08191741506258647,0.017850939070602867
C_scene,8,0.9161849021911621,0.017677707762395654,0.08707255621751149,0.018762497293634783
C_scene,9,0.9123428662618002,0.01811113554401908,0.09245607256889343,0.01952471303962882
C_scene,10,0.9085994760195414,0.01841344189349279,0.09780225406090419,0.020148476631604205
C_scene,11,0.9051058491071066,0.018566009242964747,0.10293522477149963,0.020606419569393554
C_scene,12,0.9014535744984945,0.018467926347139278,0.10834186027447383,0.020794795757086624
C_scene,13,0.8978126049041748,0.01814970378029601,0.11377357691526413,0.020722792484977205
C_scene,14,0.89443439245224,0.017620999190387922,0.11892622957626979,0.02038880959967547
C_scene,15,0.8908673922220866,0.01705384119340507,0.12434040755033493,0.019991169803557727
D_latent,0,0.941915770371755,0.0072884964816370265,0.053053672115008034,0.006823589321187433
D_latent,1,0.9433340430259705,0.0066081138438003105,0.05258510882655779,0.006336989849944145
D_latent,2,0.9421300093332926,0.005910058301272561,0.05455350875854492,0.005805522996150767
D_latent,3,0.9394978880882263,0.005608415936534215,0.05797190467516581,0.00563557802702387
D_latent,4,0.9363153775533041,0.005674301322108404,0.06201844786604246,0.005811348915947498
D_latent,5,0.9328293005625407,0.006009086523768214,0.06648024544119835,0.0062515733924577285
D_latent,6,0.9290482401847839,0.006582463888082305,0.07139146824677785,0.00694500815124837
D_latent,7,0.9252805709838867,0.007362739816503127,0.07640723139047623,0.007867665761538039
D_latent,8,0.9216668605804443,0.00808826443237264,0.0813505028684934,0.008756441087665686
D_latent,9,0.9181209603945414,0.00875633549541765,0.0863350083430608,0.009611432261534339
D_latent,10,0.9147164424260458,0.009449477796555054,0.09123115489880244,0.010509996829494389
D_latent,11,0.9114651481310526,0.009964727730978234,0.09601228932539622,0.011232159688412456
D_latent,12,0.9081824819246928,0.010399813395337944,0.10092099507649739,0.011883654864048895
D_latent,13,0.9049877723058065,0.010857607275894588,0.10576430956522624,0.01256538507979109
D_latent,14,0.9019751151402792,0.011107690638151256,0.11041296025117238,0.01301552678738656
D_latent,15,0.8989563385645548,0.011276625112502109,0.11510845273733139,0.013374424508907029
chance,0,-0.0016696055730183919,0.0004467850994198591,0.9147030115127563,0.003997089370058126
chance,1,-0.0010519027709960938,0.0003485032354509785,0.9287004272143046,0.0041006587388346715
chance,2,-0.0005843242009480795,0.00025895112445520856,0.9429794351259867,0.0042035527197824656
chance,3,-0.0002586046854654948,0.00016856810373227794,0.958167572816213,0.004315842709117016
chance,4,-7.462501525878906e-05,8.11524626232091e-05,0.9736453294754028,0.004429817090234021
chance,5,-1.9788742065429688e-05,1.651855385276186e-05,0.9894687136014303,0.004543485459746592
chance,6,-7.971127827962239e-05,8.027153233636377e-05,1.005992333094279,0.004662688773820027
chance,7,-0.0002424319585164388,0.00015220016962712925,1.0225314299265544,0.004781412237163131
chance,8,-0.0004843870798746745,0.0002187966382454388,1.0387004216512044,0.004894217228318446
chance,9,-0.0007858673731486002,0.0002786314182573796,1.0549104611078899,0.005008107841232633
chance,10,-0.0011272033055623372,0.0003337353500453811,1.0705868403116863,0.005116388834907841
chance,11,-0.001483321189880371,0.0003810525080342069,1.085695743560791,0.005218057556711821
chance,12,-0.0018469492594401042,0.0004233186550858382,1.1007973353068035,0.005319271439620311
chance,13,-0.00219575564066569,0.00046009986776255485,1.1152191559473674,0.005412250587560022
chance,14,-0.0025151968002319336,0.00048789024355357514,1.1288179556528728,0.005497918006344438
chance,15,-0.002804835637410482,0.0005133259745620509,1.1420003573099773,0.005580605960880948
colourblind_true,0,0.39747639497121173,1.1654702326487422e-06,0.5502119660377502,0.002533556242378788
colourblind_true,1,0.3971420129140218,8.478398439659162e-07,0.5592864751815796,0.002575846450850372
colourblind_true,2,0.3967283566792806,5.375444594477213e-07,0.5685408314069113,0.002618820567300387
colourblind_true,3,0.39674655596415204,2.481539248861524e-07,0.5778686006863912,0.0026609018324568906
colourblind_true,4,0.3967791001001994,7.687227774444832e-07,0.587279478708903,0.002705308069628535
colourblind_true,5,0.39673219124476117,1.0667954888807932e-06,0.5969028472900391,0.00274920549045635
colourblind_true,6,0.3968939781188965,6.637292340791251e-07,0.6066716114679972,0.002793998799045245
colourblind_true,7,0.3970331947008769,8.436391252545146e-07,0.6164029439290365,0.0028399254277959403
colourblind_true,8,0.39705562591552734,1.3631101400887098e-06,0.6259751717249552,0.0028830775897248757
colourblind_true,9,0.3972020149230957,8.65807476421234e-07,0.635398288567861,0.0029263816942911363
colourblind_true,10,0.3971319993336995,7.664085039371289e-07,0.644695520401001,0.0029707568241336036
colourblind_true,11,0.39681220054626465,1.9378385790597033e-06,0.6539080937703451,0.003011435990000546
colourblind_true,12,0.3966282407442729,5.78912189981351e-07,0.6629651188850403,0.0030533996633225987
colourblind_true,13,0.3963758150736491,1.2857667356571654e-06,0.6716979146003723,0.0030952422248791103
colourblind_true,14,0.39606918891270954,1.274666383454362e-06,0.6800170342127482,0.0031319568285530256
colourblind_true,15,0.39607924222946167,6.22290760809812e-07,0.6877481341362,0.00316742325074969
