seed,arm,space,probe,selectivity_goal,selectivity_vector,selector_bit
0,A_recon,h,linear,0.4104740023612976,0.6792319416999817,0.9799176356589148
0,A_recon,h,mlp,0.3402901291847229,0.6520583629608154,0.9784762596899225
0,A_recon,z,linear,0.49876224994659424,0.5507474541664124,0.99921875
0,A_recon,z,mlp,0.5755898356437683,0.6133425235748291,0.9992853682170542
0,B_task,h,linear,0.9359011650085449,0.5751940011978149,0.678718507751938
0,B_task,h,mlp,0.9419800043106079,0.6722303032875061,0.6880390019379845
0,B_task,z,linear,0.7811890840530396,0.3572615385055542,0.8029009205426356
0,B_task,z,mlp,0.9549914002418518,0.5110554099082947,0.8678173449612403
0,C_scene,h,linear,0.8891041278839111,0.6707203984260559,0.6374636627906977
0,C_scene,h,mlp,0.8842224478721619,0.6940016150474548,0.592108769379845
0,C_scene,z,linear,0.7783343195915222,0.48127228021621704,0.7296451065891473
0,C_scene,z,mlp,0.8540489077568054,0.6147321462631226,0.6775859980620155
0,D_latent,h,linear,0.6942082643508911,0.3903905153274536,1.0
0,D_latent,h,mlp,0.8106985688209534,0.4539639949798584,1.0
0,D_latent,z,linear,0.5259050130844116,0.28895103931427,1.0
0,D_latent,z,mlp,0.8961592316627502,0.48654401302337646,1.0
0,init,h,linear,0.0,-0.02663058042526245,0.9998062015503876
0,init,h,mlp,0.0,0.0,1.0
0,init,z,linear,0.0,-0.019397735595703125,0.9984496124031008
0,init,z,mlp,0.0,0.0,0.9972202034883721
1,A_recon,h,linear,0.6941938400268555,0.8002143502235413,0.9304081879844961
1,A_recon,h,mlp,0.6695649027824402,0.8880687355995178,0.9484435562015504
1,A_recon,z,linear,0.595466136932373,0.5591458678245544,0.9982558139534884
1,A_recon,z,mlp,0.8242161870002747,0.7081192135810852,0.9986434108527131
1,B_task,h,linear,0.9140378832817078,0.5230397582054138,0.8266533430232559
1,B_task,h,mlp,0.9166349172592163,0.5931038856506348,0.8424600290697675
1,B_task,z,linear,0.682529866695404,0.33007460832595825,0.9404433139534883
1,B_task,z,mlp,0.9200961589813232,0.4929559826850891,0.9647044573643411
1,C_scene,h,linear,0.9096605777740479,0.5592200756072998,0.6924236918604652
1,C_scene,h,mlp,0.9226759672164917,0.6966837644577026,0.6657885174418605
1,C_scene,z,linear,0.7713420391082764,0.3617595434188843,0.829312015503876
1,C_scene,z,mlp,0.9164315462112427,0.550724446773529,0.8593871124031007
1,D_latent,h,linear,0.943507194519043,0.5763857960700989,1.0
1,D_latent,h,mlp,0.9420308470726013,0.5669080018997192,0.9996124031007751
1,D_latent,z,linear,0.7279903888702393,0.3610530495643616,1.0
1,D_latent,z,mlp,0.9319496154785156,0.5591926574707031,1.0
1,init,h,linear,0.0,-0.007417917251586914,0.9916242732558139
1,init,h,mlp,0.0,0.0,0.9971535852713178
1,init,z,linear,0.0,0.022642552852630615,0.9944404069767442
1,init,z,mlp,0.0,0.0,0.9965055717054263
2,A_recon,h,linear,0.40068620443344116,0.6772860288619995,0.9740431201550388
2,A_recon,h,mlp,0.30841535329818726,0.6576199531555176,0.9720385174418604
2,A_recon,z,linear,0.4178423285484314,0.645897626876831,1.0
2,A_recon,z,mlp,0.4701426029205322,0.5957322120666504,1.0
2,B_task,h,linear,0.8304288983345032,0.5993039011955261,0.9860101744186046
2,B_task,h,mlp,0.8607820272445679,0.6993507742881775,0.9863674903100775
2,B_task,z,linear,0.6748197078704834,0.40130478143692017,0.9988372093023256
2,B_task,z,mlp,0.8638363480567932,0.48419904708862305,0.999031007751938
2,C_scene,h,linear,0.932235836982727,0.5496313571929932,0.740703730620155
2,C_scene,h,mlp,0.9392240047454834,0.7204896211624146,0.7626211240310077
2,C_scene,z,linear,0.8535565733909607,0.37914007902145386,0.8923328488372093
2,C_scene,z,mlp,0.9442475438117981,0.5817040205001831,0.9297238372093023
2,D_latent,h,linear,0.9269331097602844,0.5940470099449158,0.9833333333333334
2,D_latent,h,mlp,0.9271948933601379,0.7045305967330933,0.9683442344961241
2,D_latent,z,linear,0.8586254715919495,0.42309707403182983,0.9947674418604651
2,D_latent,z,mlp,0.9206178188323975,0.6508463621139526,0.9917938468992249
2,init,h,linear,0.0,-0.056255459785461426,0.9744186046511628
2,init,h,mlp,0.0,0.0,0.9761627906976744
2,init,z,linear,0.0,0.0077231526374816895,0.9490915697674418
2,init,z,mlp,0.0,0.0,0.9423146802325582
