seed,model,condition,episode,return,success,time_in_radius,chose_active,final_dist_px
0,A_recon,in_distribution,70,-0.3456935,0.0,0.0,1.0,11.6071
0,A_recon,in_distribution,71,-0.57503,0.0,0.0,0.0,16.543287
0,A_recon,in_distribution,72,0.12854679,0.0,0.24444444444444444,1.0,2.7773335
0,A_recon,in_distribution,73,-0.33591408,0.0,0.0,1.0,10.074859
0,A_recon,in_distribution,74,-0.6095701,0.0,0.0,0.0,22.059929
0,A_recon,in_distribution,75,-0.42395455,0.0,0.0,1.0,13.251063
0,A_recon,in_distribution,76,-0.2571217,0.0,0.0,1.0,6.283725
0,A_recon,in_distribution,77,-0.5623073,0.0,0.0,0.0,16.87061
0,A_recon,in_distribution,78,-0.41868538,0.0,0.0,1.0,14.736123
0,A_recon,in_distribution,79,-0.2396346,0.0,0.0,1.0,5.3777747
0,A_recon,in_distribution,80,-0.7012998,0.0,0.0,0.0,21.610167
0,A_recon,in_distribution,81,-0.5752399,0.0,0.0,1.0,19.014048
0,A_recon,in_distribution,82,-0.41181526,0.0,0.0,1.0,11.14077
0,A_recon,in_distribution,83,-0.7920291,0.0,0.0,0.0,26.38412
0,A_recon,in_distribution,84,-0.456441,0.0,0.0,1.0,14.657059
0,A_recon,in_distribution,85,-0.73493373,0.0,0.0,0.0,25.985804
0,A_recon,in_distribution,86,-0.516042,0.0,0.0,0.0,18.121946
0,A_recon,in_distribution,87,-0.24862741,0.0,0.0,1.0,7.704537
0,A_recon,in_distribution,88,-0.2828812,0.0,0.0,1.0,10.823889
0,A_recon,in_distribution,89,-0.2646822,0.0,0.0,0.0,8.487792
0,A_recon,in_distribution,90,-0.5431927,0.0,0.0,0.0,15.879295
0,A_recon,in_distribution,91,-0.67085785,0.0,0.0,0.0,21.103802
0,A_recon,in_distribution,92,-0.37891376,0.0,0.0,0.0,13.555891
0,A_recon,in_distribution,93,-0.46697474,0.0,0.0,1.0,14.239229
0,A_recon,in_distribution,94,-0.22526139,0.0,0.0,1.0,7.260204
0,A_recon,in_distribution,95,-0.47527945,0.0,0.0,0.0,12.969593
0,A_recon,in_distribution,96,-0.38516527,0.0,0.0,0.0,10.461912
0,A_recon,in_distribution,97,-0.49523884,0.0,0.0,0.0,19.035719
0,A_recon,in_distribution,98,-0.30589184,0.0,0.0,1.0,12.325959
0,A_recon,in_distribution,99,-0.6251116,0.0,0.0,0.0,19.58784
0,A_recon,4_distractors,0,-0.32539967,0.0,0.0,1.0,8.578522
0,A_recon,4_distractors,1,-0.40809408,0.0,0.0,1.0,12.705567
0,A_recon,4_distractors,2,-0.5830371,0.0,0.0,0.0,17.042265
0,A_recon,4_distractors,3,-0.36151454,0.0,0.0,1.0,9.669909
0,A_recon,4_distractors,4,-0.2670596,0.0,0.0,1.0,7.3620973
0,A_recon,4_distractors,5,-0.6678592,0.0,0.0,0.0,21.153807
0,A_recon,4_distractors,6,-0.37045106,0.0,0.0,1.0,11.108711
0,A_recon,4_distractors,7,-0.6547556,0.0,0.0,0.0,20.44505
0,A_recon,4_distractors,8,-0.48552874,0.0,0.0,1.0,14.738729
0,A_recon,4_distractors,9,-0.40540734,0.0,0.0,0.0,12.010294
0,A_recon,4_distractors,10,-0.6675771,0.0,0.0,0.0,22.28058
0,A_recon,4_distractors,11,-0.6767497,0.0,0.0,0.0,20.973982
0,A_recon,4_distractors,12,-0.22923204,0.0,0.0,1.0,9.225357
0,A_recon,4_distractors,13,-0.7584447,0.0,0.0,0.0,23.922628
0,A_recon,4_distractors,14,-0.34643877,0.0,0.0,0.0,11.65042
0,A_recon,4_distractors,15,-0.67386067,0.0,0.0,0.0,21.848732
0,A_recon,4_distractors,16,-0.26654175,0.0,0.0,1.0,10.172535
0,A_recon,4_distractors,17,-0.15358084,0.0,0.0,1.0,5.3475866
0,A_recon,4_distractors,18,-0.6053117,0.0,0.0,0.0,22.464672
0,A_recon,4_distractors,19,-0.69738615,0.0,0.0,0.0,22.34318
0,A_recon,4_distractors,20,-0.3172974,0.0,0.0,0.0,11.21758
0,A_recon,4_distractors,21,-0.17018746,0.0,0.0,1.0,4.358492
0,A_recon,4_distractors,22,-0.20986962,0.0,0.0,1.0,6.011352
0,A_recon,4_distractors,23,0.08019513,1.0,0.3333333333333333,1.0,0.859778
0,A_recon,4_distractors,24,-0.32508677,0.0,0.0,1.0,8.11887
0,A_recon,4_distractors,25,-0.4956567,0.0,0.0,0.0,16.432795
0,A_recon,4_distractors,26,-0.15244463,0.0,0.0,1.0,5.7460613
0,A_recon,4_distractors,27,-0.12953368,0.0,0.0,1.0,4.5366473
0,A_recon,4_distractors,28,-0.14022176,0.0,0.0,1.0,3.5466282
0,A_recon,4_distractors,29,-0.5030326,0.0,0.0,1.0,18.80663
0,A_recon,4_distractors,30,-0.6148774,0.0,0.0,1.0,21.271608
0,A_recon,4_distractors,31,-0.42828125,0.0,0.0,0.0,13.840673
0,A_recon,4_distractors,32,-0.72687584,0.0,0.0,0.0,23.36566
0,A_recon,4_distractors,33,-0.27210912,0.0,0.0,0.0,10.619774
0,A_recon,4_distractors,34,-0.3802869,0.0,0.0,0.0,10.099288
0,A_recon,4_distractors,35,-0.32807082,0.0,0.0,1.0,13.153447
0,A_recon,4_distractors,36,-0.23675036,0.0,0.0,1.0,8.0102625
0,A_recon,4_distractors,37,-0.7259816,0.0,0.0,0.0,24.608858
0,A_recon,4_distractors,38,-0.4159375,0.0,0.0,0.0,15.413562
0,A_recon,4_distractors,39,-0.4393736,0.0,0.0,0.0,9.371175
0,A_recon,4_distractors,40,-0.42620847,0.0,0.0,0.0,14.65543
0,A_recon,4_distractors,41,-0.08855667,0.0,0.0,1.0,4.940082
0,A_recon,4_distractors,42,-0.24978769,0.0,0.0,1.0,6.556427
0,A_recon,4_distractors,43,-0.37498745,0.0,0.0,1.0,13.704917
0,A_recon,4_distractors,44,-0.24510027,0.0,0.0,1.0,3.7225075
0,A_recon,4_distractors,45,-0.41727325,0.0,0.0,1.0,12.8502655
0,A_recon,4_distractors,46,-0.5560707,0.0,0.0,0.0,15.3845005
0,A_recon,4_distractors,47,-0.17992157,0.0,0.0,1.0,6.2775435
0,A_recon,4_distractors,48,-0.5438004,0.0,0.0,1.0,18.801624
0,A_recon,4_distractors,49,-0.47806582,0.0,0.0,0.0,19.538115
0,A_recon,4_distractors,50,-0.30870396,0.0,0.0,1.0,9.355519
0,A_recon,4_distractors,51,-0.72815466,0.0,0.0,0.0,25.817623
0,A_recon,4_distractors,52,-0.27615052,0.0,0.0,0.0,11.316572
0,A_recon,4_distractors,53,-0.44270232,0.0,0.0,1.0,12.071943
0,A_recon,4_distractors,54,-0.1635621,0.0,0.0,1.0,6.558663
0,A_recon,4_distractors,55,-0.571697,0.0,0.0,0.0,19.774414
0,A_recon,4_distractors,56,0.010577974,0.0,0.2,1.0,5.97031
0,A_recon,4_distractors,57,-0.86856097,0.0,0.0,0.0,30.398209
0,A_recon,4_distractors,58,-0.4469934,0.0,0.0,0.0,16.640581
0,A_recon,4_distractors,59,-0.5286063,0.0,0.0,0.0,19.05349
0,A_recon,4_distractors,60,-0.48235038,0.0,0.0,1.0,8.5135565
0,A_recon,4_distractors,61,-0.31093904,0.0,0.0,0.0,9.159107
0,A_recon,4_distractors,62,-0.57463163,0.0,0.0,0.0,23.336086
0,A_recon,4_distractors,63,-0.2383905,0.0,0.0,1.0,7.2939076
0,A_recon,4_distractors,64,-0.64042735,0.0,0.0,0.0,22.932758
0,A_recon,4_distractors,65,0.025442267,0.0,0.0,1.0,2.4426813
0,A_recon,4_distractors,66,-0.06849367,0.0,0.13333333333333333,1.0,8.786003
0,A_recon,4_distractors,67,-0.19715077,0.0,0.0,1.0,7.24791
0,A_recon,4_distractors,68,-0.6309855,0.0,0.0,0.0,14.566924
0,A_recon,4_distractors,69,-0.4329408,0.0,0.0,0.0,16.571344
0,A_recon,4_distractors,70,-0.32709292,0.0,0.0,1.0,10.345667
0,A_recon,4_distractors,71,-0.57186306,0.0,0.0,0.0,16.314713
0,A_recon,4_distractors,72,0.032251332,0.0,0.08888888888888889,1.0,3.1206117
0,A_recon,4_distractors,73,-0.32516432,0.0,0.0,1.0,9.454944
0,A_recon,4_distractors,74,-0.6124596,0.0,0.0,0.0,22.091206
0,A_recon,4_distractors,75,-0.43721431,0.0,0.0,1.0,13.6683235
0,A_recon,4_distractors,76,-0.22774068,0.0,0.0,1.0,5.065732
0,A_recon,4_distractors,77,-0.5615663,0.0,0.0,0.0,17.211721
0,A_recon,4_distractors,78,-0.43159744,0.0,0.0,1.0,15.961062
0,A_recon,4_distractors,79,-0.22879134,0.0,0.0,1.0,4.8048124
0,A_recon,4_distractors,80,-0.7001192,0.0,0.0,0.0,21.451874
0,A_recon,4_distractors,81,-0.5633243,0.0,0.0,1.0,18.70071
0,A_recon,4_distractors,82,-0.5036726,0.0,0.0,1.0,15.134091
0,A_recon,4_distractors,83,-0.79298335,0.0,0.0,0.0,26.743677
0,A_recon,4_distractors,84,-0.44644427,0.0,0.0,1.0,13.722268
0,A_recon,4_distractors,85,-0.7190406,0.0,0.0,0.0,23.942827
0,A_recon,4_distractors,86,-0.51290596,0.0,0.0,0.0,17.906826
0,A_recon,4_distractors,87,-0.24625519,0.0,0.0,1.0,7.3339114
0,A_recon,4_distractors,88,-0.28676096,0.0,0.0,1.0,11.1115055
0,A_recon,4_distractors,89,-0.26847205,0.0,0.0,0.0,8.92093
0,A_recon,4_distractors,90,-0.48847,0.0,0.0,0.0,12.512497
0,A_recon,4_distractors,91,-0.64147705,0.0,0.0,0.0,18.36315
0,A_recon,4_distractors,92,-0.3797783,0.0,0.0,0.0,13.750322
0,A_recon,4_distractors,93,-0.64138377,0.0,0.0,0.0,20.371687
0,A_recon,4_distractors,94,-0.22463197,0.0,0.0,1.0,7.116643
0,A_recon,4_distractors,95,-0.48265067,0.0,0.0,0.0,13.450464
0,A_recon,4_distractors,96,-0.4409265,0.0,0.0,0.0,11.518164
0,A_recon,4_distractors,97,-0.45357135,0.0,0.0,0.0,16.47792
