arm,seed,epoch,task_mse,aux,mse_k0,mse_k1,mse_kH,z_norm,z_dim_std,z_eff_rank,nonfinite_batches,sec
A_recon,0,1,1.009832299273947,0.05143668858901314,1.0055301,0.9241712,1.0987614,5.6568403244018555,0.01874091476202011,11.668869018554688,0,5.832860946655273
A_recon,0,2,1.0086621823518171,0.04950248158496359,1.0029441,0.91911644,1.101164,5.656839370727539,0.06365463137626648,4.804381370544434,0,4.457034349441528
A_recon,0,3,1.0039618118949558,0.038544784421506134,0.9963925,0.9147008,1.0960597,5.656842231750488,0.15750247240066528,2.9212849140167236,0,4.492827653884888
A_recon,0,4,1.003622055053711,0.027988218742868175,0.9954431,0.913759,1.0957536,5.6568403244018555,0.21011501550674438,3.015789747238159,0,4.533546447753906
A_recon,0,5,1.0069494662077532,0.02198406406070875,0.9991666,0.9160103,1.100102,5.656837463378906,0.24681611359119415,3.2915475368499756,0,4.5269598960876465
A_recon,0,6,1.0038800446883491,0.0194981733094091,0.99511015,0.9136768,1.0958142,5.656832218170166,0.29295778274536133,3.7901272773742676,0,4.587870121002197
A_recon,0,7,1.0035656638767407,0.018499496190444283,0.99529624,0.9114172,1.097369,5.656844139099121,0.25382930040359497,4.113324165344238,0,4.61099910736084
A_recon,0,8,0.9996782385784647,0.017811538084693577,0.9904914,0.90906453,1.0911592,5.656848430633545,0.24699008464813232,4.200159072875977,0,4.671710014343262
A_recon,0,9,0.9762226602305537,0.017448627430459728,0.97199684,0.89555717,1.0578419,5.656850337982178,0.18110117316246033,4.280848503112793,0,4.644708871841431
A_recon,0,10,0.969438884569251,0.017533321743426117,0.96878254,0.8932078,1.0469322,5.656852722167969,0.19051003456115723,4.494495391845703,0,4.722553014755249
A_recon,0,11,0.9624380028766134,0.017826619355574898,0.95933425,0.88962364,1.0360322,5.656852722167969,0.1843993067741394,4.430915832519531,0,4.657227039337158
A_recon,0,12,0.9454916249150815,0.017832355654757957,0.9423449,0.8783533,1.0141937,5.656853675842285,0.1501375138759613,4.475790023803711,0,4.708205461502075
A_recon,0,13,0.9381507375965947,0.018134136562762054,0.94094193,0.8767524,1.0023264,5.656853675842285,0.15113791823387146,4.816131591796875,0,4.745994806289673
A_recon,0,14,0.9279925304910411,0.01883051706397015,0.931677,0.8684433,0.9919912,5.656853675842285,0.1551254391670227,4.780228614807129,0,4.732170820236206
A_recon,0,15,0.9103110769520635,0.017473730056182198,0.9078148,0.85418606,0.97108513,5.656853675842285,0.1515631377696991,5.211730003356934,0,4.761287450790405
A_recon,0,16,0.8822190657905911,0.017245566067488297,0.8696312,0.8289521,0.94427526,5.656854629516602,0.12143311649560928,5.497028350830078,0,4.795176267623901
A_recon,0,17,0.8674376114555027,0.01765065089516018,0.85582215,0.8167534,0.9251025,5.656854629516602,0.13847646117210388,5.793593406677246,0,4.817993402481079
A_recon,0,18,0.8491543479587721,0.01747154412062272,0.8393501,0.8025019,0.902064,5.656854629516602,0.13385049998760223,6.717458248138428,0,4.866750240325928
A_recon,0,19,0.8344650268554688,0.01728588342666626,0.82513297,0.7912106,0.8834731,5.656854152679443,0.15872852504253387,8.528168678283691,0,4.905629396438599
