seed,arm,horizon,r2_behaviour_data,r2_planner_trajectories
0,A_recon,0,0.6327217817306519,-4.396953582763672
0,A_recon,1,0.6371923685073853,-5.153668403625488
0,A_recon,2,0.641228437423706,-6.064894199371338
0,A_recon,3,0.6430623531341553,-7.019501686096191
0,A_recon,4,0.645032525062561,-7.980287551879883
0,A_recon,5,0.6472152471542358,-8.915046691894531
0,A_recon,6,0.647220253944397,-9.807230949401855
0,A_recon,7,0.6471835374832153,-10.643988609313965
0,A_recon,8,0.64793860912323,-11.436948776245117
0,A_recon,9,0.6471014022827148,-12.147013664245605
0,A_recon,10,0.6457581520080566,-12.81355094909668
0,A_recon,11,0.6448166370391846,-13.405360221862793
0,A_recon,12,0.6419994831085205,-13.943227767944336
0,A_recon,13,0.638361394405365,-14.405698776245117
0,A_recon,14,0.6350665092468262,-14.842001914978027
0,A_recon,15,0.6304273009300232,-15.211036682128906
0,B_task,0,0.9630279541015625,0.7763324975967407
0,B_task,1,0.9624772667884827,0.7238183617591858
0,B_task,2,0.9599910974502563,0.6393999457359314
0,B_task,3,0.9561898708343506,0.54194176197052
0,B_task,4,0.9517838358879089,0.432256817817688
0,B_task,5,0.9473294615745544,0.3096490502357483
0,B_task,6,0.9424736499786377,0.174210786819458
0,B_task,7,0.9373603463172913,0.027431607246398926
0,B_task,8,0.9324990510940552,-0.12986135482788086
0,B_task,9,0.9278345704078674,-0.2969090938568115
0,B_task,10,0.9235570430755615,-0.4709087610244751
0,B_task,11,0.9197626113891602,-0.6526927947998047
0,B_task,12,0.9161337614059448,-0.8411133289337158
0,B_task,13,0.9128338694572449,-1.034717321395874
0,B_task,14,0.909966230392456,-1.2330701351165771
0,B_task,15,0.9072238206863403,-1.4346225261688232
0,C_scene,0,0.9270784258842468,0.4091748595237732
0,C_scene,1,0.9261799454689026,0.28983622789382935
0,C_scene,2,0.9237228631973267,0.14734214544296265
0,C_scene,3,0.919948935508728,-0.01890099048614502
0,C_scene,4,0.915655791759491,-0.21508395671844482
0,C_scene,5,0.9112198352813721,-0.4395716190338135
0,C_scene,6,0.906493604183197,-0.6912846565246582
0,C_scene,7,0.9017691016197205,-0.9652965068817139
0,C_scene,8,0.8974208235740662,-1.2575225830078125
0,C_scene,9,0.893226683139801,-1.567012071609497
0,C_scene,10,0.8893697261810303,-1.8856942653656006
0,C_scene,11,0.8859595656394958,-2.211671829223633
0,C_scene,12,0.8825747966766357,-2.536200761795044
0,C_scene,13,0.879423201084137,-2.8606278896331787
0,C_scene,14,0.876798689365387,-3.1824445724487305
0,C_scene,15,0.8740280866622925,-3.490741729736328
0,D_latent,0,0.93415766954422,0.28824204206466675
0,D_latent,1,0.935794472694397,0.17021304368972778
0,D_latent,2,0.9353110790252686,0.018155038356781006
0,D_latent,3,0.9331735968589783,-0.16547274589538574
0,D_latent,4,0.9302635192871094,-0.3772556781768799
0,D_latent,5,0.9268459677696228,-0.6230095624923706
0,D_latent,6,0.9228797554969788,-0.8920142650604248
0,D_latent,7,0.9187249541282654,-1.1920454502105713
0,D_latent,8,0.9146448373794556,-1.5063860416412354
0,D_latent,9,0.9104899764060974,-1.8415989875793457
0,D_latent,10,0.9063619375228882,-2.1862552165985107
0,D_latent,11,0.9024377465248108,-2.5410542488098145
0,D_latent,12,0.8984295129776001,-2.898042678833008
0,D_latent,13,0.8944568634033203,-3.2586331367492676
0,D_latent,14,0.8908748626708984,-3.5967888832092285
0,D_latent,15,0.8873980045318604,-3.918020725250244
1,A_recon,0,0.9128363132476807,0.08901244401931763
1,A_recon,1,0.9148858785629272,-0.16130220890045166
1,A_recon,2,0.9145083427429199,-0.44198548793792725
1,A_recon,3,0.912933886051178,-0.8031700849533081
1,A_recon,4,0.9106554985046387,-1.240246057510376
1,A_recon,5,0.9081791639328003,-1.766993522644043
1,A_recon,6,0.9051275253295898,-2.3813228607177734
1,A_recon,7,0.9018456935882568,-3.0914392471313477
1,A_recon,8,0.8989496827125549,-3.8820314407348633
1,A_recon,9,0.8958584070205688,-4.745097637176514
1,A_recon,10,0.892623245716095,-5.670137405395508
1,A_recon,11,0.8897566199302673,-6.6295294761657715
1,A_recon,12,0.8863480091094971,-7.604640007019043
1,A_recon,13,0.8825935125350952,-8.588138580322266
1,A_recon,14,0.8792211413383484,-9.548227310180664
1,A_recon,15,0.8753950595855713,-10.488585472106934
1,B_task,0,0.9397015571594238,0.5960009694099426
1,B_task,1,0.9414764642715454,0.4930102229118347
1,B_task,2,0.9395598769187927,0.369789719581604
1,B_task,3,0.9361044764518738,0.22539645433425903
1,B_task,4,0.9319865703582764,0.058600664138793945
1,B_task,5,0.9278363585472107,-0.1383727788925171
1,B_task,6,0.9234721064567566,-0.36256444454193115
1,B_task,7,0.919161319732666,-0.6103217601776123
1,B_task,8,0.9155069589614868,-0.8796906471252441
1,B_task,9,0.9118490815162659,-1.1609690189361572
1,B_task,10,0.9083132147789001,-1.445422887802124
1,B_task,11,0.9050266742706299,-1.7357027530670166
1,B_task,12,0.9014387726783752,-2.022979974746704
1,B_task,13,0.8975287675857544,-2.3008298873901367
1,B_task,14,0.8937240839004517,-2.57436203956604
1,B_task,15,0.8896514773368835,-2.8327157497406006
1,C_scene,0,0.9391387701034546,0.6138948202133179
1,C_scene,1,0.9406014680862427,0.5241225957870483
1,C_scene,2,0.9392814636230469,0.4150071144104004
1,C_scene,3,0.936437726020813,0.28873616456985474
1,C_scene,4,0.9332713484764099,0.15180492401123047
1,C_scene,5,0.9299286603927612,-0.0004502534866333008
1,C_scene,6,0.9261447787284851,-0.16582465171813965
1,C_scene,7,0.9223037958145142,-0.3443683385848999
1,C_scene,8,0.9186075329780579,-0.5328274965286255
1,C_scene,9,0.9145564436912537,-0.7308567762374878
