seed,vs,delta_return,ci95_lo,ci95_hi,b_worse_frac
0,A_recon,-0.3510035276412964,-0.371675256639719,-0.3301353432238102,0.02
0,C_scene,-0.06573352962732315,-0.08068836368620395,-0.04998853299766779,0.25
0,D_latent,-0.06458061188459396,-0.07892541512846947,-0.04967575604096056,0.28
1,A_recon,-0.09712021052837372,-0.1117856191471219,-0.08329617064446211,0.165
1,C_scene,0.029833607375621796,0.015239185048267245,0.04508420126512647,0.625
1,D_latent,0.07237119972705841,0.05550999268889427,0.08936551474034786,0.725
2,A_recon,-0.31270936131477356,-0.33434698060154916,-0.29030921459198,0.02
2,C_scene,0.08684837073087692,0.07026146538555622,0.10369415190070867,0.785
2,D_latent,0.10703955590724945,0.09073752649128437,0.12455818690359591,0.83
