arm,seed,dim,mse_increase
A_recon,0,0,110.20592498779297
A_recon,0,1,2.5678794384002686
A_recon,0,2,16.458751678466797
A_recon,0,3,3.264721155166626
A_recon,0,4,5.364485740661621
A_recon,0,5,172.01255798339844
A_recon,0,6,90.37628936767578
A_recon,0,7,38.06264877319336
A_recon,0,8,35.47430419921875
A_recon,0,9,553.494140625
A_recon,0,10,11.642302513122559
A_recon,0,11,22.808164596557617
A_recon,0,12,131.86636352539062
A_recon,0,13,29.837261199951172
A_recon,0,14,106.88726806640625
A_recon,0,15,84.78927612304688
B_task,0,0,83.16566467285156
B_task,0,1,7.043093681335449
B_task,0,2,78.6044921875
B_task,0,3,2.283374309539795
B_task,0,4,7.150617599487305
B_task,0,5,409.30474853515625
B_task,0,6,297.83941650390625
B_task,0,7,87.9544906616211
B_task,0,8,72.01243591308594
B_task,0,9,861.4454345703125
B_task,0,10,70.59249114990234
B_task,0,11,148.25277709960938
B_task,0,12,352.9404296875
B_task,0,13,48.34156799316406
B_task,0,14,365.7151184082031
B_task,0,15,74.04363250732422
C_scene,0,0,10.84548568725586
C_scene,0,1,0.5704579949378967
C_scene,0,2,5.556588649749756
C_scene,0,3,5.810858249664307
C_scene,0,4,0.10937447845935822
C_scene,0,5,0.009786844253540039
C_scene,0,6,0.04103938490152359
C_scene,0,7,8.385030746459961
C_scene,0,8,0.6241276860237122
C_scene,0,9,0.028458699584007263
C_scene,0,10,0.04868956655263901
C_scene,0,11,7.915720462799072
C_scene,0,12,1.3694053888320923
C_scene,0,13,0.8126223087310791
C_scene,0,14,26.034496307373047
C_scene,0,15,0.09571170806884766
D_latent,0,0,98.96410369873047
D_latent,0,1,77.50106048583984
D_latent,0,2,15.604774475097656
D_latent,0,3,163.57461547851562
D_latent,0,4,0.7749339938163757
D_latent,0,5,84.33170318603516
D_latent,0,6,52.11935043334961
D_latent,0,7,39.124603271484375
D_latent,0,8,23.28965950012207
D_latent,0,9,323.8088684082031
D_latent,0,10,1.3030694723129272
D_latent,0,11,10.027884483337402
D_latent,0,12,134.90570068359375
D_latent,0,13,5.80439567565918
D_latent,0,14,6.5599870681762695
D_latent,0,15,159.94284057617188
