seed,model,subset,horizon,n,err_px,median_px
0,A_recon,all,1,200,6.970487117767334,6.872993469238281
0,A_recon,all,2,200,8.038848876953125,8.014039993286133
0,A_recon,all,3,200,8.819173812866211,8.77318000793457
0,A_recon,all,4,200,9.09541130065918,9.078266143798828
0,A_recon,all,5,200,9.093618392944336,9.090180397033691
0,A_recon,all,6,200,9.011397361755371,9.038837432861328
0,A_recon,all,7,200,8.999529838562012,9.194780349731445
0,A_recon,all,8,200,9.088054656982422,9.280753135681152
0,A_recon,all,9,200,9.233783721923828,9.482483863830566
0,A_recon,all,10,200,9.419904708862305,9.6842622756958
0,A_recon,no_bounce,1,117,5.219074249267578,5.1076154708862305
0,A_recon,no_bounce,2,117,6.509026050567627,6.664786338806152
0,A_recon,no_bounce,3,117,7.332635879516602,7.301628589630127
0,A_recon,no_bounce,4,117,7.523615837097168,7.315156936645508
0,A_recon,no_bounce,5,117,7.39598274230957,7.1811842918396
0,A_recon,no_bounce,6,117,7.222373008728027,7.213604927062988
0,A_recon,no_bounce,7,117,7.191571235656738,7.652656078338623
0,A_recon,no_bounce,8,117,7.380846977233887,7.973825931549072
0,A_recon,no_bounce,9,117,7.760888576507568,8.106874465942383
0,A_recon,no_bounce,10,117,8.27395248413086,8.42204761505127
0,A_recon,bounce,1,83,9.439345359802246,9.471877098083496
0,A_recon,bounce,2,83,10.195345878601074,9.79507064819336
0,A_recon,bounce,3,83,10.914654731750488,10.936022758483887
0,A_recon,bounce,4,83,11.311076164245605,11.481158256530762
0,A_recon,bounce,5,83,11.486671447753906,11.941781997680664
0,A_recon,bounce,6,83,11.533275604248047,11.828324317932129
0,A_recon,bounce,7,83,11.548097610473633,11.683043479919434
0,A_recon,bounce,8,83,11.494601249694824,11.744180679321289
0,A_recon,bounce,9,83,11.310035705566406,11.372981071472168
0,A_recon,bounce,10,83,11.035283088684082,10.986205101013184
0,B_task,all,1,200,7.0593791007995605,7.088486671447754
0,B_task,all,2,200,8.320255279541016,8.446236610412598
0,B_task,all,3,200,9.06380844116211,9.136493682861328
0,B_task,all,4,200,9.268178939819336,9.329059600830078
0,B_task,all,5,200,9.20596981048584,9.242572784423828
0,B_task,all,6,200,9.078394889831543,9.129928588867188
0,B_task,all,7,200,9.03495979309082,9.285785675048828
0,B_task,all,8,200,9.104538917541504,9.343412399291992
0,B_task,all,9,200,9.237347602844238,9.537511825561523
0,B_task,all,10,200,9.417134284973145,9.655624389648438
0,B_task,no_bounce,1,117,5.389680862426758,5.31375789642334
0,B_task,no_bounce,2,117,6.908996105194092,7.003886699676514
0,B_task,no_bounce,3,117,7.674542427062988,7.778892517089844
0,B_task,no_bounce,4,117,7.766940116882324,7.581027030944824
0,B_task,no_bounce,5,117,7.55804967880249,7.3195319175720215
